$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.17 00:00:08
$Filename; CO2FT_A_Signal_Ref_20211217.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E+0
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Signal_Ref, LSB; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, LSB; Float
$8; Maximum; LSB; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Signal_Ref	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	LSB	Flags	Cnt	Sec	MR	LSB	LSB	Units	Deg	Deg	Units	Flags
2021.12.17 00:00:00	15144.600000	0	60	60	1	15144.000000	15146.000000	0.277966	NaN	NaN	15144.600000	0
2021.12.17 00:01:00	15115.842105	0	38	60	1	15103.000000	15147.000000	378.568990	NaN	NaN	15115.842105	9
2021.12.17 00:02:00	15102.633333	0	60	60	1	15101.000000	15104.000000	0.710734	NaN	NaN	15102.633333	0
2021.12.17 00:03:00	15124.823529	16384	51	60	1	15102.000000	15134.000000	129.988235	NaN	NaN	15124.823529	1
2021.12.17 00:04:00	15134.466667	16384	60	60	1	15134.000000	15136.000000	0.388701	NaN	NaN	15134.466667	1
2021.12.17 00:05:00	15135.966667	16384	60	60	1	15135.000000	15137.000000	0.439548	NaN	NaN	15135.966667	1
2021.12.17 00:06:00	15137.116667	16384	60	60	1	15136.000000	15139.000000	0.782768	NaN	NaN	15137.116667	1
2021.12.17 00:07:00	15138.950000	16384	60	60	1	15137.000000	15141.000000	1.302542	NaN	NaN	15138.950000	1
2021.12.17 00:08:00	15140.500000	16384	60	60	1	15139.000000	15142.000000	0.728814	NaN	NaN	15140.500000	9
2021.12.17 00:09:00	15139.666667	16384	60	60	1	15138.000000	15141.000000	0.395480	NaN	NaN	15139.666667	1
2021.12.17 00:10:00	15140.500000	16384	60	60	1	15140.000000	15142.000000	0.322034	NaN	NaN	15140.500000	1
2021.12.17 00:11:00	15141.583333	16384	60	60	1	15140.000000	15143.000000	0.484463	NaN	NaN	15141.583333	1
2021.12.17 00:12:00	15142.016667	16384	60	60	1	15140.000000	15144.000000	0.728531	NaN	NaN	15142.016667	1
2021.12.17 00:13:00	15142.916667	16384	60	60	1	15142.000000	15144.000000	0.450565	NaN	NaN	15142.916667	9
2021.12.17 00:14:00	15142.900000	16384	60	60	1	15142.000000	15144.000000	0.396610	NaN	NaN	15142.900000	9
2021.12.17 00:15:00	15142.583333	16384	60	60	1	15142.000000	15144.000000	0.281073	NaN	NaN	15142.583333	1
2021.12.17 00:16:00	15142.350000	16384	60	60	1	15141.000000	15143.000000	0.468644	NaN	NaN	15142.350000	1
2021.12.17 00:17:00	15143.183333	16384	60	60	1	15142.000000	15145.000000	0.525141	NaN	NaN	15143.183333	9
2021.12.17 00:18:00	15143.783333	16384	60	60	1	15143.000000	15145.000000	0.477684	NaN	NaN	15143.783333	9
2021.12.17 00:19:00	15143.400000	0	60	60	1	15142.000000	15144.000000	0.277966	NaN	NaN	15143.400000	0
2021.12.17 00:20:00	15143.366667	0	60	60	1	15142.000000	15144.000000	0.337853	NaN	NaN	15143.366667	9
