$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.15 00:00:00
$Filename; CO2FT_A_Signal_Ref_20211215.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E+0
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Signal_Ref, LSB; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, LSB; Float
$8; Maximum; LSB; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Signal_Ref	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	LSB	Flags	Cnt	Sec	MR	LSB	LSB	Units	Deg	Deg	Units	Flags
2021.12.15 00:36:00	15143.950000	0	60	60	1	15142.000000	15146.000000	0.895763	NaN	NaN	15143.950000	0
2021.12.15 00:37:00	15144.200000	0	60	60	1	15143.000000	15145.000000	0.433898	NaN	NaN	15144.200000	0
2021.12.15 00:38:00	15144.116667	0	60	60	1	15143.000000	15145.000000	0.375989	NaN	NaN	15144.116667	9
2021.12.15 00:39:00	15144.233333	0	60	60	1	15142.000000	15146.000000	0.758192	NaN	NaN	15144.233333	0
2021.12.15 00:40:00	15144.533333	0	60	60	1	15142.000000	15146.000000	0.998870	NaN	NaN	15144.533333	0
2021.12.15 00:41:00	15144.016667	0	60	60	1	15142.000000	15146.000000	0.931921	NaN	NaN	15144.016667	0
2021.12.15 00:42:00	15144.400000	0	60	60	1	15142.000000	15146.000000	0.854237	NaN	NaN	15144.400000	0
2021.12.15 00:43:00	15144.266667	0	60	60	1	15142.000000	15146.000000	0.910734	NaN	NaN	15144.266667	0
2021.12.15 00:44:00	15144.516667	0	60	59	1	15143.000000	15147.000000	0.525141	NaN	NaN	15144.516667	9
2021.12.15 00:45:00	15144.766667	0	60	60	1	15144.000000	15146.000000	0.419209	NaN	NaN	15144.766667	0
2021.12.15 00:46:00	15144.583333	0	60	60	1	15143.000000	15146.000000	0.857345	NaN	NaN	15144.583333	9
2021.12.15 00:47:00	15144.550000	0	60	60	1	15144.000000	15146.000000	0.387288	NaN	NaN	15144.550000	0
2021.12.15 00:48:00	15144.116667	0	60	60	1	15142.000000	15147.000000	0.986158	NaN	NaN	15144.116667	0
2021.12.15 00:49:00	15144.083333	0	60	60	1	15142.000000	15147.000000	1.298023	NaN	NaN	15144.083333	9
2021.12.15 00:50:00	15144.733333	0	60	60	1	15143.000000	15146.000000	0.842938	NaN	NaN	15144.733333	9
2021.12.15 00:51:00	15143.950000	0	60	60	1	15142.000000	15145.000000	0.590678	NaN	NaN	15143.950000	9
2021.12.15 00:52:00	15144.583333	0	60	60	1	15143.000000	15146.000000	0.620056	NaN	NaN	15144.583333	9
2021.12.15 00:53:00	15143.900000	0	60	60	1	15142.000000	15146.000000	1.244068	NaN	NaN	15143.900000	9
2021.12.15 00:54:00	15144.083333	0	60	60	1	15143.000000	15146.000000	0.620056	NaN	NaN	15144.083333	0
2021.12.15 00:55:00	15145.316667	0	60	60	1	15144.000000	15147.000000	0.559040	NaN	NaN	15145.316667	9
2021.12.15 00:56:00	15145.016667	0	60	60	1	15143.000000	15147.000000	0.796328	NaN	NaN	15145.016667	9
2021.12.15 00:57:00	15145.416667	0	60	60	1	15143.000000	15147.000000	0.992938	NaN	NaN	15145.416667	0
2021.12.15 00:58:00	15144.950000	0	60	60	1	15143.000000	15147.000000	0.929661	NaN	NaN	15144.950000	9
2021.12.15 00:59:00	15145.350000	0	60	60	1	15144.000000	15147.000000	0.773729	NaN	NaN	15145.350000	0
2021.12.15 01:00:00	15144.833333	0	60	60	1	15143.000000	15147.000000	1.124294	NaN	NaN	15144.833333	0
2021.12.15 01:01:00	15144.750000	0	60	60	1	15143.000000	15148.000000	1.750000	NaN	NaN	15144.750000	9
2021.12.15 01:02:00	15144.833333	0	60	60	1	15144.000000	15146.000000	0.446328	NaN	NaN	15144.833333	9
2021.12.15 01:03:00	15144.916667	0	60	60	1	15144.000000	15146.000000	0.281073	NaN	NaN	15144.916667	9
2021.12.15 01:04:00	15144.966667	0	60	60	1	15143.000000	15146.000000	0.812429	NaN	NaN	15144.966667	0
2021.12.15 01:05:00	15144.716667	0	60	60	1	15143.000000	15146.000000	0.613277	NaN	NaN	15144.716667	0
2021.12.15 01:06:00	15145.016667	0	60	60	1	15143.000000	15147.000000	1.237006	NaN	NaN	15145.016667	9
2021.12.15 01:07:00	15145.650000	0	60	60	1	15144.000000	15148.000000	0.739831	NaN	NaN	15145.650000	0
2021.12.15 01:08:00	15144.700000	0	60	60	1	15142.000000	15146.000000	0.857627	NaN	NaN	15144.700000	9
2021.12.15 01:09:00	15144.333333	0	60	60	1	15142.000000	15146.000000	0.937853	NaN	NaN	15144.333333	0
2021.12.15 01:10:00	15144.983333	0	60	60	1	15144.000000	15146.000000	0.389548	NaN	NaN	15144.983333	0
2021.12.15 01:11:00	15145.016667	0	60	60	1	15144.000000	15147.000000	0.592938	NaN	NaN	15145.016667	0
2021.12.15 01:12:00	15144.966667	0	60	60	1	15143.000000	15148.000000	0.880226	NaN	NaN	15144.966667	0
2021.12.15 01:13:00	15145.333333	0	60	60	1	15144.000000	15147.000000	0.632768	NaN	NaN	15145.333333	9
2021.12.15 01:14:00	15145.566667	0	60	60	1	15143.000000	15147.000000	0.995480	NaN	NaN	15145.566667	9
2021.12.15 01:15:00	15145.433333	0	60	60	1	15144.000000	15148.000000	0.724294	NaN	NaN	15145.433333	9
2021.12.15 01:16:00	15144.783333	0	60	60	1	15143.000000	15147.000000	1.020056	NaN	NaN	15144.783333	0
2021.12.15 01:17:00	15144.866667	0	60	60	1	15144.000000	15146.000000	0.659887	NaN	NaN	15144.866667	0
2021.12.15 01:18:00	15145.416667	0	60	60	1	15143.000000	15148.000000	1.196328	NaN	NaN	15145.416667	0
2021.12.15 01:19:00	15145.983333	0	60	60	1	15145.000000	15147.000000	0.389548	NaN	NaN	15145.983333	9
2021.12.15 01:20:00	15145.983333	0	60	60	1	15145.000000	15147.000000	0.423446	NaN	NaN	15145.983333	0
2021.12.15 01:21:00	15145.316667	0	60	60	1	15144.000000	15147.000000	0.423446	NaN	NaN	15145.316667	0
2021.12.15 01:22:00	15145.850000	0	60	60	1	15145.000000	15148.000000	0.638136	NaN	NaN	15145.850000	0
2021.12.15 01:23:00	15145.850000	0	60	60	1	15144.000000	15148.000000	1.214407	NaN	NaN	15145.850000	9
2021.12.15 01:24:00	15145.116667	0	60	60	1	15144.000000	15147.000000	0.579379	NaN	NaN	15145.116667	9
2021.12.15 01:25:00	15144.866667	0	60	60	1	15143.000000	15147.000000	0.592090	NaN	NaN	15144.866667	0
2021.12.15 01:26:00	15145.116667	0	60	60	1	15143.000000	15147.000000	0.952260	NaN	NaN	15145.116667	0
2021.12.15 01:27:00	15145.950000	0	60	60	1	15144.000000	15148.000000	0.522881	NaN	NaN	15145.950000	9
2021.12.15 01:28:00	15145.216667	0	60	60	1	15143.000000	15148.000000	1.155650	NaN	NaN	15145.216667	0
2021.12.15 01:29:00	15145.933333	0	60	60	1	15145.000000	15148.000000	0.673446	NaN	NaN	15145.933333	0
2021.12.15 01:30:00	15146.183333	0	60	60	1	15144.000000	15147.000000	0.423446	NaN	NaN	15146.183333	9
2021.12.15 01:31:00	15145.700000	0	60	60	1	15144.000000	15147.000000	0.552542	NaN	NaN	15145.700000	9
2021.12.15 01:32:00	15145.433333	0	60	60	1	15143.000000	15147.000000	1.131073	NaN	NaN	15145.433333	0
2021.12.15 01:33:00	15144.966667	0	60	60	1	15143.000000	15147.000000	0.846328	NaN	NaN	15144.966667	0
2021.12.15 01:34:00	15145.300000	0	60	60	1	15144.000000	15147.000000	0.416949	NaN	NaN	15145.300000	0
2021.12.15 01:35:00	15144.950000	0	60	60	1	15143.000000	15147.000000	0.794068	NaN	NaN	15144.950000	9
2021.12.15 01:36:00	15145.166667	0	60	60	1	15144.000000	15148.000000	0.887006	NaN	NaN	15145.166667	0
2021.12.15 01:37:00	15144.816667	0	60	60	1	15143.000000	15146.000000	0.525141	NaN	NaN	15144.816667	9
2021.12.15 01:38:00	15144.366667	0	60	60	1	15142.000000	15146.000000	0.846328	NaN	NaN	15144.366667	0
2021.12.15 01:39:00	15145.083333	0	60	60	1	15143.000000	15148.000000	1.670904	NaN	NaN	15145.083333	9
2021.12.15 01:40:00	15144.650000	0	60	60	1	15142.000000	15147.000000	1.282203	NaN	NaN	15144.650000	9
2021.12.15 01:41:00	15145.166667	0	60	60	1	15144.000000	15147.000000	0.751412	NaN	NaN	15145.166667	0
2021.12.15 01:42:00	15145.300000	0	60	60	1	15143.000000	15147.000000	0.891525	NaN	NaN	15145.300000	0
2021.12.15 01:43:00	15144.283333	0	60	60	1	15143.000000	15146.000000	0.511582	NaN	NaN	15144.283333	0
2021.12.15 01:44:00	15143.950000	0	60	60	1	15142.000000	15146.000000	0.692373	NaN	NaN	15143.950000	9
2021.12.15 01:45:00	15144.500000	0	60	60	1	15142.000000	15146.000000	0.932203	NaN	NaN	15144.500000	0
2021.12.15 01:46:00	15144.333333	0	60	60	1	15142.000000	15146.000000	0.903955	NaN	NaN	15144.333333	0
2021.12.15 01:47:00	15144.716667	0	60	60	1	15143.000000	15147.000000	1.121751	NaN	NaN	15144.716667	9
2021.12.15 01:48:00	15144.400000	0	60	60	1	15143.000000	15146.000000	0.481356	NaN	NaN	15144.400000	9
2021.12.15 01:49:00	15145.366667	0	60	60	1	15143.000000	15148.000000	1.151412	NaN	NaN	15145.366667	9
2021.12.15 01:50:00	15146.283333	0	60	60	1	15144.000000	15147.000000	0.511582	NaN	NaN	15146.283333	9
2021.12.15 01:51:00	15146.083333	0	60	60	1	15145.000000	15148.000000	0.857345	NaN	NaN	15146.083333	9
2021.12.15 01:52:00	15145.600000	0	60	60	1	15144.000000	15147.000000	0.752542	NaN	NaN	15145.600000	9
2021.12.15 01:53:00	15145.316667	0	60	60	1	15143.000000	15148.000000	1.135311	NaN	NaN	15145.316667	0
2021.12.15 01:54:00	15144.866667	0	60	60	1	15143.000000	15147.000000	0.829379	NaN	NaN	15144.866667	9
2021.12.15 01:55:00	15145.866667	0	60	60	1	15144.000000	15148.000000	1.236158	NaN	NaN	15145.866667	9
2021.12.15 01:56:00	15145.950000	0	60	60	1	15144.000000	15149.000000	1.336441	NaN	NaN	15145.950000	9
2021.12.15 01:57:00	15145.050000	0	60	60	1	15143.000000	15147.000000	1.031356	NaN	NaN	15145.050000	9
2021.12.15 01:58:00	15145.133333	0	60	60	1	15144.000000	15147.000000	0.592090	NaN	NaN	15145.133333	9
2021.12.15 01:59:00	15144.733333	0	60	60	1	15143.000000	15147.000000	1.012429	NaN	NaN	15144.733333	9
2021.12.15 02:00:00	15145.533333	0	60	60	1	15144.000000	15147.000000	0.490395	NaN	NaN	15145.533333	9
2021.12.15 02:01:00	15145.233333	0	60	60	1	15143.000000	15147.000000	1.063277	NaN	NaN	15145.233333	0
2021.12.15 02:02:00	15145.483333	0	60	60	1	15143.000000	15149.000000	1.304802	NaN	NaN	15145.483333	9
2021.12.15 02:03:00	15145.266667	0	60	60	1	15143.000000	15148.000000	1.249718	NaN	NaN	15145.266667	0
2021.12.15 02:04:00	15144.800000	0	60	60	1	15143.000000	15147.000000	1.247458	NaN	NaN	15144.800000	9
2021.12.15 02:05:00	15145.333333	0	60	60	1	15143.000000	15148.000000	1.073446	NaN	NaN	15145.333333	0
2021.12.15 02:06:00	15145.516667	0	60	60	1	15144.000000	15147.000000	0.660734	NaN	NaN	15145.516667	9
2021.12.15 02:07:00	15145.966667	0	60	60	1	15143.000000	15148.000000	0.981921	NaN	NaN	15145.966667	0
2021.12.15 02:08:00	15145.983333	0	60	60	1	15144.000000	15147.000000	0.728531	NaN	NaN	15145.983333	9
2021.12.15 02:09:00	15146.033333	0	60	60	1	15144.000000	15148.000000	0.846328	NaN	NaN	15146.033333	9
2021.12.15 02:10:00	15145.966667	0	60	60	1	15144.000000	15148.000000	0.981921	NaN	NaN	15145.966667	0
2021.12.15 02:11:00	15145.200000	0	60	60	1	15143.000000	15148.000000	1.349153	NaN	NaN	15145.200000	0
2021.12.15 02:12:00	15144.866667	0	60	60	1	15143.000000	15147.000000	0.964972	NaN	NaN	15144.866667	9
2021.12.15 02:13:00	15146.100000	0	60	60	1	15145.000000	15148.000000	0.532203	NaN	NaN	15146.100000	0
2021.12.15 02:14:00	15146.016667	0	60	60	1	15144.000000	15149.000000	1.067514	NaN	NaN	15146.016667	0
2021.12.15 02:15:00	15145.083333	0	60	60	1	15143.000000	15148.000000	1.331921	NaN	NaN	15145.083333	0
2021.12.15 02:16:00	15145.116667	0	60	60	1	15143.000000	15147.000000	0.748870	NaN	NaN	15145.116667	9
