$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.06 00:00:02
$Filename; CO2FT_A_Signal_Ref_20211206.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E+0
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Signal_Ref, LSB; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, LSB; Float
$8; Maximum; LSB; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Signal_Ref	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	LSB	Flags	Cnt	Sec	MR	LSB	LSB	Units	Deg	Deg	Units	Flags
2021.12.06 00:00:00	15156.950000	128	60	60	1	15156.000000	15158.000000	0.251695	NaN	NaN	15156.950000	8388617
2021.12.06 00:01:00	15108.972973	128	37	60	1	15091.000000	15157.000000	842.193694	NaN	NaN	15108.972973	8388617
2021.12.06 00:02:00	15090.833333	128	60	60	1	15089.000000	15092.000000	0.581921	NaN	NaN	15090.833333	8388608
2021.12.06 00:03:00	15131.431373	128	51	59	1	15090.000000	15146.000000	415.450196	NaN	NaN	15131.431373	8388609
2021.12.06 00:04:00	15144.229508	16512	61	60	1	15144.000000	15145.000000	0.179781	NaN	NaN	15144.229508	8388609
2021.12.06 00:05:00	15145.333333	16512	60	59	1	15145.000000	15146.000000	0.225989	NaN	NaN	15145.333333	8388609
2021.12.06 00:06:00	15146.050000	16512	60	60	1	15145.000000	15147.000000	0.387288	NaN	NaN	15146.050000	8388609
2021.12.06 00:07:00	15145.983051	16512	59	59	1	15145.000000	15147.000000	0.430742	NaN	NaN	15145.983051	8388617
2021.12.06 00:08:00	15145.800000	16512	60	60	1	15145.000000	15147.000000	0.332203	NaN	NaN	15145.800000	8388617
2021.12.06 00:09:00	15145.655738	16512	61	61	1	15144.000000	15147.000000	0.629508	NaN	NaN	15145.655738	8388609
2021.12.06 00:10:00	15145.728814	16512	59	59	1	15144.000000	15147.000000	1.097604	NaN	NaN	15145.728814	8388609
2021.12.06 00:11:00	15145.683333	16512	60	60	1	15144.000000	15147.000000	0.830226	NaN	NaN	15145.683333	8388609
2021.12.06 00:12:00	15146.983607	16512	61	61	1	15146.000000	15147.000000	0.016393	NaN	NaN	15146.983607	8388609
2021.12.06 00:13:00	15147.322034	16512	59	59	1	15146.000000	15149.000000	0.394506	NaN	NaN	15147.322034	8388609
2021.12.06 00:14:00	15147.770492	16512	61	60	1	15147.000000	15149.000000	0.446448	NaN	NaN	15147.770492	8388609
2021.12.06 00:15:00	15147.000000	16512	60	59	1	15146.000000	15148.000000	0.542373	NaN	NaN	15147.000000	8388617
2021.12.06 00:16:00	15147.233333	16512	60	59	1	15146.000000	15148.000000	0.419209	NaN	NaN	15147.233333	8388609
2021.12.06 00:17:00	15148.508475	16512	59	59	1	15147.000000	15150.000000	0.805961	NaN	NaN	15148.508475	8388609
2021.12.06 00:18:00	15148.416667	16512	60	60	1	15148.000000	15149.000000	0.247175	NaN	NaN	15148.416667	8388617
2021.12.06 00:19:00	15148.032787	128	61	61	1	15147.000000	15149.000000	0.298907	NaN	NaN	15148.032787	8388608
2021.12.06 00:20:00	15147.700000	128	60	61	1	15147.000000	15148.000000	0.213559	NaN	NaN	15147.700000	8388608
2021.12.06 00:21:00	15148.183333	128	60	60	1	15148.000000	15149.000000	0.152260	NaN	NaN	15148.183333	8388617
2021.12.06 00:22:00	15148.084746	128	59	59	1	15148.000000	15149.000000	0.078901	NaN	NaN	15148.084746	8388608
2021.12.06 00:23:00	15148.400000	128	60	60	1	15147.000000	15150.000000	0.888136	NaN	NaN	15148.400000	8388617
2021.12.06 00:24:00	15149.016393	128	61	61	1	15148.000000	15150.000000	0.383060	NaN	NaN	15149.016393	8388608
2021.12.06 00:25:00	15149.288136	128	59	59	1	15148.000000	15150.000000	0.518995	NaN	NaN	15149.288136	8388608
2021.12.06 00:26:00	15149.400000	128	60	60	1	15148.000000	15150.000000	0.277966	NaN	NaN	15149.400000	8388617
2021.12.06 00:27:00	15150.000000	128	61	61	1	15149.000000	15151.000000	0.366667	NaN	NaN	15150.000000	8388608
2021.12.06 00:28:00	15149.593220	128	59	59	1	15149.000000	15150.000000	0.245470	NaN	NaN	15149.593220	8388608
2021.12.06 00:29:00	15150.672131	128	61	61	1	15150.000000	15151.000000	0.224044	NaN	NaN	15150.672131	8388617
2021.12.06 00:30:00	15150.915254	128	59	59	1	15149.000000	15153.000000	0.940970	NaN	NaN	15150.915254	8388617
2021.12.06 00:31:00	15149.966667	128	60	61	1	15149.000000	15151.000000	0.439548	NaN	NaN	15149.966667	8388617
2021.12.06 00:32:00	15149.766667	128	60	60	1	15148.000000	15151.000000	0.622599	NaN	NaN	15149.766667	8388608
2021.12.06 00:33:00	15149.377049	128	61	60	1	15148.000000	15151.000000	0.605464	NaN	NaN	15149.377049	8388617
2021.12.06 00:34:00	15149.949153	128	59	59	1	15149.000000	15151.000000	0.221508	NaN	NaN	15149.949153	8388608
2021.12.06 00:35:00	15150.163934	128	61	61	1	15149.000000	15151.000000	0.206011	NaN	NaN	15150.163934	8388608
2021.12.06 00:36:00	15150.483333	128	60	60	1	15149.000000	15151.000000	0.287853	NaN	NaN	15150.483333	8388608
2021.12.06 00:37:00	15150.833333	128	60	60	1	15150.000000	15152.000000	0.615819	NaN	NaN	15150.833333	8388608
2021.12.06 00:38:00	15151.066667	128	60	60	1	15150.000000	15152.000000	0.131073	NaN	NaN	15151.066667	8388608
2021.12.06 00:39:00	15151.600000	128	60	60	1	15151.000000	15153.000000	0.481356	NaN	NaN	15151.600000	8388608
2021.12.06 00:40:00	15149.833333	128	60	60	1	15149.000000	15151.000000	0.276836	NaN	NaN	15149.833333	8388608
2021.12.06 00:41:00	15150.833333	128	60	60	1	15150.000000	15152.000000	0.378531	NaN	NaN	15150.833333	8388608
2021.12.06 00:42:00	15150.466667	128	60	59	1	15149.000000	15151.000000	0.320904	NaN	NaN	15150.466667	8388608
2021.12.06 00:43:00	15150.983333	128	60	60	1	15150.000000	15153.000000	0.660734	NaN	NaN	15150.983333	8388608
2021.12.06 00:44:00	15151.406780	128	59	59	1	15151.000000	15152.000000	0.245470	NaN	NaN	15151.406780	8388617
2021.12.06 00:45:00	15151.166667	128	60	61	1	15150.000000	15152.000000	0.344633	NaN	NaN	15151.166667	8388608
2021.12.06 00:46:00	15152.116667	128	60	60	1	15151.000000	15153.000000	0.206497	NaN	NaN	15152.116667	8388608
2021.12.06 00:47:00	15150.967213	128	61	61	1	15150.000000	15152.000000	0.398907	NaN	NaN	15150.967213	8388617
2021.12.06 00:48:00	15151.508475	128	59	58	1	15150.000000	15152.000000	0.323203	NaN	NaN	15151.508475	8388617
2021.12.06 00:49:00	15151.033333	128	60	60	1	15150.000000	15152.000000	0.066667	NaN	NaN	15151.033333	8388608
2021.12.06 00:50:00	15151.639344	128	61	61	1	15150.000000	15153.000000	0.601093	NaN	NaN	15151.639344	8388608
2021.12.06 00:51:00	15152.322034	128	59	59	1	15151.000000	15153.000000	0.532437	NaN	NaN	15152.322034	8388608
2021.12.06 00:52:00	15152.196721	128	61	60	1	15151.000000	15153.000000	0.293989	NaN	NaN	15152.196721	8388608
2021.12.06 00:53:00	15151.233333	128	60	60	1	15150.000000	15152.000000	0.317514	NaN	NaN	15151.233333	8388617
2021.12.06 00:54:00	15151.433333	128	60	59	1	15151.000000	15152.000000	0.249718	NaN	NaN	15151.433333	8388617
2021.12.06 00:55:00	15151.966667	128	60	60	1	15151.000000	15153.000000	0.303955	NaN	NaN	15151.966667	8388617
2021.12.06 00:56:00	15152.250000	128	60	60	1	15151.000000	15153.000000	0.665254	NaN	NaN	15152.250000	8388617
2021.12.06 00:57:00	15152.416667	128	60	60	1	15152.000000	15153.000000	0.247175	NaN	NaN	15152.416667	8388617
2021.12.06 00:58:00	15152.576271	128	59	60	1	15151.000000	15154.000000	0.420807	NaN	NaN	15152.576271	8388608
2021.12.06 00:59:00	15152.540984	128	61	61	1	15151.000000	15153.000000	0.352459	NaN	NaN	15152.540984	8388608
2021.12.06 01:00:00	15153.305085	128	59	59	1	15152.000000	15154.000000	0.284629	NaN	NaN	15153.305085	8388608
2021.12.06 01:01:00	15153.065574	128	61	61	1	15152.000000	15154.000000	0.528962	NaN	NaN	15153.065574	8388608
2021.12.06 01:02:00	15152.750000	128	60	60	1	15152.000000	15154.000000	0.461864	NaN	NaN	15152.750000	8388608
2021.12.06 01:03:00	15152.983333	128	60	60	1	15152.000000	15154.000000	0.491243	NaN	NaN	15152.983333	8388608
2021.12.06 01:04:00	15153.266667	128	60	60	1	15152.000000	15154.000000	0.436158	NaN	NaN	15153.266667	8388608
2021.12.06 01:05:00	15153.237288	128	59	59	1	15153.000000	15154.000000	0.184103	NaN	NaN	15153.237288	8388617
2021.12.06 01:06:00	15152.885246	128	61	61	1	15152.000000	15154.000000	0.469945	NaN	NaN	15152.885246	8388617
2021.12.06 01:07:00	15152.915254	128	59	60	1	15152.000000	15154.000000	0.630625	NaN	NaN	15152.915254	8388608
2021.12.06 01:08:00	15152.533333	128	60	59	1	15152.000000	15153.000000	0.253107	NaN	NaN	15152.533333	8388617
2021.12.06 01:09:00	15153.245902	128	61	60	1	15152.000000	15154.000000	0.288525	NaN	NaN	15153.245902	8388608
2021.12.06 01:10:00	15152.813559	128	59	58	1	15152.000000	15154.000000	0.533606	NaN	NaN	15152.813559	8388608
2021.12.06 01:11:00	15152.967213	128	61	61	1	15151.000000	15154.000000	0.798907	NaN	NaN	15152.967213	8388617
