$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.03 00:00:01
$Filename; CO2FT_A_XCO2_Corr_20211203.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; XCO2_Corr, ppm; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, ppm; Float
$8; Maximum; ppm; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	XCO2_Corr	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	ppm	Flags	Cnt	Sec	MR	ppm	ppm	Units	Deg	Deg	Units	Flags
2021.12.03 00:00:00	2226.543167	128	60	60	1	2225.300000	2228.010000	0.385039	NaN	NaN	222654.316667	8388608
2021.12.03 00:01:00	626.961892	128	37	60	1	33.990000	2227.670000	974126.582116	NaN	NaN	62696.189189	8388617
2021.12.03 00:02:00	33.812542	128	59	59	1	33.680000	34.050000	0.012495	NaN	NaN	3381.254237	8388608
2021.12.03 00:03:00	865.068431	128	51	60	1	33.610000	1249.120000	238116.540873	NaN	NaN	86506.843137	8388609
2021.12.03 00:04:00	1277.408167	16512	60	59	1	1250.000000	1301.500000	237.864483	NaN	NaN	127740.816667	8388609
2021.12.03 00:05:00	1320.496721	16512	61	61	1	1302.060000	1337.350000	98.373836	NaN	NaN	132049.672131	8388609
2021.12.03 00:06:00	1351.576667	16512	60	60	1	1338.200000	1364.640000	63.413362	NaN	NaN	135157.666667	8388617
2021.12.03 00:07:00	1376.069667	16512	60	60	1	1364.430000	1386.850000	46.557227	NaN	NaN	137606.966667	8388609
2021.12.03 00:08:00	1395.948500	16512	60	60	1	1386.290000	1404.510000	25.250772	NaN	NaN	139594.850000	8388609
2021.12.03 00:09:00	1414.474068	16512	59	59	1	1404.850000	1422.470000	26.148642	NaN	NaN	141447.406780	8388609
2021.12.03 00:10:00	1430.023607	16512	61	61	1	1422.540000	1438.060000	19.785633	NaN	NaN	143002.360656	8388609
2021.12.03 00:11:00	1445.291333	16512	60	60	1	1437.900000	1451.960000	17.164886	NaN	NaN	144529.133333	8388617
2021.12.03 00:12:00	1459.169000	16512	60	60	1	1451.810000	1465.440000	14.990731	NaN	NaN	145916.900000	8388609
2021.12.03 00:13:00	1471.485833	16512	60	60	1	1465.270000	1477.460000	13.798889	NaN	NaN	147148.583333	8388617
2021.12.03 00:14:00	1484.034667	16512	60	59	1	1477.450000	1489.430000	13.399446	NaN	NaN	148403.466667	8388609
2021.12.03 00:15:00	1495.608000	16512	60	60	1	1489.980000	1500.750000	11.669291	NaN	NaN	149560.800000	8388609
2021.12.03 00:16:00	1506.479831	16512	59	59	1	1501.120000	1512.430000	10.960391	NaN	NaN	150647.983051	8388609
2021.12.03 00:17:00	1516.882131	16512	61	61	1	1511.960000	1522.070000	7.860170	NaN	NaN	151688.213115	8388609
2021.12.03 00:18:00	1527.731500	16512	60	60	1	1522.510000	1532.650000	7.892267	NaN	NaN	152773.150000	8388609
2021.12.03 00:19:00	1537.158333	128	60	61	1	1531.980000	1542.700000	10.239573	NaN	NaN	153715.833333	8388617
2021.12.03 00:20:00	1546.916441	128	59	58	1	1542.130000	1551.660000	8.067561	NaN	NaN	154691.644068	8388608
2021.12.03 00:21:00	1556.278197	128	61	61	1	1551.380000	1561.120000	7.285212	NaN	NaN	155627.819672	8388608
2021.12.03 00:22:00	1566.187167	128	60	60	1	1560.400000	1571.130000	7.433563	NaN	NaN	156618.716667	8388617
2021.12.03 00:23:00	1574.811000	128	60	60	1	1570.420000	1579.260000	7.477423	NaN	NaN	157481.100000	8388608
2021.12.03 00:24:00	1583.982500	128	60	60	1	1579.640000	1588.240000	4.822897	NaN	NaN	158398.250000	8388608
2021.12.03 00:25:00	1591.684000	128	60	60	1	1587.880000	1596.050000	5.156336	NaN	NaN	159168.400000	8388608
2021.12.03 00:26:00	1599.833220	128	59	59	1	1595.620000	1603.920000	7.065326	NaN	NaN	159983.322034	8388608
2021.12.03 00:27:00	1608.308361	128	61	60	1	1603.770000	1612.990000	6.697604	NaN	NaN	160830.836066	8388608
2021.12.03 00:28:00	1616.847333	128	60	59	1	1612.590000	1621.380000	6.410972	NaN	NaN	161684.733333	8388608
2021.12.03 00:29:00	1624.006500	128	60	59	1	1620.570000	1627.600000	4.103216	NaN	NaN	162400.650000	8388608
2021.12.03 00:30:00	1631.106333	128	60	60	1	1627.230000	1634.750000	5.881810	NaN	NaN	163110.633333	8388608
2021.12.03 00:31:00	1637.692373	128	59	59	1	1634.210000	1641.050000	3.089208	NaN	NaN	163769.237288	8388608
2021.12.03 00:32:00	1645.329672	128	61	60	1	1641.440000	1648.830000	5.236773	NaN	NaN	164532.967213	8388608
2021.12.03 00:33:00	1652.216333	128	60	60	1	1649.210000	1656.020000	3.912254	NaN	NaN	165221.633333	8388608
2021.12.03 00:34:00	1659.069492	128	59	59	1	1655.730000	1661.830000	3.393308	NaN	NaN	165906.949153	8388608
2021.12.03 00:35:00	1665.290328	128	61	60	1	1661.390000	1667.900000	2.457257	NaN	NaN	166529.032787	8388617
2021.12.03 00:36:00	1671.985333	128	60	60	1	1667.550000	1675.220000	4.549435	NaN	NaN	167198.533333	8388608
2021.12.03 00:37:00	1677.908333	128	60	60	1	1674.780000	1681.450000	3.974441	NaN	NaN	167790.833333	8388608
2021.12.03 00:38:00	1684.239500	128	60	60	1	1681.800000	1687.130000	2.332995	NaN	NaN	168423.950000	8388608
2021.12.03 00:39:00	1689.577500	128	60	60	1	1686.190000	1691.940000	2.513080	NaN	NaN	168957.750000	8388617
2021.12.03 00:40:00	1695.789667	128	60	60	1	1693.040000	1699.520000	3.118098	NaN	NaN	169578.966667	8388608
2021.12.03 00:41:00	1701.532203	128	59	60	1	1698.250000	1705.330000	4.328997	NaN	NaN	170153.220339	8388608
2021.12.03 00:42:00	1707.282623	128	61	61	1	1704.970000	1710.490000	2.805120	NaN	NaN	170728.262295	8388617
2021.12.03 00:43:00	1712.670339	128	59	59	1	1709.900000	1715.230000	1.813145	NaN	NaN	171267.033898	8388608
2021.12.03 00:44:00	1717.921639	128	61	60	1	1714.720000	1721.330000	2.655587	NaN	NaN	171792.163934	8388608
2021.12.03 00:45:00	1723.316333	128	60	60	1	1720.700000	1725.720000	2.490813	NaN	NaN	172331.633333	8388608
2021.12.03 00:46:00	1727.432167	128	60	59	1	1724.870000	1730.350000	2.952214	NaN	NaN	172743.216667	8388617
2021.12.03 00:47:00	1732.891333	128	60	60	1	1729.640000	1735.150000	2.038663	NaN	NaN	173289.133333	8388617
2021.12.03 00:48:00	1737.520500	128	60	60	1	1735.000000	1739.910000	1.709527	NaN	NaN	173752.050000	8388608
2021.12.03 00:49:00	1742.249833	128	60	60	1	1739.140000	1745.220000	2.937097	NaN	NaN	174224.983333	8388608
2021.12.03 00:50:00	1746.816333	128	60	60	1	1744.320000	1749.970000	2.277247	NaN	NaN	174681.633333	8388617
2021.12.03 00:51:00	1751.866333	128	60	60	1	1749.810000	1753.200000	0.497098	NaN	NaN	175186.633333	8388608
2021.12.03 00:52:00	1755.802034	128	59	59	1	1753.330000	1758.550000	1.818644	NaN	NaN	175580.203390	8388608
2021.12.03 00:53:00	1759.946885	128	61	60	1	1757.510000	1762.720000	2.433375	NaN	NaN	175994.688525	8388617
2021.12.03 00:54:00	1763.802167	128	60	60	1	1761.080000	1766.700000	2.541729	NaN	NaN	176380.216667	8388617
2021.12.03 00:55:00	1768.580500	128	60	60	1	1766.670000	1770.470000	0.917073	NaN	NaN	176858.050000	8388617
2021.12.03 00:56:00	1772.475000	128	60	60	1	1769.840000	1775.250000	2.226015	NaN	NaN	177247.500000	8388617
2021.12.03 00:57:00	1776.535932	128	59	60	1	1773.780000	1778.000000	1.262145	NaN	NaN	177653.593220	8388608
2021.12.03 00:58:00	1780.232623	128	61	61	1	1777.200000	1782.560000	2.248396	NaN	NaN	178023.262295	8388608
2021.12.03 00:59:00	1783.983500	128	60	60	1	1780.890000	1785.960000	2.226193	NaN	NaN	178398.350000	8388617
2021.12.03 01:00:00	1787.861000	128	60	59	1	1786.210000	1789.230000	0.657335	NaN	NaN	178786.100000	8388608
2021.12.03 01:01:00	1790.689500	128	60	60	1	1787.920000	1793.430000	2.923273	NaN	NaN	179068.950000	8388608
2021.12.03 01:02:00	1795.097833	128	60	60	1	1792.410000	1797.560000	1.892583	NaN	NaN	179509.783333	8388608
2021.12.03 01:03:00	1798.496500	128	60	60	1	1796.740000	1800.550000	1.076315	NaN	NaN	179849.650000	8388608
2021.12.03 01:04:00	1802.061833	128	60	60	1	1800.010000	1804.220000	1.021422	NaN	NaN	180206.183333	8388617
2021.12.03 01:05:00	1804.884667	128	60	60	1	1802.940000	1807.020000	0.884344	NaN	NaN	180488.466667	8388617
2021.12.03 01:06:00	1808.429667	128	60	60	1	1806.650000	1809.920000	0.637305	NaN	NaN	180842.966667	8388617
2021.12.03 01:07:00	1811.884576	128	59	59	1	1809.190000	1814.240000	2.131636	NaN	NaN	181188.457627	8388608
2021.12.03 01:08:00	1814.713115	128	61	61	1	1812.450000	1817.020000	1.747585	NaN	NaN	181471.311475	8388617
