$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.03 00:00:01
$Filename; CO2FT_A_P_NDIR_20211203.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; P_NDIR, mbar; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, mbar; Float
$8; Maximum; mbar; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	P_NDIR	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	mbar	Flags	Cnt	Sec	MR	mbar	mbar	Units	Deg	Deg	Units	Flags
2021.12.03 00:00:00	1003.067000	128	60	60	1	1002.930000	1003.190000	0.005665	NaN	NaN	100306.700000	8388608
2021.12.03 00:01:00	1005.750541	128	37	60	1	1002.990000	1006.790000	2.701789	NaN	NaN	100575.054054	8388617
2021.12.03 00:02:00	1006.859153	128	59	59	1	1006.760000	1007.000000	0.003170	NaN	NaN	100685.915254	8388608
2021.12.03 00:03:00	1001.352941	128	51	60	1	1000.580000	1006.940000	3.325329	NaN	NaN	100135.294118	8388609
2021.12.03 00:04:00	1000.748333	16512	60	59	1	1000.580000	1000.860000	0.006129	NaN	NaN	100074.833333	8388609
2021.12.03 00:05:00	1000.790656	16512	61	61	1	1000.620000	1000.930000	0.005380	NaN	NaN	100079.065574	8388609
2021.12.03 00:06:00	1000.836333	16512	60	60	1	1000.680000	1000.980000	0.005837	NaN	NaN	100083.633333	8388617
2021.12.03 00:07:00	1000.861000	16512	60	60	1	1000.720000	1000.990000	0.005521	NaN	NaN	100086.100000	8388609
2021.12.03 00:08:00	1000.883167	16512	60	60	1	1000.710000	1001.020000	0.006015	NaN	NaN	100088.316667	8388609
2021.12.03 00:09:00	1000.896441	16512	59	59	1	1000.750000	1001.040000	0.005272	NaN	NaN	100089.644068	8388609
2021.12.03 00:10:00	1000.906885	16512	61	61	1	1000.760000	1001.040000	0.006002	NaN	NaN	100090.688525	8388609
2021.12.03 00:11:00	1000.929833	16512	60	60	1	1000.770000	1001.050000	0.006869	NaN	NaN	100092.983333	8388617
2021.12.03 00:12:00	1000.929667	16512	60	60	1	1000.790000	1001.050000	0.006139	NaN	NaN	100092.966667	8388609
2021.12.03 00:13:00	1000.915667	16512	60	60	1	1000.770000	1001.040000	0.005503	NaN	NaN	100091.566667	8388617
2021.12.03 00:14:00	1000.930000	16512	60	60	1	1000.770000	1001.050000	0.006369	NaN	NaN	100093.000000	8388609
2021.12.03 00:15:00	1000.919000	16512	60	60	1	1000.760000	1001.050000	0.005511	NaN	NaN	100091.900000	8388609
2021.12.03 00:16:00	1000.919492	16512	59	59	1	1000.770000	1001.040000	0.005684	NaN	NaN	100091.949153	8388609
2021.12.03 00:17:00	1000.932459	16512	61	61	1	1000.790000	1001.060000	0.005612	NaN	NaN	100093.245902	8388609
2021.12.03 00:18:00	1000.936000	16512	60	60	1	1000.790000	1001.060000	0.006414	NaN	NaN	100093.600000	8388609
2021.12.03 00:19:00	1000.944500	128	60	61	1	1000.750000	1001.080000	0.006842	NaN	NaN	100094.450000	8388617
2021.12.03 00:20:00	1000.952542	128	59	58	1	1000.770000	1001.080000	0.005771	NaN	NaN	100095.254237	8388608
2021.12.03 00:21:00	1000.953934	128	61	61	1	1000.820000	1001.080000	0.005748	NaN	NaN	100095.393443	8388608
2021.12.03 00:22:00	1000.941667	128	60	60	1	1000.760000	1001.080000	0.006614	NaN	NaN	100094.166667	8388617
2021.12.03 00:23:00	1000.950333	128	60	60	1	1000.800000	1001.080000	0.005898	NaN	NaN	100095.033333	8388608
2021.12.03 00:24:00	1000.953000	128	60	60	1	1000.790000	1001.090000	0.006387	NaN	NaN	100095.300000	8388608
2021.12.03 00:25:00	1000.956000	128	60	60	1	1000.820000	1001.080000	0.005472	NaN	NaN	100095.600000	8388608
2021.12.03 00:26:00	1000.957288	128	59	59	1	1000.800000	1001.090000	0.006817	NaN	NaN	100095.728814	8388608
2021.12.03 00:27:00	1000.956557	128	61	60	1	1000.800000	1001.100000	0.006126	NaN	NaN	100095.655738	8388608
