$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.10 00:00:05
$Filename; CO2FT_A_P_NDIR_20211210.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; P_NDIR, mbar; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, mbar; Float
$8; Maximum; mbar; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	P_NDIR	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	mbar	Flags	Cnt	Sec	MR	mbar	mbar	Units	Deg	Deg	Units	Flags
2021.12.10 00:00:00	1013.297458	0	59	59	1	1013.160000	1013.410000	0.003716	NaN	NaN	101329.745763	9
2021.12.10 00:01:00	1022.010000	0	37	60	1	1013.150000	1025.810000	33.190528	NaN	NaN	102201.000000	9
2021.12.10 00:02:00	1025.883500	0	60	60	1	1025.740000	1026.070000	0.007457	NaN	NaN	102588.350000	0
2021.12.10 00:03:00	1015.870943	16384	53	60	1	1014.690000	1026.060000	9.812924	NaN	NaN	101587.094340	9
2021.12.10 00:04:00	1014.745833	16384	60	59	1	1014.620000	1014.880000	0.004096	NaN	NaN	101474.583333	9
2021.12.10 00:05:00	1014.706167	16384	60	60	1	1014.560000	1014.810000	0.003997	NaN	NaN	101470.616667	1
2021.12.10 00:06:00	1014.642712	16384	59	59	1	1014.520000	1014.740000	0.004068	NaN	NaN	101464.271186	9
2021.12.10 00:07:00	1014.605500	16384	60	60	1	1014.470000	1014.730000	0.004357	NaN	NaN	101460.550000	1
2021.12.10 00:08:00	1014.529667	16384	60	61	1	1014.370000	1014.660000	0.005081	NaN	NaN	101452.966667	1
2021.12.10 00:09:00	1014.458333	16384	60	59	1	1014.320000	1014.620000	0.004862	NaN	NaN	101445.833333	9
2021.12.10 00:10:00	1014.375833	16384	60	60	1	1014.230000	1014.510000	0.004726	NaN	NaN	101437.583333	1
2021.12.10 00:11:00	1014.276230	16384	61	61	1	1014.120000	1014.430000	0.005274	NaN	NaN	101427.622951	1
2021.12.10 00:12:00	1014.187458	16384	59	59	1	1014.030000	1014.330000	0.005057	NaN	NaN	101418.745763	1
2021.12.10 00:13:00	1014.007541	16384	61	61	1	1013.810000	1014.210000	0.007352	NaN	NaN	101400.754098	9
2021.12.10 00:14:00	1013.806167	16384	60	60	1	1013.640000	1013.930000	0.006377	NaN	NaN	101380.616667	1
2021.12.10 00:15:00	1013.697458	16384	59	59	1	1013.570000	1013.830000	0.004040	NaN	NaN	101369.745763	1
2021.12.10 00:16:00	1013.612787	16384	61	61	1	1013.460000	1013.770000	0.004727	NaN	NaN	101361.278689	1
2021.12.10 00:17:00	1013.549492	16384	59	59	1	1013.420000	1013.680000	0.004139	NaN	NaN	101354.949153	9
2021.12.10 00:18:00	1013.510492	16384	61	61	1	1013.370000	1013.620000	0.003651	NaN	NaN	101351.049180	9
2021.12.10 00:19:00	1013.467458	0	59	59	1	1013.340000	1013.590000	0.003361	NaN	NaN	101346.745763	0
2021.12.10 00:20:00	1013.451475	0	61	61	1	1013.330000	1013.590000	0.003439	NaN	NaN	101345.147541	0
2021.12.10 00:21:00	1013.406833	0	60	60	1	1013.270000	1013.530000	0.004500	NaN	NaN	101340.683333	9
2021.12.10 00:22:00	1013.347966	0	59	59	1	1013.220000	1013.490000	0.004127	NaN	NaN	101334.796610	0
2021.12.10 00:23:00	1013.315167	0	60	60	1	1013.200000	1013.440000	0.004046	NaN	NaN	101331.516667	9
2021.12.10 00:24:00	1013.327049	0	61	61	1	1013.220000	1013.440000	0.003548	NaN	NaN	101332.704918	0
2021.12.10 00:25:00	1013.331333	0	60	60	1	1013.220000	1013.410000	0.003188	NaN	NaN	101333.133333	0
2021.12.10 00:26:00	1013.340339	0	59	59	1	1013.240000	1013.440000	0.003410	NaN	NaN	101334.033898	9
2021.12.10 00:27:00	1013.357000	0	60	60	1	1013.230000	1013.460000	0.003869	NaN	NaN	101335.700000	9
2021.12.10 00:28:00	1013.396393	0	61	61	1	1013.230000	1013.520000	0.003850	NaN	NaN	101339.639344	9
2021.12.10 00:29:00	1013.467627	0	59	59	1	1013.340000	1013.570000	0.004174	NaN	NaN	101346.762712	9
2021.12.10 00:30:00	1013.507167	0	60	60	1	1013.370000	1013.620000	0.003451	NaN	NaN	101350.716667	9
2021.12.10 00:31:00	1013.530656	0	61	61	1	1013.410000	1013.630000	0.003826	NaN	NaN	101353.065574	9
2021.12.10 00:32:00	1013.506667	0	60	60	1	1013.350000	1013.620000	0.004467	NaN	NaN	101350.666667	0
2021.12.10 00:33:00	1013.486780	0	59	58	1	1013.350000	1013.590000	0.004322	NaN	NaN	101348.677966	0
2021.12.10 00:34:00	1013.497869	0	61	61	1	1013.370000	1013.600000	0.003534	NaN	NaN	101349.786885	0
2021.12.10 00:35:00	1013.476780	0	59	58	1	1013.340000	1013.590000	0.004405	NaN	NaN	101347.677966	9
2021.12.10 00:36:00	1013.495667	0	60	60	1	1013.370000	1013.600000	0.003249	NaN	NaN	101349.566667	0
2021.12.10 00:37:00	1013.438525	0	61	61	1	1013.290000	1013.550000	0.003836	NaN	NaN	101343.852459	9
2021.12.10 00:38:00	1013.389831	0	59	59	1	1013.260000	1013.510000	0.003705	NaN	NaN	101338.983051	0
2021.12.10 00:39:00	1013.361667	0	60	59	1	1013.240000	1013.460000	0.004543	NaN	NaN	101336.166667	0
2021.12.10 00:40:00	1013.290328	0	61	60	1	1013.160000	1013.420000	0.004650	NaN	NaN	101329.032787	9
2021.12.10 00:41:00	1013.268000	0	60	60	1	1013.160000	1013.350000	0.002779	NaN	NaN	101326.800000	0
2021.12.10 00:42:00	1013.246949	0	59	59	1	1013.120000	1013.370000	0.003511	NaN	NaN	101324.694915	0
2021.12.10 00:43:00	1013.226721	0	61	61	1	1013.090000	1013.340000	0.004109	NaN	NaN	101322.672131	0
2021.12.10 00:44:00	1013.176949	0	59	59	1	1013.050000	1013.300000	0.003839	NaN	NaN	101317.694915	0
2021.12.10 00:45:00	1013.135167	0	60	61	1	1012.980000	1013.240000	0.004269	NaN	NaN	101313.516667	0
2021.12.10 00:46:00	1013.115333	0	60	60	1	1013.000000	1013.230000	0.003456	NaN	NaN	101311.533333	9
2021.12.10 00:47:00	1013.070500	0	60	59	1	1012.940000	1013.200000	0.003998	NaN	NaN	101307.050000	9
2021.12.10 00:48:00	1013.036393	0	61	60	1	1012.900000	1013.130000	0.004037	NaN	NaN	101303.639344	9
2021.12.10 00:49:00	1012.997000	0	60	59	1	1012.870000	1013.110000	0.003926	NaN	NaN	101299.700000	0
2021.12.10 00:50:00	1012.975424	0	59	59	1	1012.850000	1013.090000	0.004501	NaN	NaN	101297.542373	9
2021.12.10 00:51:00	1012.933500	0	60	60	1	1012.820000	1013.050000	0.004169	NaN	NaN	101293.350000	9
2021.12.10 00:52:00	1012.916721	0	61	61	1	1012.790000	1013.010000	0.003786	NaN	NaN	101291.672131	9
2021.12.10 00:53:00	1012.862542	0	59	60	1	1012.720000	1012.980000	0.003485	NaN	NaN	101286.254237	0
2021.12.10 00:54:00	1012.822500	0	60	60	1	1012.650000	1012.930000	0.004978	NaN	NaN	101282.250000	0
2021.12.10 00:55:00	1012.772833	0	60	59	1	1012.630000	1012.900000	0.004014	NaN	NaN	101277.283333	9
2021.12.10 00:56:00	1012.730656	0	61	60	1	1012.610000	1012.860000	0.003460	NaN	NaN	101273.065574	9
