$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.15 00:00:00
$Filename; CO2FT_A_P_NDIR_20211215.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; P_NDIR, mbar; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, mbar; Float
$8; Maximum; mbar; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	P_NDIR	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	mbar	Flags	Cnt	Sec	MR	mbar	mbar	Units	Deg	Deg	Units	Flags
2021.12.15 00:36:00	1016.037667	0	60	60	1	1015.870000	1016.170000	0.006208	NaN	NaN	101603.766667	0
2021.12.15 00:37:00	1016.053500	0	60	60	1	1015.890000	1016.170000	0.004182	NaN	NaN	101605.350000	0
2021.12.15 00:38:00	1016.073500	0	60	60	1	1015.920000	1016.210000	0.005660	NaN	NaN	101607.350000	9
2021.12.15 00:39:00	1016.097667	0	60	60	1	1015.940000	1016.220000	0.005550	NaN	NaN	101609.766667	0
2021.12.15 00:40:00	1016.084667	0	60	60	1	1015.890000	1016.220000	0.005798	NaN	NaN	101608.466667	0
2021.12.15 00:41:00	1016.075500	0	60	60	1	1015.890000	1016.180000	0.005171	NaN	NaN	101607.550000	0
2021.12.15 00:42:00	1016.046833	0	60	60	1	1015.910000	1016.170000	0.003697	NaN	NaN	101604.683333	0
2021.12.15 00:43:00	1016.040833	0	60	60	1	1015.890000	1016.160000	0.004696	NaN	NaN	101604.083333	0
2021.12.15 00:44:00	1016.022833	0	60	59	1	1015.890000	1016.140000	0.003956	NaN	NaN	101602.283333	9
2021.12.15 00:45:00	1016.010500	0	60	60	1	1015.890000	1016.160000	0.004778	NaN	NaN	101601.050000	0
2021.12.15 00:46:00	1015.979167	0	60	60	1	1015.850000	1016.100000	0.004916	NaN	NaN	101597.916667	9
2021.12.15 00:47:00	1015.959333	0	60	60	1	1015.810000	1016.090000	0.004871	NaN	NaN	101595.933333	0
2021.12.15 00:48:00	1015.967667	0	60	60	1	1015.810000	1016.100000	0.006540	NaN	NaN	101596.766667	0
2021.12.15 00:49:00	1015.968833	0	60	60	1	1015.810000	1016.090000	0.005655	NaN	NaN	101596.883333	9
2021.12.15 00:50:00	1015.973667	0	60	60	1	1015.810000	1016.110000	0.005264	NaN	NaN	101597.366667	9
2021.12.15 00:51:00	1015.933500	0	60	60	1	1015.780000	1016.070000	0.005362	NaN	NaN	101593.350000	9
2021.12.15 00:52:00	1015.921833	0	60	60	1	1015.770000	1016.050000	0.004493	NaN	NaN	101592.183333	9
2021.12.15 00:53:00	1015.906167	0	60	60	1	1015.740000	1016.030000	0.005627	NaN	NaN	101590.616667	9
2021.12.15 00:54:00	1015.918167	0	60	60	1	1015.770000	1016.060000	0.004588	NaN	NaN	101591.816667	0
2021.12.15 00:55:00	1015.907167	0	60	60	1	1015.770000	1016.030000	0.004736	NaN	NaN	101590.716667	9
2021.12.15 00:56:00	1015.890500	0	60	60	1	1015.740000	1016.020000	0.005032	NaN	NaN	101589.050000	9
2021.12.15 00:57:00	1015.855000	0	60	60	1	1015.690000	1015.990000	0.005361	NaN	NaN	101585.500000	0
2021.12.15 00:58:00	1015.823333	0	60	60	1	1015.660000	1015.920000	0.004355	NaN	NaN	101582.333333	9
2021.12.15 00:59:00	1015.830000	0	60	60	1	1015.700000	1015.950000	0.004868	NaN	NaN	101583.000000	0
