$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.06 00:00:02
$Filename; CO2FT_A_P_NDIR_20211206.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; P_NDIR, mbar; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, mbar; Float
$8; Maximum; mbar; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	P_NDIR	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	mbar	Flags	Cnt	Sec	MR	mbar	mbar	Units	Deg	Deg	Units	Flags
2021.12.06 00:00:00	1020.493667	128	60	60	1	1020.360000	1020.620000	0.006308	NaN	NaN	102049.366667	8388617
2021.12.06 00:01:00	1022.414324	128	37	60	1	1020.360000	1023.190000	1.479564	NaN	NaN	102241.432432	8388617
2021.12.06 00:02:00	1023.285833	128	60	60	1	1023.150000	1023.420000	0.005235	NaN	NaN	102328.583333	8388608
2021.12.06 00:03:00	1019.901961	128	51	59	1	1019.480000	1023.420000	1.037164	NaN	NaN	101990.196078	8388609
2021.12.06 00:04:00	1019.585902	16512	61	60	1	1019.440000	1019.710000	0.007535	NaN	NaN	101958.590164	8388609
2021.12.06 00:05:00	1019.610667	16512	60	59	1	1019.490000	1019.740000	0.005142	NaN	NaN	101961.066667	8388609
2021.12.06 00:06:00	1019.669000	16512	60	60	1	1019.530000	1019.770000	0.003982	NaN	NaN	101966.900000	8388609
2021.12.06 00:07:00	1019.672542	16512	59	59	1	1019.520000	1019.790000	0.005285	NaN	NaN	101967.254237	8388617
2021.12.06 00:08:00	1019.691500	16512	60	60	1	1019.560000	1019.850000	0.004074	NaN	NaN	101969.150000	8388617
2021.12.06 00:09:00	1019.719016	16512	61	61	1	1019.550000	1019.840000	0.006476	NaN	NaN	101971.901639	8388609
2021.12.06 00:10:00	1019.734068	16512	59	59	1	1019.590000	1019.840000	0.004569	NaN	NaN	101973.406780	8388609
2021.12.06 00:11:00	1019.745500	16512	60	60	1	1019.600000	1019.890000	0.007073	NaN	NaN	101974.550000	8388609
2021.12.06 00:12:00	1019.764426	16512	61	61	1	1019.620000	1019.880000	0.004905	NaN	NaN	101976.442623	8388609
2021.12.06 00:13:00	1019.768814	16512	59	59	1	1019.630000	1019.900000	0.007687	NaN	NaN	101976.881356	8388609
2021.12.06 00:14:00	1019.777377	16512	61	60	1	1019.620000	1019.900000	0.006000	NaN	NaN	101977.737705	8388609
2021.12.06 00:15:00	1019.785667	16512	60	59	1	1019.660000	1019.890000	0.004855	NaN	NaN	101978.566667	8388617
2021.12.06 00:16:00	1019.823167	16512	60	59	1	1019.670000	1019.920000	0.005019	NaN	NaN	101982.316667	8388609
2021.12.06 00:17:00	1019.800678	16512	59	59	1	1019.640000	1019.930000	0.006848	NaN	NaN	101980.067797	8388609
2021.12.06 00:18:00	1019.803833	16512	60	60	1	1019.640000	1019.930000	0.006190	NaN	NaN	101980.383333	8388617
2021.12.06 00:19:00	1019.802131	128	61	61	1	1019.640000	1019.900000	0.006884	NaN	NaN	101980.213115	8388608
2021.12.06 00:20:00	1019.810833	128	60	60	1	1019.670000	1019.930000	0.005618	NaN	NaN	101981.083333	8388608
2021.12.06 00:21:00	1019.819667	128	60	60	1	1019.700000	1019.930000	0.004474	NaN	NaN	101981.966667	8388617
2021.12.06 00:22:00	1019.881356	128	59	59	1	1019.730000	1020.000000	0.004519	NaN	NaN	101988.135593	8388608
2021.12.06 00:23:00	1019.974833	128	60	60	1	1019.860000	1020.100000	0.002866	NaN	NaN	101997.483333	8388617
2021.12.06 00:24:00	1019.999180	128	61	61	1	1019.850000	1020.120000	0.007601	NaN	NaN	101999.918033	8388608
2021.12.06 00:25:00	1020.019831	128	59	59	1	1019.840000	1020.120000	0.004460	NaN	NaN	102001.983051	8388608
2021.12.06 00:26:00	1019.985833	128	60	60	1	1019.850000	1020.110000	0.007133	NaN	NaN	101998.583333	8388617
