$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.17 00:00:08
$Filename; CO2FT_A_H_Gas_20211217.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; H_Gas, %RH; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, %RH; Float
$8; Maximum; %RH; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	H_Gas	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	%RH	Flags	Cnt	Sec	MR	%RH	%RH	Units	Deg	Deg	Units	Flags
2021.12.17 00:38:00	19.471183	0	60	60	1	19.441000	19.479000	0.000187	NaN	NaN	19471.183333	9
2021.12.17 00:39:00	19.457017	0	60	60	1	19.406000	19.479000	0.000693	NaN	NaN	19457.016667	0
2021.12.17 00:40:00	19.466167	0	60	60	1	19.406000	19.549000	0.000743	NaN	NaN	19466.166667	0
2021.12.17 00:41:00	19.505567	0	60	60	1	19.476000	19.549000	0.001115	NaN	NaN	19505.566667	0
2021.12.17 00:42:00	19.559433	0	60	60	1	19.547000	19.620000	0.000534	NaN	NaN	19559.433333	9
2021.12.17 00:43:00	19.639550	0	60	60	1	19.583000	19.691000	0.001254	NaN	NaN	19639.550000	9
2021.12.17 00:44:00	19.744683	0	60	60	1	19.689000	19.796000	0.001042	NaN	NaN	19744.683333	0
2021.12.17 00:45:00	19.829433	0	60	60	1	19.760000	19.902000	0.000703	NaN	NaN	19829.433333	0
2021.12.17 00:46:00	19.855950	0	60	60	1	19.830000	19.903000	0.000741	NaN	NaN	19855.950000	0
2021.12.17 00:47:00	19.860367	0	60	60	1	19.831000	19.903000	0.000960	NaN	NaN	19860.366667	0
2021.12.17 00:48:00	19.846583	0	60	60	1	19.830000	19.903000	0.000616	NaN	NaN	19846.583333	0
2021.12.17 00:49:00	19.841683	0	60	60	1	19.830000	19.902000	0.000356	NaN	NaN	19841.683333	9
2021.12.17 00:50:00	19.834500	0	60	60	1	19.830000	19.901000	0.000195	NaN	NaN	19834.500000	0
2021.12.17 00:51:00	19.831067	0	60	60	1	19.830000	19.832000	0.000000	NaN	NaN	19831.066667	0
2021.12.17 00:52:00	19.826917	0	60	60	1	19.760000	19.832000	0.000177	NaN	NaN	19826.916667	0
2021.12.17 00:53:00	19.810650	0	60	60	1	19.759000	19.832000	0.000621	NaN	NaN	19810.650000	9
2021.12.17 00:54:00	19.786817	0	60	60	1	19.759000	19.831000	0.000797	NaN	NaN	19786.816667	0
