$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.08 00:00:07
$Filename; CO2FT_A_H_Gas_20211208.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; H_Gas, %RH; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, %RH; Float
$8; Maximum; %RH; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	H_Gas	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	%RH	Flags	Cnt	Sec	MR	%RH	%RH	Units	Deg	Deg	Units	Flags
2021.12.08 00:00:00	22.099633	0	60	59	1	22.081000	22.152000	0.000741	NaN	NaN	22099.633333	0
2021.12.08 00:01:00	35.339676	0	37	60	1	22.079000	41.049000	76.223289	NaN	NaN	35339.675676	9
2021.12.08 00:02:00	41.196550	0	60	60	1	41.016000	41.352000	0.007857	NaN	NaN	41196.550000	0
2021.12.08 00:03:00	25.816231	16384	52	61	1	22.434000	41.385000	40.177242	NaN	NaN	25816.230769	1
2021.12.08 00:04:00	22.346983	16384	59	59	1	22.260000	22.435000	0.002704	NaN	NaN	22346.983051	1
2021.12.08 00:05:00	22.222738	16384	61	61	1	22.156000	22.297000	0.001531	NaN	NaN	22222.737705	1
2021.12.08 00:06:00	22.134217	16384	60	60	1	22.087000	22.193000	0.001313	NaN	NaN	22134.216667	1
2021.12.08 00:07:00	22.061627	16384	59	59	1	22.019000	22.091000	0.000966	NaN	NaN	22061.627119	1
2021.12.08 00:08:00	22.019817	16384	60	60	1	21.984000	22.090000	0.000147	NaN	NaN	22019.816667	1
2021.12.08 00:09:00	22.020492	16384	61	61	1	21.986000	22.023000	0.000041	NaN	NaN	22020.491803	1
2021.12.08 00:10:00	22.024441	16384	59	59	1	21.988000	22.093000	0.000186	NaN	NaN	22024.440678	1
2021.12.08 00:11:00	22.014150	16384	60	60	1	21.952000	22.024000	0.000404	NaN	NaN	22014.150000	1
2021.12.08 00:12:00	21.979717	16384	60	61	1	21.952000	22.024000	0.000850	NaN	NaN	21979.716667	1
2021.12.08 00:13:00	21.956900	16384	60	60	1	21.951000	22.022000	0.000168	NaN	NaN	21956.900000	1
2021.12.08 00:14:00	21.954361	16384	61	60	1	21.917000	22.024000	0.000186	NaN	NaN	21954.360656	1
2021.12.08 00:15:00	21.952333	16384	60	60	1	21.917000	22.022000	0.000165	NaN	NaN	21952.333333	1
2021.12.08 00:16:00	21.958150	16384	60	60	1	21.951000	22.021000	0.000269	NaN	NaN	21958.150000	1
2021.12.08 00:17:00	21.964933	16384	60	60	1	21.950000	22.022000	0.000554	NaN	NaN	21964.933333	1
2021.12.08 00:18:00	21.973800	16384	60	60	1	21.949000	22.022000	0.000788	NaN	NaN	21973.800000	1
2021.12.08 00:19:00	22.002542	0	59	59	1	21.949000	22.056000	0.000727	NaN	NaN	22002.542373	0
2021.12.08 00:20:00	22.013016	0	61	60	1	21.950000	22.021000	0.000282	NaN	NaN	22013.016393	0
2021.12.08 00:21:00	22.019617	0	60	59	1	21.985000	22.055000	0.000042	NaN	NaN	22019.616667	0
2021.12.08 00:22:00	22.004966	0	59	59	1	21.949000	22.020000	0.000351	NaN	NaN	22004.966102	0
2021.12.08 00:23:00	22.003500	0	60	60	1	21.947000	22.019000	0.000645	NaN	NaN	22003.500000	0
2021.12.08 00:24:00	22.012016	0	61	61	1	21.946000	22.052000	0.000240	NaN	NaN	22012.016393	0
2021.12.08 00:25:00	22.025133	0	60	60	1	22.016000	22.088000	0.000351	NaN	NaN	22025.133333	9
2021.12.08 00:26:00	22.053576	0	59	59	1	22.015000	22.087000	0.000871	NaN	NaN	22053.576271	9
2021.12.08 00:27:00	22.073475	0	61	60	1	22.014000	22.086000	0.000494	NaN	NaN	22073.475410	0
2021.12.08 00:28:00	22.080525	0	59	58	1	22.049000	22.120000	0.000188	NaN	NaN	22080.525424	0
2021.12.08 00:29:00	22.079500	0	60	60	1	22.014000	22.086000	0.000248	NaN	NaN	22079.500000	9
2021.12.08 00:30:00	22.085050	0	60	60	1	22.082000	22.118000	0.000039	NaN	NaN	22085.050000	0
2021.12.08 00:31:00	22.082900	0	60	60	1	22.012000	22.153000	0.000567	NaN	NaN	22082.900000	0
