$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.09 00:00:04
$Filename; CO2FT_A_T_Control_20211209.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; T_Control, °C; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, °C; Float
$8; Maximum; °C; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	T_Control	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	°C	Flags	Cnt	Sec	MR	°C	°C	Units	Deg	Deg	Units	Flags
2021.12.09 00:38:00	50.001100	0	60	59	1	49.977000	50.015000	0.000060	NaN	NaN	50001.100000	0
2021.12.09 00:39:00	49.999567	0	60	60	1	49.980000	50.012000	0.000033	NaN	NaN	49999.566667	0
2021.12.09 00:40:00	49.999967	0	61	61	1	49.983000	50.017000	0.000042	NaN	NaN	49999.967213	0
2021.12.09 00:41:00	49.999492	0	59	59	1	49.987000	50.015000	0.000039	NaN	NaN	49999.491525	0
2021.12.09 00:42:00	50.001650	0	60	60	1	49.990000	50.010000	0.000031	NaN	NaN	50001.650000	0
2021.12.09 00:43:00	50.000550	0	60	61	1	49.984000	50.012000	0.000043	NaN	NaN	50000.550000	0
2021.12.09 00:44:00	49.999400	0	60	60	1	49.971000	50.013000	0.000055	NaN	NaN	49999.400000	0
2021.12.09 00:45:00	50.001633	0	60	59	1	49.986000	50.018000	0.000042	NaN	NaN	50001.633333	0
2021.12.09 00:46:00	49.998883	0	60	60	1	49.984000	50.017000	0.000056	NaN	NaN	49998.883333	0
2021.12.09 00:47:00	50.001017	0	60	60	1	49.985000	50.012000	0.000042	NaN	NaN	50001.016667	9
2021.12.09 00:48:00	50.001250	0	60	61	1	49.978000	50.017000	0.000058	NaN	NaN	50001.250000	0
2021.12.09 00:49:00	49.999650	0	60	60	1	49.980000	50.023000	0.000050	NaN	NaN	49999.650000	0
2021.12.09 00:50:00	50.000148	0	61	61	1	49.951000	50.022000	0.000084	NaN	NaN	50000.147541	0
2021.12.09 00:51:00	50.000050	0	60	60	1	49.966000	50.013000	0.000050	NaN	NaN	50000.050000	9
2021.12.09 00:52:00	50.000271	0	59	59	1	49.987000	50.011000	0.000030	NaN	NaN	50000.271186	0
2021.12.09 00:53:00	49.999283	0	60	61	1	49.985000	50.017000	0.000035	NaN	NaN	49999.283333	0
2021.12.09 00:54:00	49.999700	0	60	60	1	49.984000	50.018000	0.000048	NaN	NaN	49999.700000	0
2021.12.09 00:55:00	50.000803	0	61	60	1	49.983000	50.014000	0.000045	NaN	NaN	50000.803279	0
2021.12.09 00:56:00	49.999600	0	60	59	1	49.985000	50.013000	0.000040	NaN	NaN	49999.600000	0
2021.12.09 00:57:00	49.999712	0	59	59	1	49.969000	50.017000	0.000066	NaN	NaN	49999.711864	9
2021.12.09 00:58:00	49.999500	0	60	60	1	49.981000	50.014000	0.000043	NaN	NaN	49999.500000	0
2021.12.09 00:59:00	49.999467	0	60	60	1	49.977000	50.016000	0.000065	NaN	NaN	49999.466667	0
2021.12.09 01:00:00	50.000133	0	60	59	1	49.981000	50.012000	0.000040	NaN	NaN	50000.133333	9
2021.12.09 01:01:00	49.999900	0	60	60	1	49.987000	50.020000	0.000047	NaN	NaN	49999.900000	0
2021.12.09 01:02:00	50.000433	0	60	60	1	49.984000	50.018000	0.000043	NaN	NaN	50000.433333	0
2021.12.09 01:03:00	49.999800	0	60	60	1	49.985000	50.012000	0.000040	NaN	NaN	49999.800000	9
2021.12.09 01:04:00	49.999180	0	61	61	1	49.985000	50.028000	0.000041	NaN	NaN	49999.180328	0
2021.12.09 01:05:00	50.000983	0	59	60	1	49.977000	50.016000	0.000063	NaN	NaN	50000.983051	9
2021.12.09 01:06:00	49.999377	0	61	61	1	49.984000	50.015000	0.000048	NaN	NaN	49999.377049	0
2021.12.09 01:07:00	50.000617	0	60	59	1	49.985000	50.012000	0.000035	NaN	NaN	50000.616667	0
2021.12.09 01:08:00	50.000763	0	59	59	1	49.959000	50.012000	0.000078	NaN	NaN	50000.762712	9
2021.12.09 01:09:00	49.999617	0	60	60	1	49.988000	50.021000	0.000040	NaN	NaN	49999.616667	0
2021.12.09 01:10:00	50.000700	0	60	60	1	49.967000	50.011000	0.000049	NaN	NaN	50000.700000	0
