$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.10 00:00:05
$Filename; CO2FT_A_T_Control_20211210.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; T_Control, °C; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, °C; Float
$8; Maximum; °C; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	T_Control	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	°C	Flags	Cnt	Sec	MR	°C	°C	Units	Deg	Deg	Units	Flags
2021.12.10 00:00:00	50.001373	0	59	59	1	49.986000	50.023000	0.000050	NaN	NaN	50001.372881	9
2021.12.10 00:01:00	49.999378	0	37	60	1	49.989000	50.012000	0.000038	NaN	NaN	49999.378378	9
2021.12.10 00:02:00	50.000883	0	60	60	1	49.980000	50.016000	0.000044	NaN	NaN	50000.883333	0
2021.12.10 00:03:00	50.004434	16384	53	60	1	49.960000	50.020000	0.000090	NaN	NaN	50004.433962	9
2021.12.10 00:04:00	50.000817	16384	60	59	1	49.960000	50.015000	0.000062	NaN	NaN	50000.816667	9
2021.12.10 00:05:00	50.000333	16384	60	60	1	49.965000	50.015000	0.000065	NaN	NaN	50000.333333	1
2021.12.10 00:06:00	49.999627	16384	59	59	1	49.980000	50.011000	0.000046	NaN	NaN	49999.627119	9
2021.12.10 00:07:00	50.000283	16384	60	60	1	49.971000	50.013000	0.000057	NaN	NaN	50000.283333	1
2021.12.10 00:08:00	49.998833	16384	60	61	1	49.961000	50.017000	0.000074	NaN	NaN	49998.833333	1
2021.12.10 00:09:00	49.999800	16384	60	59	1	49.985000	50.012000	0.000043	NaN	NaN	49999.800000	9
2021.12.10 00:10:00	49.998283	16384	60	59	1	49.973000	50.014000	0.000071	NaN	NaN	49998.283333	1
2021.12.10 00:11:00	49.999623	16384	61	61	1	49.983000	50.023000	0.000064	NaN	NaN	49999.622951	1
2021.12.10 00:12:00	49.999441	16384	59	59	1	49.971000	50.013000	0.000054	NaN	NaN	49999.440678	1
2021.12.10 00:13:00	49.998836	16384	61	61	1	49.984000	50.013000	0.000044	NaN	NaN	49998.836066	9
2021.12.10 00:14:00	49.999133	16384	60	60	1	49.983000	50.015000	0.000042	NaN	NaN	49999.133333	1
2021.12.10 00:15:00	49.999814	16384	59	59	1	49.978000	50.014000	0.000050	NaN	NaN	49999.813559	1
2021.12.10 00:16:00	50.000262	16384	61	61	1	49.952000	50.013000	0.000067	NaN	NaN	50000.262295	1
2021.12.10 00:17:00	49.999593	16384	59	59	1	49.982000	50.013000	0.000049	NaN	NaN	49999.593220	9
2021.12.10 00:18:00	49.999016	16384	61	60	1	49.981000	50.012000	0.000050	NaN	NaN	49999.016393	9
2021.12.10 00:19:00	49.998983	0	59	59	1	49.980000	50.015000	0.000051	NaN	NaN	49998.983051	0
2021.12.10 00:20:00	50.001033	0	61	61	1	49.973000	50.015000	0.000053	NaN	NaN	50001.032787	0
2021.12.10 00:21:00	49.999067	0	60	60	1	49.982000	50.020000	0.000056	NaN	NaN	49999.066667	9
2021.12.10 00:22:00	50.001508	0	59	59	1	49.984000	50.015000	0.000034	NaN	NaN	50001.508475	0
2021.12.10 00:23:00	49.999717	0	60	60	1	49.975000	50.010000	0.000035	NaN	NaN	49999.716667	9
2021.12.10 00:24:00	49.999410	0	61	61	1	49.985000	50.013000	0.000043	NaN	NaN	49999.409836	0
2021.12.10 00:25:00	50.000750	0	60	60	1	49.986000	50.018000	0.000040	NaN	NaN	50000.750000	0
2021.12.10 00:26:00	49.998542	0	59	59	1	49.986000	50.009000	0.000029	NaN	NaN	49998.542373	9
2021.12.10 00:27:00	50.001533	0	60	60	1	49.975000	50.014000	0.000053	NaN	NaN	50001.533333	9
2021.12.10 00:28:00	50.000672	0	61	61	1	49.982000	50.015000	0.000042	NaN	NaN	50000.672131	9
2021.12.10 00:29:00	49.999712	0	59	59	1	49.981000	50.010000	0.000041	NaN	NaN	49999.711864	9
2021.12.10 00:30:00	49.999350	0	60	60	1	49.965000	50.011000	0.000068	NaN	NaN	49999.350000	9
2021.12.10 00:31:00	49.999033	0	61	61	1	49.966000	50.012000	0.000069	NaN	NaN	49999.032787	9
2021.12.10 00:32:00	50.001033	0	60	60	1	49.978000	50.013000	0.000050	NaN	NaN	50001.033333	0
2021.12.10 00:33:00	49.999475	0	59	58	1	49.985000	50.015000	0.000045	NaN	NaN	49999.474576	0
2021.12.10 00:34:00	49.999885	0	61	61	1	49.983000	50.013000	0.000045	NaN	NaN	49999.885246	0
2021.12.10 00:35:00	50.000881	0	59	58	1	49.985000	50.016000	0.000050	NaN	NaN	50000.881356	9
2021.12.10 00:36:00	50.001783	0	60	60	1	49.982000	50.019000	0.000056	NaN	NaN	50001.783333	0
2021.12.10 00:37:00	49.998541	0	61	61	1	49.971000	50.014000	0.000054	NaN	NaN	49998.540984	9
2021.12.10 00:38:00	50.001254	0	59	60	1	49.979000	50.025000	0.000063	NaN	NaN	50001.254237	0
2021.12.10 00:39:00	49.999817	0	60	59	1	49.988000	50.012000	0.000024	NaN	NaN	49999.816667	0
2021.12.10 00:40:00	49.999164	0	61	60	1	49.983000	50.027000	0.000062	NaN	NaN	49999.163934	9
2021.12.10 00:41:00	50.001733	0	60	60	1	49.978000	50.018000	0.000058	NaN	NaN	50001.733333	0
2021.12.10 00:42:00	49.998576	0	59	59	1	49.977000	50.016000	0.000055	NaN	NaN	49998.576271	0
2021.12.10 00:43:00	49.996754	0	61	61	1	49.938000	50.028000	0.000154	NaN	NaN	49996.754098	0
2021.12.10 00:44:00	49.999492	0	59	59	1	49.972000	50.027000	0.000080	NaN	NaN	49999.491525	0
2021.12.10 00:45:00	49.999733	0	60	61	1	49.983000	50.012000	0.000043	NaN	NaN	49999.733333	0
2021.12.10 00:46:00	49.999533	0	60	60	1	49.973000	50.015000	0.000055	NaN	NaN	49999.533333	9
2021.12.10 00:47:00	50.000000	0	60	59	1	49.976000	50.015000	0.000072	NaN	NaN	50000.000000	9
2021.12.10 00:48:00	50.000082	0	61	60	1	49.984000	50.016000	0.000052	NaN	NaN	50000.081967	9
2021.12.10 00:49:00	50.001383	0	60	59	1	49.985000	50.025000	0.000056	NaN	NaN	50001.383333	0
2021.12.10 00:50:00	49.999322	0	59	59	1	49.961000	50.016000	0.000093	NaN	NaN	49999.322034	9
2021.12.10 00:51:00	50.000117	0	60	60	1	49.972000	50.017000	0.000067	NaN	NaN	50000.116667	9
2021.12.10 00:52:00	50.001279	0	61	61	1	49.980000	50.020000	0.000068	NaN	NaN	50001.278689	9
2021.12.10 00:53:00	50.000203	0	59	60	1	49.981000	50.022000	0.000070	NaN	NaN	50000.203390	0
2021.12.10 00:54:00	50.000400	0	60	60	1	49.972000	50.017000	0.000071	NaN	NaN	50000.400000	0
2021.12.10 00:55:00	50.000167	0	60	59	1	49.981000	50.016000	0.000057	NaN	NaN	50000.166667	9
2021.12.10 00:56:00	49.999885	0	61	60	1	49.983000	50.012000	0.000046	NaN	NaN	49999.885246	9
2021.12.10 00:57:00	49.999610	0	59	58	1	49.976000	50.016000	0.000055	NaN	NaN	49999.610169	0
2021.12.10 00:58:00	50.000733	0	60	60	1	49.984000	50.019000	0.000079	NaN	NaN	50000.733333	9
2021.12.10 00:59:00	49.999350	0	60	60	1	49.986000	50.011000	0.000035	NaN	NaN	49999.350000	0
2021.12.10 01:00:00	50.000950	0	60	60	1	49.985000	50.014000	0.000041	NaN	NaN	50000.950000	0
2021.12.10 01:01:00	50.000450	0	60	60	1	49.984000	50.019000	0.000040	NaN	NaN	50000.450000	0
2021.12.10 01:02:00	49.999600	0	60	60	1	49.981000	50.014000	0.000044	NaN	NaN	49999.600000	0
2021.12.10 01:03:00	50.000283	0	60	59	1	49.987000	50.021000	0.000052	NaN	NaN	50000.283333	0
2021.12.10 01:04:00	50.000377	0	61	61	1	49.983000	50.018000	0.000048	NaN	NaN	50000.377049	0
2021.12.10 01:05:00	50.001339	0	59	59	1	49.973000	50.013000	0.000056	NaN	NaN	50001.338983	0
