$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.09 00:00:04
$Filename; CO2FT_A_Conc_Estimate_20211209.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E+0
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Conc_Estimate, ppm; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, ppm; Float
$8; Maximum; ppm; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Conc_Estimate	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	ppm	Flags	Cnt	Sec	MR	ppm	ppm	Units	Deg	Deg	Units	Flags
2021.12.09 00:00:00	502.932203	0	59	60	1	502.000000	503.000000	0.064290	NaN	NaN	502.932203	0
2021.12.09 00:01:00	149.657895	0	38	59	1	6.000000	503.000000	51971.420341	NaN	NaN	149.657895	9
2021.12.09 00:02:00	6.000000	0	60	60	1	6.000000	6.000000	0.000000	NaN	NaN	6.000000	0
2021.12.09 00:03:00	199.941176	16384	51	60	1	6.000000	290.000000	11514.856471	NaN	NaN	199.941176	1
2021.12.09 00:04:00	311.433333	16384	60	61	1	291.000000	331.000000	147.402260	NaN	NaN	311.433333	1
2021.12.09 00:05:00	348.278689	16384	61	60	1	332.000000	364.000000	89.704372	NaN	NaN	348.278689	1
2021.12.09 00:06:00	377.733333	16384	60	60	1	365.000000	390.000000	54.910734	NaN	NaN	377.733333	1
2021.12.09 00:07:00	400.135593	16384	59	59	1	390.000000	410.000000	34.877849	NaN	NaN	400.135593	1
2021.12.09 00:08:00	418.688525	16384	61	61	1	410.000000	427.000000	22.851366	NaN	NaN	418.688525	9
2021.12.09 00:09:00	433.779661	16384	59	59	1	427.000000	440.000000	15.554062	NaN	NaN	433.779661	9
2021.12.09 00:10:00	445.475410	16384	61	60	1	440.000000	451.000000	9.553552	NaN	NaN	445.475410	1
2021.12.09 00:11:00	455.316667	16384	60	60	1	451.000000	459.000000	6.118362	NaN	NaN	455.316667	9
2021.12.09 00:12:00	463.305085	16384	59	60	1	460.000000	467.000000	4.043250	NaN	NaN	463.305085	9
2021.12.09 00:13:00	469.688525	16384	61	62	1	467.000000	472.000000	2.951366	NaN	NaN	469.688525	1
2021.12.09 00:14:00	475.050847	16384	59	58	1	472.000000	477.000000	2.290473	NaN	NaN	475.050847	9
2021.12.09 00:15:00	479.783333	16384	60	60	1	477.000000	482.000000	1.325141	NaN	NaN	479.783333	1
2021.12.09 00:16:00	483.918033	16384	61	61	1	482.000000	486.000000	1.443169	NaN	NaN	483.918033	1
2021.12.09 00:17:00	487.288136	16384	59	59	1	486.000000	489.000000	0.829340	NaN	NaN	487.288136	9
2021.12.09 00:18:00	490.333333	16384	60	59	1	488.000000	492.000000	1.378531	NaN	NaN	490.333333	1
2021.12.09 00:19:00	492.983333	0	60	60	1	492.000000	494.000000	0.728531	NaN	NaN	492.983333	0
2021.12.09 00:20:00	494.750000	0	60	59	1	494.000000	495.000000	0.190678	NaN	NaN	494.750000	0
2021.12.09 00:21:00	496.233333	0	60	60	1	495.000000	497.000000	0.453107	NaN	NaN	496.233333	0
2021.12.09 00:22:00	497.950820	0	61	61	1	497.000000	499.000000	0.547541	NaN	NaN	497.950820	0
2021.12.09 00:23:00	499.830508	0	59	58	1	499.000000	501.000000	0.419053	NaN	NaN	499.830508	0
2021.12.09 00:24:00	501.416667	0	60	60	1	500.000000	502.000000	0.348870	NaN	NaN	501.416667	0
2021.12.09 00:25:00	501.916667	0	60	60	1	501.000000	503.000000	0.281073	NaN	NaN	501.916667	0
2021.12.09 00:26:00	503.050000	0	60	60	1	503.000000	504.000000	0.048305	NaN	NaN	503.050000	9
2021.12.09 00:27:00	504.098361	0	61	60	1	503.000000	505.000000	0.556831	NaN	NaN	504.098361	0
2021.12.09 00:28:00	504.864407	0	59	59	1	504.000000	505.000000	0.119229	NaN	NaN	504.864407	0
2021.12.09 00:29:00	505.852459	0	61	61	1	505.000000	506.000000	0.127869	NaN	NaN	505.852459	0
2021.12.09 00:30:00	506.450000	0	60	59	1	506.000000	507.000000	0.251695	NaN	NaN	506.450000	9
2021.12.09 00:31:00	507.016949	0	59	59	1	507.000000	508.000000	0.016949	NaN	NaN	507.016949	9
2021.12.09 00:32:00	507.639344	0	61	60	1	507.000000	508.000000	0.234426	NaN	NaN	507.639344	9
2021.12.09 00:33:00	508.016949	0	59	60	1	508.000000	509.000000	0.016949	NaN	NaN	508.016949	0
2021.12.09 00:34:00	508.283333	0	60	60	1	508.000000	509.000000	0.206497	NaN	NaN	508.283333	0
2021.12.09 00:35:00	508.000000	0	61	61	1	508.000000	508.000000	0.000000	NaN	NaN	508.000000	0
2021.12.09 00:36:00	508.000000	0	59	60	1	508.000000	508.000000	0.000000	NaN	NaN	508.000000	9
2021.12.09 00:37:00	508.283333	0	60	60	1	508.000000	509.000000	0.206497	NaN	NaN	508.283333	0
2021.12.09 00:38:00	508.316667	0	60	59	1	508.000000	509.000000	0.220056	NaN	NaN	508.316667	0
2021.12.09 00:39:00	508.133333	0	60	60	1	508.000000	509.000000	0.117514	NaN	NaN	508.133333	0
2021.12.09 00:40:00	508.000000	0	61	61	1	508.000000	508.000000	0.000000	NaN	NaN	508.000000	0
2021.12.09 00:41:00	508.000000	0	59	59	1	508.000000	508.000000	0.000000	NaN	NaN	508.000000	0
2021.12.09 00:42:00	507.516667	0	60	60	1	507.000000	508.000000	0.253955	NaN	NaN	507.516667	0
2021.12.09 00:43:00	507.066667	0	60	61	1	506.000000	508.000000	0.164972	NaN	NaN	507.066667	0
2021.12.09 00:44:00	506.433333	0	60	60	1	506.000000	507.000000	0.249718	NaN	NaN	506.433333	0
2021.12.09 00:45:00	505.950000	0	60	59	1	505.000000	507.000000	0.082203	NaN	NaN	505.950000	0
2021.12.09 00:46:00	505.750000	0	60	60	1	505.000000	506.000000	0.190678	NaN	NaN	505.750000	0
2021.12.09 00:47:00	504.583333	0	60	60	1	504.000000	505.000000	0.247175	NaN	NaN	504.583333	9
2021.12.09 00:48:00	504.016667	0	60	61	1	504.000000	505.000000	0.016667	NaN	NaN	504.016667	0
2021.12.09 00:49:00	503.750000	0	60	60	1	503.000000	504.000000	0.190678	NaN	NaN	503.750000	0
2021.12.09 00:50:00	503.049180	0	61	61	1	503.000000	504.000000	0.047541	NaN	NaN	503.049180	0
2021.12.09 00:51:00	503.000000	0	60	60	1	503.000000	503.000000	0.000000	NaN	NaN	503.000000	9
2021.12.09 00:52:00	503.033898	0	59	59	1	503.000000	504.000000	0.033314	NaN	NaN	503.033898	0
2021.12.09 00:53:00	503.616667	0	60	61	1	503.000000	504.000000	0.240395	NaN	NaN	503.616667	0
2021.12.09 00:54:00	504.050000	0	60	60	1	504.000000	505.000000	0.048305	NaN	NaN	504.050000	0
2021.12.09 00:55:00	504.000000	0	61	60	1	504.000000	504.000000	0.000000	NaN	NaN	504.000000	0
2021.12.09 00:56:00	504.450000	0	60	59	1	504.000000	505.000000	0.251695	NaN	NaN	504.450000	0
2021.12.09 00:57:00	505.372881	0	59	59	1	505.000000	506.000000	0.237873	NaN	NaN	505.372881	9
2021.12.09 00:58:00	505.516667	0	60	60	1	505.000000	506.000000	0.253955	NaN	NaN	505.516667	0
2021.12.09 00:59:00	506.366667	0	60	60	1	506.000000	507.000000	0.236158	NaN	NaN	506.366667	0
2021.12.09 01:00:00	507.033333	0	60	59	1	507.000000	508.000000	0.032768	NaN	NaN	507.033333	9
2021.12.09 01:01:00	507.700000	0	60	60	1	507.000000	508.000000	0.213559	NaN	NaN	507.700000	0
2021.12.09 01:02:00	507.533333	0	60	60	1	507.000000	508.000000	0.253107	NaN	NaN	507.533333	0
2021.12.09 01:03:00	507.483333	0	60	60	1	507.000000	508.000000	0.253955	NaN	NaN	507.483333	9
2021.12.09 01:04:00	507.196721	0	61	61	1	507.000000	508.000000	0.160656	NaN	NaN	507.196721	0
2021.12.09 01:05:00	507.661017	0	59	60	1	507.000000	508.000000	0.227937	NaN	NaN	507.661017	9
2021.12.09 01:06:00	507.147541	0	61	61	1	507.000000	508.000000	0.127869	NaN	NaN	507.147541	0
2021.12.09 01:07:00	507.000000	0	60	59	1	507.000000	507.000000	0.000000	NaN	NaN	507.000000	0
2021.12.09 01:08:00	506.881356	0	59	59	1	506.000000	508.000000	0.209819	NaN	NaN	506.881356	9
2021.12.09 01:09:00	507.033333	0	60	60	1	507.000000	508.000000	0.032768	NaN	NaN	507.033333	0
2021.12.09 01:10:00	507.016667	0	60	60	1	507.000000	508.000000	0.016667	NaN	NaN	507.016667	0
