$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.07 08:00:10
$Filename; CO2FT_A ZeroCycle 20211207 080010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.07 08:00:15	12288	1	NaN	NaN	1015.320000	994.740000	1.000000	0.000000	20560.000000	15153.000000	46.700000	401.589000	417.000000	66666.000000	393.990000	49.990000	31.939000	31.769000	386.790000	66666.000000	66666.000000
2021.12.07 08:00:15	12288	1	NaN	NaN	1015.410000	994.740000	1.000000	0.000000	20744.000000	15149.000000	46.700000	348.640000	386.000000	66666.000000	337.100000	49.995000	31.939000	34.974000	330.940000	66666.000000	66666.000000
2021.12.07 08:00:16	12288	1	NaN	NaN	1015.430000	994.800000	1.000000	0.000000	20836.000000	15147.000000	46.700000	322.156000	357.000000	66666.000000	310.180000	49.994000	31.939000	37.005000	304.530000	66666.000000	66666.000000
2021.12.07 08:00:18	12288	1	NaN	NaN	1015.430000	994.800000	1.000000	0.000000	20928.000000	15144.000000	46.700000	295.277000	300.000000	66666.000000	283.910000	49.996000	31.939000	37.005000	278.740000	66666.000000	66666.000000
2021.12.07 08:00:19	12288	1	NaN	NaN	1015.460000	994.810000	1.000000	0.000000	20928.000000	15142.000000	46.700000	294.505000	273.000000	66666.000000	283.180000	49.999000	31.959000	38.253000	278.020000	66666.000000	66666.000000
2021.12.07 08:00:19	12288	1	NaN	NaN	1015.460000	994.810000	1.000000	0.000000	21021.000000	15137.000000	46.700000	266.556000	247.000000	66666.000000	257.010000	49.999000	31.969000	39.094000	252.330000	66666.000000	66666.000000
2021.12.07 08:00:21	12288	1	NaN	NaN	1015.480000	994.880000	1.000000	0.000000	21206.000000	15136.000000	46.700000	214.412000	222.000000	66666.000000	211.200000	49.986000	31.969000	39.564000	207.370000	66666.000000	66666.000000
2021.12.07 08:00:22	12288	1	NaN	NaN	1015.480000	994.850000	1.000000	0.000000	21298.000000	15133.000000	46.700000	187.492000	175.000000	66666.000000	189.110000	50.005000	31.980000	39.833000	185.670000	66666.000000	66666.000000
2021.12.07 08:00:23	12288	1	NaN	NaN	1015.470000	994.850000	1.000000	0.000000	21298.000000	15133.000000	46.700000	187.492000	175.000000	66666.000000	189.100000	50.000000	31.959000	40.065000	185.660000	66666.000000	66666.000000
2021.12.07 08:00:24	12288	1	NaN	NaN	1015.520000	994.870000	1.000000	0.000000	21390.000000	15127.000000	46.700000	159.375000	131.000000	66666.000000	167.130000	50.000000	31.959000	40.065000	164.100000	66666.000000	66666.000000
2021.12.07 08:00:25	12288	1	NaN	NaN	1015.500000	994.880000	1.000000	0.000000	21667.000000	15125.000000	46.700000	81.033000	90.000000	66666.000000	112.000000	49.995000	31.969000	40.233000	109.970000	66666.000000	66666.000000
2021.12.07 08:00:26	12288	1	NaN	NaN	1015.520000	994.950000	1.000000	0.000000	21760.000000	15123.000000	46.700000	54.192000	71.000000	66666.000000	95.160000	49.989000	31.959000	40.299000	93.440000	66666.000000	66666.000000
2021.12.07 08:00:27	12288	1	NaN	NaN	1015.510000	994.850000	1.000000	0.000000	21852.000000	15121.000000	46.700000	27.622000	53.000000	66666.000000	79.520000	49.993000	31.959000	40.433000	78.070000	66666.000000	66666.000000
2021.12.07 08:00:28	12288	1	NaN	NaN	1015.540000	994.910000	1.000000	0.000000	21945.000000	15117.000000	46.700000	-0.047000	35.000000	66666.000000	64.320000	49.989000	31.969000	40.501000	63.150000	66666.000000	66666.000000
2021.12.07 08:00:29	12288	1	NaN	NaN	1015.550000	994.940000	1.000000	0.000000	22128.000000	15115.000000	46.700000	-52.127000	12.000000	66666.000000	38.730000	49.995000	31.969000	40.501000	38.030000	66666.000000	66666.000000
2021.12.07 08:00:30	12288	1	NaN	NaN	1015.550000	994.960000	1.000000	0.000000	22167.000000	15114.000000	46.700000	-63.464000	10.000000	66666.000000	33.680000	49.985000	31.989000	40.503000	33.070000	66666.000000	66666.000000
