$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.12 00:00:10
$Filename; CO2FT_A ZeroCycle 20211212 000010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.12 00:00:15	12288	1	NaN	NaN	1022.120000	995.530000	1.000000	0.000000	20768.000000	15149.000000	46.700000	341.932000	378.000000	66666.000000	327.950000	49.993000	31.999000	32.048000	322.220000	66666.000000	66666.000000
2021.12.12 00:00:16	12288	1	NaN	NaN	1022.180000	995.540000	1.000000	0.000000	20856.000000	15146.000000	46.700000	316.179000	350.000000	66666.000000	302.250000	50.000000	31.999000	32.048000	296.960000	66666.000000	66666.000000
2021.12.12 00:00:17	12288	1	NaN	NaN	1022.200000	995.550000	1.000000	0.000000	20944.000000	15146.000000	46.700000	291.577000	296.000000	66666.000000	278.570000	49.992000	31.980000	34.706000	273.710000	66666.000000	66666.000000
2021.12.12 00:00:18	12288	1	NaN	NaN	1022.270000	995.540000	1.000000	0.000000	21031.000000	15144.000000	46.700000	266.477000	271.000000	66666.000000	255.350000	49.986000	32.009000	36.403000	250.880000	66666.000000	66666.000000
2021.12.12 00:00:19	12288	1	NaN	NaN	1022.250000	995.550000	1.000000	0.000000	21207.000000	15140.000000	46.700000	215.699000	246.000000	66666.000000	211.110000	50.000000	32.020000	37.451000	207.430000	66666.000000	66666.000000
2021.12.12 00:00:20	12288	1	NaN	NaN	1022.230000	995.580000	1.000000	0.000000	21295.000000	15137.000000	46.700000	189.907000	222.000000	66666.000000	190.040000	49.980000	31.989000	38.156000	186.730000	66666.000000	66666.000000
2021.12.12 00:00:21	12288	1	NaN	NaN	1022.270000	995.570000	1.000000	0.000000	21383.000000	15135.000000	46.700000	164.499000	177.000000	66666.000000	170.220000	49.994000	31.989000	38.156000	167.250000	66666.000000	66666.000000
2021.12.12 00:00:22	12288	1	NaN	NaN	1022.290000	995.570000	1.000000	0.000000	21471.000000	15133.000000	46.700000	139.084000	156.000000	66666.000000	151.340000	49.994000	32.009000	38.561000	148.700000	66666.000000	66666.000000
2021.12.12 00:00:23	12288	1	NaN	NaN	1022.360000	995.610000	1.000000	0.000000	21646.000000	15129.000000	46.700000	88.515000	135.000000	66666.000000	116.500000	50.006000	32.029000	38.798000	114.470000	66666.000000	66666.000000
2021.12.12 00:00:24	12288	1	NaN	NaN	1022.320000	995.610000	1.000000	0.000000	21734.000000	15127.000000	46.700000	63.081000	96.000000	66666.000000	100.370000	50.001000	32.029000	39.000000	98.620000	66666.000000	66666.000000
2021.12.12 00:00:25	12288	1	NaN	NaN	1022.310000	995.610000	1.000000	0.000000	21822.000000	15124.000000	46.700000	37.235000	78.000000	66666.000000	84.920000	49.989000	32.009000	39.132000	83.440000	66666.000000	66666.000000
2021.12.12 00:00:26	12288	1	NaN	NaN	1022.390000	995.650000	1.000000	0.000000	21910.000000	15122.000000	46.700000	11.786000	60.000000	66666.000000	70.640000	49.994000	32.009000	39.233000	69.410000	66666.000000	66666.000000
2021.12.12 00:00:27	12288	1	NaN	NaN	1022.340000	995.610000	1.000000	0.000000	22086.000000	15119.000000	46.700000	-38.724000	43.000000	66666.000000	45.060000	50.005000	32.009000	39.233000	44.270000	66666.000000	66666.000000
2021.12.12 00:00:28	12288	1	NaN	NaN	1022.350000	995.620000	1.000000	0.000000	22171.000000	15116.000000	46.700000	-63.763000	12.000000	66666.000000	33.730000	50.000000	32.020000	39.301000	33.140000	66666.000000	66666.000000
2021.12.12 00:00:29	12288	1	NaN	NaN	1022.390000	995.640000	1.000000	0.000000	22207.000000	15114.000000	46.700000	-74.670000	6.000000	66666.000000	29.070000	49.997000	32.029000	39.369000	28.570000	66666.000000	66666.000000
2021.12.12 00:00:30	12288	1	NaN	NaN	1022.380000	995.660000	1.000000	0.000000	22220.000000	15113.000000	46.700000	-78.725000	4.000000	66666.000000	27.390000	49.997000	32.020000	39.401000	26.910000	66666.000000	66666.000000
2021.12.12 00:00:31	12288	1	NaN	NaN	1022.390000	995.690000	1.000000	0.000000	22221.000000	15113.000000	46.700000	-79.005000	3.000000	66666.000000	27.270000	49.994000	32.029000	39.436000	26.800000	66666.000000	66666.000000
2021.12.12 00:00:32	12288	1	NaN	NaN	1022.390000	995.720000	1.000000	0.000000	22221.000000	15113.000000	46.700000	-79.005000	3.000000	66666.000000	27.270000	49.992000	32.039000	39.504000	26.800000	66666.000000	66666.000000
2021.12.12 00:00:33	12288	1	NaN	NaN	1022.390000	995.730000	1.000000	0.000000	22221.000000	15113.000000	46.700000	-79.005000	3.000000	66666.000000	27.270000	50.006000	32.039000	39.504000	26.800000	66666.000000	66666.000000
2021.12.12 00:00:34	0	0	NaN	NaN	1022.430000	995.750000	1.000000	0.000000	22221.000000	15113.000000	46.700000	-79.005000	3.000000	66666.000000	27.270000	49.982000	32.039000	39.470000	26.800000	66666.000000	66666.000000
2021.12.12 00:00:35	0	0	NaN	NaN	1022.390000	995.750000	1.000000	0.000000	22221.000000	15113.000000	46.700000	-79.005000	3.000000	66666.000000	27.270000	50.008000	32.029000	39.503000	26.800000	66666.000000	66666.000000
2021.12.12 00:00:36	0	0	NaN	NaN	1022.400000	995.750000	1.000000	0.000000	22221.000000	15113.000000	46.700000	-79.005000	3.000000	66666.000000	27.270000	49.999000	32.029000	39.570000	26.800000	66666.000000	66666.000000
2021.12.12 00:00:37	0	0	NaN	NaN	1022.390000	995.790000	1.000000	0.000000	22222.000000	15113.000000	46.700000	-79.285000	3.000000	66666.000000	27.160000	49.998000	32.029000	39.570000	26.690000	66666.000000	66666.000000
2021.12.12 00:00:38	0	0	NaN	NaN	1022.390000	995.810000	1.000000	0.000000	22222.000000	15113.000000	46.700000	-79.285000	3.000000	66666.000000	27.160000	49.986000	32.029000	39.570000	26.690000	66666.000000	66666.000000
2021.12.12 00:00:39	0	0	NaN	NaN	1022.450000	995.800000	1.000000	0.000000	22222.000000	15113.000000	46.700000	-79.285000	3.000000	66666.000000	27.160000	49.999000	32.020000	39.569000	26.690000	66666.000000	66666.000000
2021.12.12 00:00:40	0	0	NaN	NaN	1022.430000	995.800000	1.000000	0.000000	22222.000000	15113.000000	46.700000	-79.285000	3.000000	66666.000000	27.160000	49.992000	32.039000	39.571000	26.690000	66666.000000	66666.000000
2021.12.12 00:00:41	0	0	NaN	NaN	1022.420000	995.800000	1.000000	0.000000	22223.000000	15113.000000	46.700000	-79.565000	3.000000	66666.000000	27.040000	49.997000	32.050000	39.639000	26.570000	66666.000000	66666.000000
2021.12.12 00:00:42	0	0	NaN	NaN	1022.460000	995.800000	1.000000	0.000000	22223.000000	15113.000000	46.700000	-79.565000	3.000000	66666.000000	27.040000	49.995000	32.020000	39.636000	26.580000	66666.000000	66666.000000
2021.12.12 00:00:43	0	0	NaN	NaN	1022.430000	995.830000	1.000000	0.000000	22223.000000	15113.000000	46.700000	-79.565000	3.000000	66666.000000	27.040000	50.010000	32.029000	39.671000	26.580000	66666.000000	66666.000000
2021.12.12 00:00:44	0	0	NaN	NaN	1022.500000	995.840000	1.000000	0.000000	22223.000000	15113.000000	46.700000	-79.565000	3.000000	66666.000000	27.040000	50.009000	32.029000	39.671000	26.580000	66666.000000	66666.000000
