$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.16 08:00:10
$Filename; CO2FT_A ZeroCycle 20211216 080010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.16 08:00:14	12288	1	NaN	NaN	1039.840000	1012.710000	1.000000	0.000000	20381.000000	15140.000000	47.000000	446.774000	473.000000	66666.000000	436.810000	49.999000	33.980000	32.700000	436.570000	66666.000000	66666.000000
2021.12.16 08:00:15	12288	1	NaN	NaN	1039.890000	1012.710000	1.000000	0.000000	20481.000000	15136.000000	47.000000	417.292000	438.000000	66666.000000	403.590000	49.993000	33.989000	36.152000	403.370000	66666.000000	66666.000000
2021.12.16 08:00:16	12288	1	NaN	NaN	1039.950000	1012.710000	1.000000	0.000000	20685.000000	15134.000000	47.000000	359.456000	403.000000	66666.000000	341.970000	50.005000	33.989000	38.221000	341.790000	66666.000000	66666.000000
2021.12.16 08:00:17	12288	1	NaN	NaN	1039.940000	1012.720000	1.000000	0.000000	20787.000000	15132.000000	47.000000	330.149000	338.000000	66666.000000	312.550000	49.999000	33.989000	38.221000	312.390000	66666.000000	66666.000000
2021.12.16 08:00:18	12288	1	NaN	NaN	1040.020000	1012.710000	1.000000	0.000000	20889.000000	15129.000000	47.000000	300.447000	307.000000	66666.000000	283.940000	49.999000	33.989000	39.437000	283.790000	66666.000000	66666.000000
2021.12.16 08:00:19	12288	1	NaN	NaN	1040.000000	1012.710000	1.000000	0.000000	20991.000000	15125.000000	47.000000	270.345000	277.000000	66666.000000	256.240000	50.000000	33.989000	40.178000	256.100000	66666.000000	66666.000000
2021.12.16 08:00:20	12288	1	NaN	NaN	1040.040000	1012.720000	1.000000	0.000000	21195.000000	15123.000000	47.000000	212.448000	248.000000	66666.000000	206.520000	49.970000	33.999000	40.649000	206.410000	66666.000000	66666.000000
2021.12.16 08:00:21	12288	1	NaN	NaN	1040.010000	1012.760000	1.000000	0.000000	21297.000000	15120.000000	47.000000	182.705000	194.000000	66666.000000	182.810000	50.006000	34.010000	40.952000	182.720000	66666.000000	66666.000000
2021.12.16 08:00:22	12288	1	NaN	NaN	1040.020000	1012.760000	1.000000	0.000000	21398.000000	15118.000000	47.000000	153.627000	169.000000	66666.000000	160.820000	50.004000	34.010000	40.952000	160.750000	66666.000000	66666.000000
2021.12.16 08:00:23	12288	1	NaN	NaN	1040.080000	1012.760000	1.000000	0.000000	21602.000000	15113.000000	47.000000	94.487000	144.000000	66666.000000	119.760000	49.998000	34.010000	41.187000	119.700000	66666.000000	66666.000000
2021.12.16 08:00:24	12288	1	NaN	NaN	1040.050000	1012.770000	1.000000	0.000000	21704.000000	15111.000000	47.000000	65.103000	121.000000	66666.000000	101.190000	50.008000	34.020000	41.255000	101.140000	66666.000000	66666.000000
2021.12.16 08:00:25	12288	1	NaN	NaN	1040.020000	1012.770000	1.000000	0.000000	21807.000000	15109.000000	47.000000	35.432000	77.000000	66666.000000	83.660000	49.998000	34.020000	41.390000	83.620000	66666.000000	66666.000000
2021.12.16 08:00:26	12288	1	NaN	NaN	1040.090000	1012.800000	1.000000	0.000000	21908.000000	15104.000000	47.000000	5.093000	57.000000	66666.000000	67.010000	49.987000	34.020000	41.390000	66.980000	66666.000000	66666.000000
2021.12.16 08:00:27	12288	1	NaN	NaN	1040.050000	1012.830000	1.000000	0.000000	22112.000000	15102.000000	47.000000	-52.918000	37.000000	66666.000000	38.780000	49.994000	34.010000	41.456000	38.760000	66666.000000	66666.000000
2021.12.16 08:00:28	12288	1	NaN	NaN	1040.110000	1012.860000	1.000000	0.000000	22182.000000	15100.000000	47.000000	-73.369000	19.000000	66666.000000	29.950000	50.006000	34.010000	41.456000	29.940000	66666.000000	66666.000000
2021.12.16 08:00:29	12288	1	NaN	NaN	1040.080000	1012.820000	1.000000	0.000000	22201.000000	15100.000000	47.000000	-78.697000	4.000000	66666.000000	27.740000	49.998000	34.020000	41.524000	27.730000	66666.000000	66666.000000
2021.12.16 08:00:30	12288	1	NaN	NaN	1040.150000	1012.840000	1.000000	0.000000	22206.000000	15100.000000	47.000000	-80.100000	3.000000	66666.000000	27.170000	50.008000	34.010000	41.556000	27.160000	66666.000000	66666.000000
2021.12.16 08:00:31	12288	1	NaN	NaN	1040.110000	1012.840000	1.000000	0.000000	22208.000000	15100.000000	47.000000	-80.660000	3.000000	66666.000000	26.940000	50.000000	34.010000	41.590000	26.930000	66666.000000	66666.000000
