$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.02 12:00:10
$Filename; CO2FT_A ZeroCycle 20211202 120010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.02 12:00:16	12416	8388609	NaN	NaN	996.760000	989.720000	1.000000	0.000000	16903.000000	15154.000000	47.100000	1423.895000	2938.000000	66666.000000	2394.410000	49.999000	34.739000	42.640000	2338.800000	66666.000000	66666.000000
2021.12.02 12:00:16	12416	8388609	NaN	NaN	996.710000	989.700000	1.000000	0.000000	17201.000000	15151.000000	47.100000	1339.675000	2352.000000	66666.000000	2170.330000	50.000000	34.749000	43.778000	2119.890000	66666.000000	66666.000000
2021.12.02 12:00:17	12416	8388609	NaN	NaN	996.760000	989.690000	1.000000	0.000000	17501.000000	15147.000000	47.100000	1254.540000	2088.000000	66666.000000	1954.210000	50.010000	34.730000	44.475000	1908.770000	66666.000000	66666.000000
2021.12.02 12:00:19	12416	8388609	NaN	NaN	996.750000	989.720000	1.000000	0.000000	17501.000000	15147.000000	47.100000	1254.540000	2088.000000	66666.000000	1954.540000	49.994000	34.760000	44.811000	1909.150000	66666.000000	66666.000000
2021.12.02 12:00:20	12416	8388609	NaN	NaN	996.760000	989.720000	1.000000	0.000000	18405.000000	15137.000000	47.100000	998.424000	1624.000000	66666.000000	1372.450000	49.999000	34.760000	45.044000	1340.580000	66666.000000	66666.000000
2021.12.02 12:00:21	12416	8388609	NaN	NaN	996.760000	989.680000	1.000000	0.000000	18707.000000	15134.000000	47.100000	912.906000	1234.000000	66666.000000	1200.510000	50.004000	34.760000	45.044000	1172.580000	66666.000000	66666.000000
2021.12.02 12:00:22	12416	8388609	NaN	NaN	996.750000	989.700000	1.000000	0.000000	19009.000000	15126.000000	47.100000	825.596000	1064.000000	66666.000000	1036.560000	49.994000	34.760000	45.210000	1012.470000	66666.000000	66666.000000
2021.12.02 12:00:22	12416	8388609	NaN	NaN	996.740000	989.720000	1.000000	0.000000	19613.000000	15123.000000	47.100000	655.422000	908.000000	66666.000000	750.600000	49.985000	34.760000	45.277000	733.170000	66666.000000	66666.000000
2021.12.02 12:00:23	12416	8388609	NaN	NaN	996.700000	989.720000	1.000000	0.000000	19915.000000	15119.000000	47.100000	569.387000	766.000000	66666.000000	622.970000	49.998000	34.760000	45.343000	608.500000	66666.000000	66666.000000
2021.12.02 12:00:24	12416	8388609	NaN	NaN	996.710000	989.690000	1.000000	0.000000	20217.000000	15115.000000	47.100000	483.308000	520.000000	66666.000000	506.570000	49.986000	34.749000	45.342000	494.790000	66666.000000	66666.000000
2021.12.02 12:00:26	12416	8388609	NaN	NaN	996.760000	989.740000	1.000000	0.000000	20217.000000	15115.000000	47.100000	483.308000	520.000000	66666.000000	506.560000	49.992000	34.760000	45.410000	494.800000	66666.000000	66666.000000
2021.12.02 12:00:27	12416	8388609	NaN	NaN	996.700000	989.740000	1.000000	0.000000	21124.000000	15104.000000	47.100000	224.907000	319.000000	66666.000000	225.550000	50.002000	34.760000	45.410000	220.320000	66666.000000	66666.000000
2021.12.02 12:00:28	12416	8388609	NaN	NaN	996.720000	989.740000	1.000000	0.000000	21426.000000	15101.000000	47.100000	139.048000	233.000000	66666.000000	154.850000	49.998000	34.760000	45.410000	151.260000	66666.000000	66666.000000
2021.12.02 12:00:28	12416	8388609	NaN	NaN	996.740000	989.730000	1.000000	0.000000	21728.000000	15098.000000	47.100000	53.155000	90.000000	66666.000000	95.440000	50.003000	34.760000	45.443000	93.220000	66666.000000	66666.000000
2021.12.02 12:00:29	12416	8388609	NaN	NaN	996.740000	989.720000	1.000000	0.000000	21964.000000	15093.000000	47.100000	-15.073000	43.000000	66666.000000	56.320000	50.013000	34.760000	45.410000	55.010000	66666.000000	66666.000000
2021.12.02 12:00:30	12416	8388609	NaN	NaN	996.760000	989.730000	1.000000	0.000000	22094.000000	15093.000000	47.100000	-51.545000	27.000000	66666.000000	38.330000	49.997000	34.770000	45.444000	37.440000	66666.000000	66666.000000
2021.12.02 12:00:32	12416	8388609	NaN	NaN	996.710000	989.740000	1.000000	0.000000	22107.000000	15092.000000	47.100000	-55.604000	18.000000	66666.000000	36.460000	50.010000	34.770000	45.477000	35.610000	66666.000000	66666.000000
2021.12.02 12:00:33	12416	8388609	NaN	NaN	996.740000	989.760000	1.000000	0.000000	22111.000000	15092.000000	47.100000	-56.726000	17.000000	66666.000000	35.940000	50.005000	34.770000	45.477000	35.110000	66666.000000	66666.000000
2021.12.02 12:00:34	12416	8388609	NaN	NaN	996.720000	989.740000	1.000000	0.000000	22113.000000	15091.000000	47.100000	-57.698000	16.000000	66666.000000	35.500000	49.994000	34.760000	45.476000	34.680000	66666.000000	66666.000000
2021.12.02 12:00:34	128	8388608	NaN	NaN	996.710000	989.760000	1.000000	0.000000	22116.000000	15091.000000	47.100000	-58.540000	16.000000	66666.000000	35.120000	50.002000	34.749000	45.475000	34.300000	66666.000000	66666.000000
2021.12.02 12:00:35	128	8388608	NaN	NaN	996.740000	989.730000	1.000000	0.000000	22117.000000	15091.000000	47.100000	-58.820000	16.000000	66666.000000	34.990000	49.998000	34.760000	45.476000	34.180000	66666.000000	66666.000000
2021.12.02 12:00:36	128	8388608	NaN	NaN	996.740000	989.740000	1.000000	0.000000	22118.000000	15091.000000	47.100000	-59.101000	15.000000	66666.000000	34.860000	50.004000	34.749000	45.475000	34.050000	66666.000000	66666.000000
2021.12.02 12:00:38	128	8388608	NaN	NaN	996.760000	989.730000	1.000000	0.000000	22119.000000	15091.000000	47.100000	-59.382000	15.000000	66666.000000	34.740000	49.999000	34.749000	45.475000	33.930000	66666.000000	66666.000000
2021.12.02 12:00:39	128	8388608	NaN	NaN	996.760000	989.730000	1.000000	0.000000	22120.000000	15091.000000	47.100000	-59.662000	15.000000	66666.000000	34.610000	49.984000	34.749000	45.475000	33.810000	66666.000000	66666.000000
