$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.04 04:00:10
$Filename; CO2FT_A ZeroCycle 20211204 040010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.04 04:00:15	12416	8388609	NaN	NaN	1008.630000	998.890000	1.000000	0.000000	18977.000000	15143.000000	47.100000	840.518000	1184.000000	66666.000000	1045.570000	50.004000	34.739000	42.339000	1030.750000	66666.000000	66666.000000
2021.12.04 04:00:16	12416	8388609	NaN	NaN	1008.590000	998.860000	1.000000	0.000000	19152.000000	15141.000000	47.100000	790.875000	996.000000	66666.000000	958.260000	49.997000	34.739000	43.510000	944.650000	66666.000000	66666.000000
2021.12.04 04:00:16	12416	8388609	NaN	NaN	1008.620000	998.880000	1.000000	0.000000	19328.000000	15135.000000	47.100000	739.512000	907.000000	66666.000000	871.750000	49.987000	34.749000	44.178000	859.390000	66666.000000	66666.000000
2021.12.04 04:00:18	12416	8388609	NaN	NaN	1008.630000	998.850000	1.000000	0.000000	19328.000000	15135.000000	47.100000	739.512000	907.000000	66666.000000	871.740000	50.006000	34.749000	44.178000	859.350000	66666.000000	66666.000000
2021.12.04 04:00:18	12416	8388609	NaN	NaN	1008.600000	998.860000	1.000000	0.000000	19682.000000	15132.000000	47.100000	639.380000	822.000000	66666.000000	714.450000	50.006000	34.739000	44.543000	704.300000	66666.000000	66666.000000
2021.12.04 04:00:19	12416	8388609	NaN	NaN	1008.630000	998.890000	1.000000	0.000000	19682.000000	15132.000000	47.100000	639.380000	822.000000	66666.000000	714.420000	50.002000	34.739000	44.776000	704.290000	66666.000000	66666.000000
2021.12.04 04:00:21	12416	8388609	NaN	NaN	1008.630000	998.900000	1.000000	0.000000	19682.000000	15132.000000	47.100000	639.380000	822.000000	66666.000000	714.450000	49.996000	34.749000	44.943000	704.330000	66666.000000	66666.000000
2021.12.04 04:00:22	12416	8388609	NaN	NaN	1008.630000	998.890000	1.000000	0.000000	19682.000000	15132.000000	47.100000	639.380000	822.000000	66666.000000	714.420000	49.994000	34.739000	45.009000	704.290000	66666.000000	66666.000000
2021.12.04 04:00:23	12416	8388609	NaN	NaN	1008.640000	998.890000	1.000000	0.000000	20746.000000	15115.000000	47.100000	335.111000	401.000000	66666.000000	328.670000	49.999000	34.739000	45.009000	324.010000	66666.000000	66666.000000
2021.12.04 04:00:24	12416	8388609	NaN	NaN	1008.670000	998.930000	1.000000	0.000000	20924.000000	15112.000000	47.100000	284.082000	290.000000	66666.000000	277.540000	49.995000	34.730000	45.074000	273.620000	66666.000000	66666.000000
2021.12.04 04:00:25	12416	8388609	NaN	NaN	1008.640000	998.920000	1.000000	0.000000	21101.000000	15106.000000	47.100000	232.138000	241.000000	66666.000000	229.540000	49.990000	34.739000	45.142000	226.290000	66666.000000	66666.000000
2021.12.04 04:00:26	12416	8388609	NaN	NaN	1008.670000	998.930000	1.000000	0.000000	21456.000000	15103.000000	47.100000	131.432000	194.000000	66666.000000	147.960000	49.999000	34.760000	45.144000	145.870000	66666.000000	66666.000000
2021.12.04 04:00:27	12416	8388609	NaN	NaN	1008.600000	998.890000	1.000000	0.000000	21634.000000	15100.000000	47.100000	80.322000	110.000000	66666.000000	112.370000	50.004000	34.739000	45.142000	110.780000	66666.000000	66666.000000
2021.12.04 04:00:27	12416	8388609	NaN	NaN	1008.630000	998.920000	1.000000	0.000000	21811.000000	15098.000000	47.100000	29.876000	73.000000	66666.000000	81.080000	49.990000	34.739000	45.142000	79.930000	66666.000000	66666.000000
2021.12.04 04:00:29	12416	8388609	NaN	NaN	1008.590000	998.900000	1.000000	0.000000	21988.000000	15093.000000	47.100000	-21.807000	39.000000	66666.000000	52.970000	49.993000	34.739000	45.142000	52.220000	66666.000000	66666.000000
2021.12.04 04:00:30	12416	8388609	NaN	NaN	1008.640000	998.930000	1.000000	0.000000	22117.000000	15093.000000	47.100000	-57.998000	22.000000	66666.000000	35.680000	49.994000	34.739000	45.175000	35.170000	66666.000000	66666.000000
2021.12.04 04:00:31	12416	8388609	NaN	NaN	1008.630000	998.950000	1.000000	0.000000	22127.000000	15093.000000	47.100000	-60.804000	14.000000	66666.000000	34.420000	49.995000	34.760000	45.177000	33.930000	66666.000000	66666.000000
2021.12.04 04:00:32	12416	8388609	NaN	NaN	1008.660000	998.930000	1.000000	0.000000	22130.000000	15093.000000	47.100000	-61.646000	14.000000	66666.000000	34.040000	50.001000	34.749000	45.209000	33.560000	66666.000000	66666.000000
2021.12.04 04:00:32	12416	8388609	NaN	NaN	1008.660000	998.950000	1.000000	0.000000	22132.000000	15092.000000	47.100000	-62.618000	14.000000	66666.000000	33.610000	49.998000	34.749000	45.209000	33.140000	66666.000000	66666.000000
2021.12.04 04:00:34	12416	8388609	NaN	NaN	1008.640000	998.930000	1.000000	0.000000	22132.000000	15092.000000	47.100000	-62.618000	13.000000	66666.000000	33.610000	49.988000	34.760000	45.210000	33.130000	66666.000000	66666.000000
2021.12.04 04:00:35	128	8388608	NaN	NaN	1008.660000	998.900000	1.000000	0.000000	22133.000000	15092.000000	47.100000	-62.898000	13.000000	66666.000000	33.480000	49.991000	34.760000	45.210000	33.010000	66666.000000	66666.000000
2021.12.04 04:00:35	128	8388608	NaN	NaN	1008.660000	998.950000	1.000000	0.000000	22133.000000	15092.000000	47.100000	-62.898000	13.000000	66666.000000	33.490000	49.992000	34.749000	45.209000	33.010000	66666.000000	66666.000000
2021.12.04 04:00:37	128	8388608	NaN	NaN	1008.670000	998.900000	1.000000	0.000000	22134.000000	15092.000000	47.100000	-63.179000	13.000000	66666.000000	33.360000	49.998000	34.760000	45.210000	32.890000	66666.000000	66666.000000
2021.12.04 04:00:38	128	8388608	NaN	NaN	1008.660000	998.930000	1.000000	0.000000	22134.000000	15092.000000	47.100000	-63.179000	13.000000	66666.000000	33.360000	50.002000	34.760000	45.210000	32.890000	66666.000000	66666.000000
2021.12.04 04:00:38	128	8388608	NaN	NaN	1008.680000	998.960000	1.000000	0.000000	22134.000000	15092.000000	47.100000	-63.179000	13.000000	66666.000000	33.360000	50.009000	34.749000	45.209000	32.890000	66666.000000	66666.000000
