$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.07 12:00:10
$Filename; CO2FT_A ZeroCycle 20211207 120010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.07 12:00:15	12288	1	NaN	NaN	1016.840000	1001.550000	1.000000	0.000000	20446.000000	15148.000000	46.800000	431.578000	488.000000	66666.000000	428.420000	50.000000	32.649000	31.418000	423.470000	66666.000000	66666.000000
2021.12.07 12:00:16	12288	1	NaN	NaN	1016.880000	1001.610000	1.000000	0.000000	20544.000000	15146.000000	46.800000	403.425000	420.000000	66666.000000	396.390000	49.997000	32.649000	35.108000	391.840000	66666.000000	66666.000000
2021.12.07 12:00:16	12288	1	NaN	NaN	1016.880000	1001.610000	1.000000	0.000000	20642.000000	15144.000000	46.800000	375.265000	387.000000	66666.000000	365.540000	49.988000	32.660000	37.379000	361.350000	66666.000000	66666.000000
2021.12.07 12:00:18	12288	1	NaN	NaN	1016.910000	1001.610000	1.000000	0.000000	20741.000000	15139.000000	46.800000	345.668000	356.000000	66666.000000	334.350000	50.002000	32.669000	38.763000	330.510000	66666.000000	66666.000000
2021.12.07 12:00:19	12288	1	NaN	NaN	1016.940000	1001.580000	1.000000	0.000000	20938.000000	15137.000000	46.800000	289.792000	325.000000	66666.000000	278.930000	49.989000	32.679000	39.604000	275.720000	66666.000000	66666.000000
2021.12.07 12:00:20	12288	1	NaN	NaN	1016.950000	1001.640000	1.000000	0.000000	21036.000000	15135.000000	46.800000	261.600000	267.000000	66666.000000	252.690000	49.990000	32.679000	39.604000	249.800000	66666.000000	66666.000000
2021.12.07 12:00:21	12288	1	NaN	NaN	1016.980000	1001.650000	1.000000	0.000000	21135.000000	15132.000000	46.800000	232.730000	239.000000	66666.000000	227.010000	49.995000	32.679000	40.174000	224.420000	66666.000000	66666.000000
2021.12.07 12:00:22	12288	1	NaN	NaN	1016.980000	1001.640000	1.000000	0.000000	21135.000000	15132.000000	46.800000	232.730000	239.000000	66666.000000	227.010000	49.996000	32.679000	40.442000	224.410000	66666.000000	66666.000000
2021.12.07 12:00:23	12288	1	NaN	NaN	1016.990000	1001.650000	1.000000	0.000000	21431.000000	15125.000000	46.800000	147.124000	187.000000	66666.000000	158.020000	49.991000	32.679000	40.710000	156.210000	66666.000000	66666.000000
