$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.08 08:00:10
$Filename; CO2FT_A ZeroCycle 20211208 080010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.08 08:00:15	12288	1	NaN	NaN	1016.500000	994.110000	1.000000	0.000000	20489.000000	15152.000000	46.700000	421.052000	441.000000	66666.000000	415.880000	49.996000	32.270000	31.249000	408.020000	66666.000000	66666.000000
2021.12.08 08:00:16	12288	1	NaN	NaN	1016.640000	994.150000	1.000000	0.000000	20583.000000	15149.000000	46.700000	393.643000	409.000000	66666.000000	385.120000	49.996000	32.279000	34.700000	377.860000	66666.000000	66666.000000
2021.12.08 08:00:17	12288	1	NaN	NaN	1016.580000	994.150000	1.000000	0.000000	20773.000000	15145.000000	46.700000	339.001000	378.000000	66666.000000	327.190000	49.997000	32.300000	36.837000	321.030000	66666.000000	66666.000000
2021.12.08 08:00:17	12288	1	NaN	NaN	1016.620000	994.100000	1.000000	0.000000	20868.000000	15143.000000	46.700000	311.669000	347.000000	66666.000000	299.780000	50.001000	32.279000	38.117000	294.120000	66666.000000	66666.000000
2021.12.08 08:00:19	12288	1	NaN	NaN	1016.690000	994.110000	1.000000	0.000000	20964.000000	15141.000000	46.700000	284.050000	290.000000	66666.000000	273.220000	49.996000	32.289000	38.926000	268.060000	66666.000000	66666.000000
2021.12.08 08:00:20	12288	1	NaN	NaN	1016.650000	994.140000	1.000000	0.000000	21059.000000	15136.000000	46.700000	255.536000	262.000000	66666.000000	246.970000	50.012000	32.289000	38.926000	242.310000	66666.000000	66666.000000
2021.12.08 08:00:21	12288	1	NaN	NaN	1016.680000	994.180000	1.000000	0.000000	21250.000000	15134.000000	46.700000	201.317000	236.000000	66666.000000	200.300000	49.995000	32.300000	39.464000	196.530000	66666.000000	66666.000000
2021.12.08 08:00:21	12288	1	NaN	NaN	1016.750000	994.180000	1.000000	0.000000	21345.000000	15131.000000	46.700000	173.551000	210.000000	66666.000000	178.050000	49.999000	32.310000	39.733000	174.700000	66666.000000	66666.000000
2021.12.08 08:00:23	12288	1	NaN	NaN	1016.650000	994.180000	1.000000	0.000000	21440.000000	15129.000000	46.700000	146.173000	162.000000	66666.000000	157.230000	50.002000	32.329000	40.003000	154.270000	66666.000000	66666.000000
2021.12.08 08:00:24	12288	1	NaN	NaN	1016.650000	994.210000	1.000000	0.000000	21536.000000	15125.000000	46.700000	117.709000	140.000000	66666.000000	136.700000	50.012000	32.319000	40.170000	134.140000	66666.000000	66666.000000
2021.12.08 08:00:25	12288	1	NaN	NaN	1016.730000	994.220000	1.000000	0.000000	21726.000000	15123.000000	46.700000	63.711000	118.000000	66666.000000	101.010000	49.985000	32.329000	40.204000	99.110000	66666.000000	66666.000000
2021.12.08 08:00:26	12288	1	NaN	NaN	1016.650000	994.240000	1.000000	0.000000	21821.000000	15121.000000	46.700000	36.303000	97.000000	66666.000000	84.520000	50.002000	32.329000	40.204000	82.930000	66666.000000	66666.000000
2021.12.08 08:00:27	12288	1	NaN	NaN	1016.650000	994.220000	1.000000	0.000000	21917.000000	15119.000000	46.700000	8.608000	58.000000	66666.000000	68.950000	50.015000	32.310000	40.303000	67.660000	66666.000000	66666.000000
2021.12.08 08:00:28	12288	1	NaN	NaN	1016.760000	994.280000	1.000000	0.000000	22012.000000	15115.000000	46.700000	-19.630000	40.000000	66666.000000	54.230000	49.990000	32.319000	40.371000	53.220000	66666.000000	66666.000000
2021.12.08 08:00:29	12288	1	NaN	NaN	1016.750000	994.240000	1.000000	0.000000	22170.000000	15113.000000	46.700000	-64.715000	23.000000	66666.000000	33.130000	49.989000	32.319000	40.404000	32.510000	66666.000000	66666.000000
2021.12.08 08:00:30	12288	1	NaN	NaN	1016.730000	994.260000	1.000000	0.000000	22187.000000	15112.000000	46.700000	-69.890000	9.000000	66666.000000	30.900000	50.009000	32.329000	40.472000	30.320000	66666.000000	66666.000000
2021.12.08 08:00:31	12288	1	NaN	NaN	1016.720000	994.250000	1.000000	0.000000	22192.000000	15112.000000	46.700000	-71.290000	8.000000	66666.000000	30.300000	49.998000	32.329000	40.472000	29.730000	66666.000000	66666.000000
2021.12.08 08:00:32	12288	1	NaN	NaN	1016.730000	994.320000	1.000000	0.000000	22193.000000	15112.000000	46.700000	-71.571000	8.000000	66666.000000	30.180000	49.993000	32.329000	40.506000	29.620000	66666.000000	66666.000000
2021.12.08 08:00:33	12288	1	NaN	NaN	1016.760000	994.290000	1.000000	0.000000	22194.000000	15112.000000	46.700000	-71.852000	7.000000	66666.000000	30.060000	49.983000	32.349000	40.508000	29.500000	66666.000000	66666.000000
2021.12.08 08:00:34	0	0	NaN	NaN	1016.730000	994.290000	1.000000	0.000000	22194.000000	15112.000000	46.700000	-71.852000	7.000000	66666.000000	30.060000	49.991000	32.329000	40.539000	29.500000	66666.000000	66666.000000
2021.12.08 08:00:35	0	0	NaN	NaN	1016.760000	994.330000	1.000000	0.000000	22194.000000	15112.000000	46.700000	-71.852000	7.000000	66666.000000	30.060000	49.989000	32.329000	40.539000	29.500000	66666.000000	66666.000000
2021.12.08 08:00:36	0	0	NaN	NaN	1016.770000	994.320000	1.000000	0.000000	22194.000000	15113.000000	46.700000	-71.440000	7.000000	66666.000000	30.240000	49.988000	32.329000	40.539000	29.670000	66666.000000	66666.000000
2021.12.08 08:00:37	0	0	NaN	NaN	1016.750000	994.340000	1.000000	0.000000	22195.000000	15113.000000	46.700000	-71.719000	7.000000	66666.000000	30.120000	49.994000	32.329000	40.539000	29.560000	66666.000000	66666.000000
2021.12.08 08:00:38	0	0	NaN	NaN	1016.760000	994.340000	1.000000	0.000000	22195.000000	15113.000000	46.700000	-71.719000	8.000000	66666.000000	30.120000	50.006000	32.319000	40.605000	29.560000	66666.000000	66666.000000
2021.12.08 08:00:39	0	0	NaN	NaN	1016.800000	994.360000	1.000000	0.000000	22195.000000	15113.000000	46.700000	-71.719000	8.000000	66666.000000	30.120000	50.004000	32.340000	40.607000	29.560000	66666.000000	66666.000000
2021.12.08 08:00:40	0	0	NaN	NaN	1016.760000	994.340000	1.000000	0.000000	22195.000000	15113.000000	46.700000	-71.719000	8.000000	66666.000000	30.120000	50.000000	32.340000	40.607000	29.560000	66666.000000	66666.000000
2021.12.08 08:00:41	0	0	NaN	NaN	1016.770000	994.370000	1.000000	0.000000	22195.000000	15113.000000	46.700000	-71.719000	7.000000	66666.000000	30.120000	49.974000	32.329000	40.639000	29.560000	66666.000000	66666.000000
2021.12.08 08:00:42	0	0	NaN	NaN	1016.810000	994.390000	1.000000	0.000000	22195.000000	15113.000000	46.700000	-71.719000	7.000000	66666.000000	30.120000	49.990000	32.319000	40.672000	29.560000	66666.000000	66666.000000
2021.12.08 08:00:42	0	0	NaN	NaN	1016.800000	994.400000	1.000000	0.000000	22195.000000	15112.000000	46.700000	-72.132000	7.000000	66666.000000	29.950000	49.992000	32.319000	40.672000	29.390000	66666.000000	66666.000000
2021.12.08 08:00:44	0	0	NaN	NaN	1016.830000	994.400000	1.000000	0.000000	22195.000000	15112.000000	46.700000	-72.132000	7.000000	66666.000000	29.940000	50.005000	32.340000	40.674000	29.390000	66666.000000	66666.000000
2021.12.08 08:00:45	0	0	NaN	NaN	1016.830000	994.400000	1.000000	0.000000	22195.000000	15113.000000	46.700000	-71.719000	7.000000	66666.000000	30.120000	50.004000	32.319000	40.672000	29.560000	66666.000000	66666.000000
2021.12.08 08:00:46	0	0	NaN	NaN	1016.810000	994.400000	1.000000	0.000000	22195.000000	15113.000000	46.700000	-71.719000	7.000000	66666.000000	30.120000	50.004000	32.319000	40.672000	29.560000	66666.000000	66666.000000
2021.12.08 08:00:47	0	0	NaN	NaN	1016.870000	994.410000	1.000000	0.000000	22195.000000	15113.000000	46.700000	-71.719000	7.000000	66666.000000	30.120000	49.994000	32.319000	40.672000	29.560000	66666.000000	66666.000000
2021.12.08 08:00:48	0	0	NaN	NaN	1016.810000	994.410000	1.000000	0.000000	22195.000000	15113.000000	46.700000	-71.719000	7.000000	66666.000000	30.120000	50.008000	32.319000	40.672000	29.560000	66666.000000	66666.000000
2021.12.08 08:00:49	0	0	NaN	NaN	1016.860000	994.400000	1.000000	0.000000	22195.000000	15113.000000	46.700000	-71.719000	7.000000	66666.000000	30.120000	50.003000	32.319000	40.705000	29.560000	66666.000000	66666.000000
2021.12.08 08:00:50	0	0	NaN	NaN	1016.900000	994.440000	1.000000	0.000000	22195.000000	15112.000000	46.700000	-72.132000	7.000000	66666.000000	29.950000	49.988000	32.329000	40.740000	29.390000	66666.000000	66666.000000
2021.12.08 08:00:51	0	0	NaN	NaN	1016.870000	994.430000	1.000000	0.000000	22195.000000	15112.000000	46.700000	-72.132000	7.000000	66666.000000	29.950000	49.997000	32.329000	40.706000	29.390000	66666.000000	66666.000000
2021.12.08 08:00:52	0	0	NaN	NaN	1016.910000	994.430000	1.000000	0.000000	22195.000000	15112.000000	46.700000	-72.132000	7.000000	66666.000000	29.950000	50.001000	32.300000	40.737000	29.390000	66666.000000	66666.000000
2021.12.08 08:00:53	0	0	NaN	NaN	1016.870000	994.430000	1.000000	0.000000	22195.000000	15112.000000	46.700000	-72.132000	7.000000	66666.000000	29.950000	50.012000	32.329000	40.740000	29.390000	66666.000000	66666.000000
2021.12.08 08:00:54	0	0	NaN	NaN	1016.880000	994.410000	1.000000	0.000000	22195.000000	15112.000000	46.700000	-72.132000	7.000000	66666.000000	29.950000	50.012000	32.329000	40.740000	29.390000	66666.000000	66666.000000
2021.12.08 08:00:55	0	0	NaN	NaN	1016.870000	994.430000	1.000000	0.000000	22195.000000	15112.000000	46.700000	-72.132000	7.000000	66666.000000	29.950000	50.005000	32.319000	40.705000	29.390000	66666.000000	66666.000000
2021.12.08 08:00:56	0	0	NaN	NaN	1016.900000	994.440000	1.000000	0.000000	22195.000000	15112.000000	46.700000	-72.132000	7.000000	66666.000000	29.950000	50.003000	32.340000	40.741000	29.390000	66666.000000	66666.000000
2021.12.08 08:00:57	0	0	NaN	NaN	1016.870000	994.440000	1.000000	0.000000	22195.000000	15112.000000	46.700000	-72.132000	7.000000	66666.000000	29.950000	50.010000	32.319000	40.806000	29.390000	66666.000000	66666.000000
2021.12.08 08:00:58	0	0	NaN	NaN	1016.900000	994.440000	1.000000	0.000000	22195.000000	15111.000000	46.700000	-72.543000	7.000000	66666.000000	29.770000	50.004000	32.340000	40.808000	29.220000	66666.000000	66666.000000
2021.12.08 08:00:59	0	0	NaN	NaN	1016.920000	994.440000	1.000000	0.000000	22195.000000	15112.000000	46.700000	-72.132000	7.000000	66666.000000	29.950000	50.001000	32.319000	40.806000	29.390000	66666.000000	66666.000000
