$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.11 04:00:10
$Filename; CO2FT_A ZeroCycle 20211211 040010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.11 04:00:15	12288	1	NaN	NaN	1017.680000	1002.490000	1.000000	0.000000	20583.000000	15153.000000	46.700000	395.162000	410.000000	66666.000000	386.200000	49.997000	32.179000	28.970000	382.100000	66666.000000	66666.000000
2021.12.11 04:00:16	12288	1	NaN	NaN	1017.710000	1002.460000	1.000000	0.000000	20768.000000	15151.000000	46.700000	342.699000	379.000000	66666.000000	330.450000	49.997000	32.179000	33.089000	326.930000	66666.000000	66666.000000
2021.12.11 04:00:17	12288	1	NaN	NaN	1017.690000	1002.470000	1.000000	0.000000	20861.000000	15147.000000	46.700000	315.167000	350.000000	66666.000000	302.810000	49.989000	32.189000	35.608000	299.590000	66666.000000	66666.000000
2021.12.11 04:00:18	12288	1	NaN	NaN	1017.780000	1002.460000	1.000000	0.000000	20953.000000	15145.000000	46.700000	288.674000	293.000000	66666.000000	277.200000	49.992000	32.179000	37.096000	274.240000	66666.000000	66666.000000
2021.12.11 04:00:19	12288	1	NaN	NaN	1017.760000	1002.470000	1.000000	0.000000	21046.000000	15143.000000	46.700000	261.895000	267.000000	66666.000000	252.400000	49.993000	32.200000	38.042000	249.710000	66666.000000	66666.000000
2021.12.11 04:00:20	12288	1	NaN	NaN	1017.780000	1002.500000	1.000000	0.000000	21232.000000	15139.000000	46.700000	208.315000	241.000000	66666.000000	205.840000	50.002000	32.200000	38.042000	203.660000	66666.000000	66666.000000
2021.12.11 04:00:21	12288	1	NaN	NaN	1017.820000	1002.500000	1.000000	0.000000	21325.000000	15136.000000	46.700000	181.120000	215.000000	66666.000000	183.810000	49.994000	32.209000	38.649000	181.850000	66666.000000	66666.000000
2021.12.11 04:00:22	12288	1	NaN	NaN	1017.840000	1002.520000	1.000000	0.000000	21418.000000	15134.000000	46.700000	154.311000	168.000000	66666.000000	163.120000	49.990000	32.200000	39.051000	161.400000	66666.000000	66666.000000
2021.12.11 04:00:23	12288	1	NaN	NaN	1017.900000	1002.500000	1.000000	0.000000	21511.000000	15131.000000	46.700000	127.096000	146.000000	66666.000000	143.200000	49.995000	32.209000	39.354000	141.680000	66666.000000	66666.000000
2021.12.11 04:00:24	12288	1	NaN	NaN	1017.840000	1002.500000	1.000000	0.000000	21697.000000	15128.000000	46.700000	73.839000	125.000000	66666.000000	107.310000	50.006000	32.209000	39.455000	106.170000	66666.000000	66666.000000
2021.12.11 04:00:25	12288	1	NaN	NaN	1017.870000	1002.530000	1.000000	0.000000	21790.000000	15125.000000	46.700000	46.598000	104.000000	66666.000000	90.540000	49.996000	32.200000	39.588000	89.580000	66666.000000	66666.000000
2021.12.11 04:00:26	12288	1	NaN	NaN	1017.890000	1002.540000	1.000000	0.000000	21883.000000	15123.000000	46.700000	19.752000	65.000000	66666.000000	75.060000	50.000000	32.200000	39.588000	74.270000	66666.000000	66666.000000
2021.12.11 04:00:27	12288	1	NaN	NaN	1017.840000	1002.520000	1.000000	0.000000	21976.000000	15121.000000	46.700000	-7.102000	47.000000	66666.000000	60.630000	50.001000	32.200000	39.722000	59.990000	66666.000000	66666.000000
2021.12.11 04:00:28	12288	1	NaN	NaN	1017.860000	1002.540000	1.000000	0.000000	22160.000000	15116.000000	46.700000	-60.681000	30.000000	66666.000000	34.940000	50.000000	32.209000	39.723000	34.570000	66666.000000	66666.000000
2021.12.11 04:00:29	12288	1	NaN	NaN	1017.910000	1002.540000	1.000000	0.000000	22199.000000	15114.000000	46.700000	-72.429000	7.000000	66666.000000	29.870000	49.985000	32.200000	39.856000	29.550000	66666.000000	66666.000000
2021.12.11 04:00:30	12288	1	NaN	NaN	1017.900000	1002.560000	1.000000	0.000000	22199.000000	15114.000000	46.700000	-72.429000	7.000000	66666.000000	29.860000	49.989000	32.200000	39.856000	29.550000	66666.000000	66666.000000
2021.12.11 04:00:31	12288	1	NaN	NaN	1017.860000	1002.530000	1.000000	0.000000	22199.000000	15113.000000	46.700000	-72.841000	5.000000	66666.000000	29.690000	49.989000	32.209000	39.857000	29.370000	66666.000000	66666.000000
2021.12.11 04:00:32	12288	1	NaN	NaN	1017.910000	1002.560000	1.000000	0.000000	22199.000000	15113.000000	46.700000	-72.841000	5.000000	66666.000000	29.690000	49.985000	32.209000	39.857000	29.380000	66666.000000	66666.000000
2021.12.11 04:00:33	12288	1	NaN	NaN	1017.930000	1002.560000	1.000000	0.000000	22199.000000	15113.000000	46.700000	-72.841000	5.000000	66666.000000	29.690000	50.000000	32.219000	39.891000	29.380000	66666.000000	66666.000000
2021.12.11 04:00:34	0	0	NaN	NaN	1017.970000	1002.580000	1.000000	0.000000	22199.000000	15113.000000	46.700000	-72.841000	5.000000	66666.000000	29.690000	49.990000	32.219000	39.925000	29.380000	66666.000000	66666.000000
2021.12.11 04:00:35	0	0	NaN	NaN	1017.940000	1002.600000	1.000000	0.000000	22199.000000	15113.000000	46.700000	-72.841000	4.000000	66666.000000	29.690000	50.007000	32.209000	39.924000	29.380000	66666.000000	66666.000000
2021.12.11 04:00:36	0	0	NaN	NaN	1017.910000	1002.560000	1.000000	0.000000	22217.000000	15113.000000	46.700000	-77.884000	4.000000	66666.000000	27.570000	49.999000	32.219000	39.992000	27.280000	66666.000000	66666.000000
2021.12.11 04:00:37	0	0	NaN	NaN	1017.950000	1002.600000	1.000000	0.000000	22217.000000	15113.000000	46.700000	-77.884000	4.000000	66666.000000	27.570000	49.992000	32.219000	39.992000	27.290000	66666.000000	66666.000000
2021.12.11 04:00:38	0	0	NaN	NaN	1017.970000	1002.600000	1.000000	0.000000	22217.000000	15113.000000	46.700000	-77.884000	4.000000	66666.000000	27.580000	50.006000	32.219000	39.958000	27.290000	66666.000000	66666.000000
2021.12.11 04:00:39	0	0	NaN	NaN	1017.910000	1002.580000	1.000000	0.000000	22218.000000	15113.000000	46.700000	-78.164000	4.000000	66666.000000	27.460000	50.008000	32.189000	40.022000	27.170000	66666.000000	66666.000000
2021.12.11 04:00:40	0	0	NaN	NaN	1017.940000	1002.610000	1.000000	0.000000	22218.000000	15113.000000	46.700000	-78.164000	4.000000	66666.000000	27.460000	50.002000	32.219000	39.992000	27.170000	66666.000000	66666.000000
2021.12.11 04:00:41	0	0	NaN	NaN	1018.000000	1002.600000	1.000000	0.000000	22218.000000	15113.000000	46.700000	-78.164000	4.000000	66666.000000	27.460000	49.998000	32.230000	40.060000	27.170000	66666.000000	66666.000000
2021.12.11 04:00:42	0	0	NaN	NaN	1017.950000	1002.610000	1.000000	0.000000	22218.000000	15113.000000	46.700000	-78.164000	4.000000	66666.000000	27.460000	50.006000	32.219000	40.059000	27.170000	66666.000000	66666.000000
2021.12.11 04:00:43	0	0	NaN	NaN	1017.980000	1002.630000	1.000000	0.000000	22218.000000	15113.000000	46.700000	-78.164000	4.000000	66666.000000	27.460000	49.993000	32.219000	40.059000	27.170000	66666.000000	66666.000000
2021.12.11 04:00:44	0	0	NaN	NaN	1018.000000	1002.630000	1.000000	0.000000	22218.000000	15113.000000	46.700000	-78.164000	4.000000	66666.000000	27.460000	50.010000	32.219000	40.092000	27.170000	66666.000000	66666.000000
2021.12.11 04:00:45	0	0	NaN	NaN	1018.000000	1002.640000	1.000000	0.000000	22218.000000	15113.000000	46.700000	-78.164000	4.000000	66666.000000	27.460000	49.996000	32.239000	40.061000	27.170000	66666.000000	66666.000000
2021.12.11 04:00:46	0	0	NaN	NaN	1017.950000	1002.640000	1.000000	0.000000	22218.000000	15113.000000	46.700000	-78.164000	4.000000	66666.000000	27.460000	50.008000	32.219000	40.126000	27.170000	66666.000000	66666.000000
2021.12.11 04:00:47	0	0	NaN	NaN	1018.000000	1002.640000	1.000000	0.000000	22218.000000	15113.000000	46.700000	-78.164000	4.000000	66666.000000	27.460000	50.001000	32.219000	40.126000	27.170000	66666.000000	66666.000000
2021.12.11 04:00:48	0	0	NaN	NaN	1018.020000	1002.650000	1.000000	0.000000	22218.000000	15113.000000	46.700000	-78.164000	4.000000	66666.000000	27.460000	49.999000	32.200000	40.090000	27.180000	66666.000000	66666.000000
2021.12.11 04:00:49	0	0	NaN	NaN	1017.980000	1002.680000	1.000000	0.000000	22218.000000	15113.000000	46.700000	-78.164000	4.000000	66666.000000	27.460000	50.004000	32.200000	40.090000	27.170000	66666.000000	66666.000000
2021.12.11 04:00:50	0	0	NaN	NaN	1018.000000	1002.670000	1.000000	0.000000	22218.000000	15113.000000	46.700000	-78.164000	4.000000	66666.000000	27.460000	50.000000	32.200000	40.124000	27.180000	66666.000000	66666.000000
2021.12.11 04:00:51	0	0	NaN	NaN	1018.000000	1002.650000	1.000000	0.000000	22218.000000	15113.000000	46.700000	-78.164000	4.000000	66666.000000	27.460000	49.990000	32.200000	40.157000	27.170000	66666.000000	66666.000000
2021.12.11 04:00:52	0	0	NaN	NaN	1018.020000	1002.670000	1.000000	0.000000	22218.000000	15113.000000	46.700000	-78.164000	3.000000	66666.000000	27.460000	49.999000	32.209000	40.192000	27.170000	66666.000000	66666.000000
2021.12.11 04:00:53	0	0	NaN	NaN	1018.000000	1002.650000	1.000000	0.000000	22218.000000	15112.000000	46.700000	-78.576000	3.000000	66666.000000	27.290000	49.996000	32.219000	40.159000	27.000000	66666.000000	66666.000000
