$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.14 20:00:10
$Filename; CO2FT_A ZeroCycle 20211214 200010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.14 20:00:15	12288	1	NaN	NaN	1030.070000	1002.020000	1.000000	0.000000	20539.000000	15138.000000	47.000000	401.825000	387.000000	66666.000000	390.850000	50.015000	34.010000	34.073000	386.520000	66666.000000	66666.000000
2021.12.14 20:00:16	12288	1	NaN	NaN	1030.140000	1002.040000	1.000000	0.000000	20634.000000	15136.000000	47.000000	374.488000	387.000000	66666.000000	361.290000	50.004000	34.010000	37.072000	357.290000	66666.000000	66666.000000
2021.12.14 20:00:17	12288	1	NaN	NaN	1030.150000	1002.040000	1.000000	0.000000	20730.000000	15132.000000	47.000000	346.100000	357.000000	66666.000000	331.790000	49.997000	34.039000	38.902000	328.120000	66666.000000	66666.000000
2021.12.14 20:00:18	12288	1	NaN	NaN	1030.160000	1002.060000	1.000000	0.000000	20919.000000	15129.000000	47.000000	292.050000	327.000000	66666.000000	278.730000	49.993000	34.039000	38.902000	275.660000	66666.000000	66666.000000
2021.12.14 20:00:19	12288	1	NaN	NaN	1030.180000	1002.080000	1.000000	0.000000	21014.000000	15126.000000	47.000000	264.295000	298.000000	66666.000000	253.100000	50.002000	34.029000	39.980000	250.310000	66666.000000	66666.000000
2021.12.14 20:00:20	12288	1	NaN	NaN	1030.220000	1002.060000	1.000000	0.000000	21111.000000	15125.000000	47.000000	236.749000	244.000000	66666.000000	228.770000	49.992000	34.039000	40.653000	226.240000	66666.000000	66666.000000
2021.12.14 20:00:21	12288	1	NaN	NaN	1030.230000	1002.050000	1.000000	0.000000	21208.000000	15122.000000	47.000000	208.415000	218.000000	66666.000000	204.860000	49.997000	34.029000	41.022000	202.600000	66666.000000	66666.000000
2021.12.14 20:00:22	12288	1	NaN	NaN	1030.270000	1002.080000	1.000000	0.000000	21397.000000	15118.000000	47.000000	153.907000	193.000000	66666.000000	162.110000	49.993000	34.029000	41.257000	160.320000	66666.000000	66666.000000
2021.12.14 20:00:23	12288	1	NaN	NaN	1030.250000	1002.100000	1.000000	0.000000	21492.000000	15116.000000	47.000000	126.502000	146.000000	66666.000000	142.230000	50.002000	34.029000	41.458000	140.660000	66666.000000	66666.000000
2021.12.14 20:00:24	12288	1	NaN	NaN	1030.250000	1002.130000	1.000000	0.000000	21589.000000	15115.000000	47.000000	98.930000	124.000000	66666.000000	123.300000	50.004000	34.029000	41.458000	121.950000	66666.000000	66666.000000
2021.12.14 20:00:25	12288	1	NaN	NaN	1030.310000	1002.100000	1.000000	0.000000	21685.000000	15110.000000	47.000000	70.025000	103.000000	66666.000000	104.630000	50.003000	34.050000	41.594000	103.480000	66666.000000	66666.000000
2021.12.14 20:00:26	12288	1	NaN	NaN	1030.290000	1002.150000	1.000000	0.000000	21875.000000	15107.000000	47.000000	15.563000	83.000000	66666.000000	72.690000	49.994000	34.050000	41.661000	71.900000	66666.000000	66666.000000
2021.12.14 20:00:27	12288	1	NaN	NaN	1030.270000	1002.170000	1.000000	0.000000	21970.000000	15106.000000	47.000000	-11.472000	45.000000	66666.000000	58.410000	49.999000	34.050000	41.728000	57.770000	66666.000000	66666.000000
2021.12.14 20:00:28	12288	1	NaN	NaN	1030.300000	1002.160000	1.000000	0.000000	22067.000000	15104.000000	47.000000	-39.481000	27.000000	66666.000000	44.720000	50.003000	34.060000	41.796000	44.230000	66666.000000	66666.000000
2021.12.14 20:00:29	12288	1	NaN	NaN	1030.340000	1002.120000	1.000000	0.000000	22188.000000	15100.000000	47.000000	-75.052000	11.000000	66666.000000	28.950000	49.990000	34.060000	41.796000	28.630000	66666.000000	66666.000000
2021.12.14 20:00:30	12288	1	NaN	NaN	1030.330000	1002.150000	1.000000	0.000000	22197.000000	15099.000000	47.000000	-77.987000	6.000000	66666.000000	27.730000	49.997000	34.060000	41.796000	27.420000	66666.000000	66666.000000
2021.12.14 20:00:31	12288	1	NaN	NaN	1030.330000	1002.160000	1.000000	0.000000	22200.000000	15100.000000	47.000000	-78.417000	4.000000	66666.000000	27.550000	50.007000	34.060000	41.863000	27.250000	66666.000000	66666.000000
2021.12.14 20:00:32	12288	1	NaN	NaN	1030.300000	1002.170000	1.000000	0.000000	22202.000000	15100.000000	47.000000	-78.977000	4.000000	66666.000000	27.320000	49.985000	34.060000	41.863000	27.020000	66666.000000	66666.000000
2021.12.14 20:00:33	12288	1	NaN	NaN	1030.310000	1002.200000	1.000000	0.000000	22202.000000	15099.000000	47.000000	-79.390000	4.000000	66666.000000	27.150000	50.009000	34.050000	41.929000	26.850000	66666.000000	66666.000000
2021.12.14 20:00:34	0	0	NaN	NaN	1030.340000	1002.200000	1.000000	0.000000	22202.000000	15099.000000	47.000000	-79.390000	4.000000	66666.000000	27.150000	50.005000	34.060000	41.930000	26.850000	66666.000000	66666.000000
2021.12.14 20:00:35	0	0	NaN	NaN	1030.360000	1002.190000	1.000000	0.000000	22202.000000	15099.000000	47.000000	-79.390000	3.000000	66666.000000	27.150000	49.997000	34.060000	41.930000	26.850000	66666.000000	66666.000000
2021.12.14 20:00:36	0	0	NaN	NaN	1030.360000	1002.210000	1.000000	0.000000	22202.000000	15099.000000	47.000000	-79.390000	3.000000	66666.000000	27.150000	49.998000	34.060000	41.930000	26.850000	66666.000000	66666.000000
