$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.16 00:00:10
$Filename; CO2FT_A ZeroCycle 20211216 000010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.16 00:00:14	12288	1	NaN	NaN	1036.960000	1007.830000	1.000000	0.000000	20452.000000	15143.000000	46.900000	428.031000	450.000000	66666.000000	416.630000	50.014000	33.819000	33.509000	414.410000	66666.000000	66666.000000
2021.12.16 00:00:15	12288	1	NaN	NaN	1036.960000	1007.830000	1.000000	0.000000	20646.000000	15143.000000	46.900000	373.783000	417.000000	66666.000000	357.700000	50.006000	33.819000	33.509000	355.790000	66666.000000	66666.000000
2021.12.16 00:00:16	12288	1	NaN	NaN	1037.030000	1007.830000	1.000000	0.000000	20743.000000	15138.000000	46.900000	344.743000	384.000000	66666.000000	327.830000	50.014000	33.819000	36.646000	326.080000	66666.000000	66666.000000
2021.12.16 00:00:17	12288	1	NaN	NaN	1037.020000	1007.840000	1.000000	0.000000	20840.000000	15135.000000	46.900000	316.455000	322.000000	66666.000000	299.950000	50.007000	33.859000	38.479000	298.350000	66666.000000	66666.000000
2021.12.16 00:00:18	12288	1	NaN	NaN	1037.030000	1007.860000	1.000000	0.000000	20938.000000	15132.000000	46.900000	287.875000	293.000000	66666.000000	272.860000	50.004000	33.849000	39.557000	271.410000	66666.000000	66666.000000
2021.12.16 00:00:19	12288	1	NaN	NaN	1037.030000	1007.890000	1.000000	0.000000	21135.000000	15128.000000	46.900000	231.185000	265.000000	66666.000000	222.560000	49.991000	33.840000	40.263000	221.380000	66666.000000	66666.000000
2021.12.16 00:00:20	12288	1	NaN	NaN	1037.130000	1007.900000	1.000000	0.000000	21234.000000	15127.000000	46.900000	203.081000	238.000000	66666.000000	199.290000	50.001000	33.849000	40.700000	198.240000	66666.000000	66666.000000
2021.12.16 00:00:21	12288	1	NaN	NaN	1037.140000	1007.890000	1.000000	0.000000	21331.000000	15125.000000	46.900000	175.139000	186.000000	66666.000000	177.280000	49.995000	33.849000	40.700000	176.340000	66666.000000	66666.000000
2021.12.16 00:00:22	12288	1	NaN	NaN	1037.130000	1007.930000	1.000000	0.000000	21428.000000	15122.000000	46.900000	146.792000	162.000000	66666.000000	156.070000	49.994000	33.849000	40.969000	155.250000	66666.000000	66666.000000
2021.12.16 00:00:23	12288	1	NaN	NaN	1037.150000	1007.930000	1.000000	0.000000	21623.000000	15117.000000	46.900000	90.187000	139.000000	66666.000000	117.100000	50.003000	33.849000	41.103000	116.490000	66666.000000	66666.000000
2021.12.16 00:00:24	12288	1	NaN	NaN	1037.150000	1007.950000	1.000000	0.000000	21722.000000	15114.000000	46.900000	61.248000	117.000000	66666.000000	98.920000	49.998000	33.849000	41.237000	98.410000	66666.000000	66666.000000
2021.12.16 00:00:25	12288	1	NaN	NaN	1037.110000	1007.970000	1.000000	0.000000	21821.000000	15112.000000	46.900000	32.702000	75.000000	66666.000000	82.150000	50.007000	33.840000	41.303000	81.720000	66666.000000	66666.000000
2021.12.16 00:00:26	12288	1	NaN	NaN	1037.180000	1007.970000	1.000000	0.000000	21919.000000	15110.000000	46.900000	4.430000	55.000000	66666.000000	66.670000	49.989000	33.840000	41.303000	66.320000	66666.000000	66666.000000
2021.12.16 00:00:27	12288	1	NaN	NaN	1037.130000	1007.980000	1.000000	0.000000	22115.000000	15106.000000	46.900000	-52.137000	37.000000	66666.000000	39.070000	50.009000	33.859000	41.372000	38.870000	66666.000000	66666.000000
2021.12.16 00:00:28	12288	1	NaN	NaN	1037.180000	1008.010000	1.000000	0.000000	22184.000000	15103.000000	46.900000	-72.714000	7.000000	66666.000000	30.150000	49.989000	33.859000	41.439000	30.000000	66666.000000	66666.000000
2021.12.16 00:00:29	12288	1	NaN	NaN	1037.210000	1008.040000	1.000000	0.000000	22201.000000	15101.000000	46.900000	-78.305000	4.000000	66666.000000	27.830000	49.990000	33.859000	41.506000	27.690000	66666.000000	66666.000000
2021.12.16 00:00:30	12288	1	NaN	NaN	1037.190000	1008.020000	1.000000	0.000000	22201.000000	15101.000000	46.900000	-78.305000	3.000000	66666.000000	27.830000	49.997000	33.859000	41.506000	27.690000	66666.000000	66666.000000
2021.12.16 00:00:31	12288	1	NaN	NaN	1037.190000	1008.020000	1.000000	0.000000	22201.000000	15101.000000	46.900000	-78.305000	3.000000	66666.000000	27.830000	49.980000	33.859000	41.540000	27.690000	66666.000000	66666.000000
2021.12.16 00:00:32	12288	1	NaN	NaN	1037.180000	1008.040000	1.000000	0.000000	22201.000000	15101.000000	46.900000	-78.305000	3.000000	66666.000000	27.830000	49.996000	33.859000	41.540000	27.690000	66666.000000	66666.000000
2021.12.16 00:00:33	12288	1	NaN	NaN	1037.180000	1008.040000	1.000000	0.000000	22201.000000	15101.000000	46.900000	-78.305000	3.000000	66666.000000	27.830000	49.994000	33.859000	41.573000	27.690000	66666.000000	66666.000000
2021.12.16 00:00:34	0	0	NaN	NaN	1037.210000	1008.050000	1.000000	0.000000	22201.000000	15101.000000	46.900000	-78.305000	3.000000	66666.000000	27.830000	50.008000	33.859000	41.573000	27.690000	66666.000000	66666.000000
2021.12.16 00:00:35	0	0	NaN	NaN	1037.220000	1008.060000	1.000000	0.000000	22201.000000	15101.000000	46.900000	-78.305000	2.000000	66666.000000	27.830000	50.002000	33.859000	41.607000	27.690000	66666.000000	66666.000000
2021.12.16 00:00:36	0	0	NaN	NaN	1037.240000	1008.080000	1.000000	0.000000	22210.000000	15100.000000	46.900000	-81.241000	2.000000	66666.000000	26.630000	49.991000	33.859000	41.640000	26.500000	66666.000000	66666.000000
2021.12.16 00:00:37	0	0	NaN	NaN	1037.190000	1008.080000	1.000000	0.000000	22210.000000	15101.000000	46.900000	-80.829000	2.000000	66666.000000	26.800000	50.010000	33.849000	41.639000	26.660000	66666.000000	66666.000000
2021.12.16 00:00:38	0	0	NaN	NaN	1037.290000	1008.080000	1.000000	0.000000	22211.000000	15102.000000	46.900000	-80.696000	2.000000	66666.000000	26.860000	49.997000	33.849000	41.639000	26.720000	66666.000000	66666.000000
2021.12.16 00:00:39	0	0	NaN	NaN	1037.220000	1008.110000	1.000000	0.000000	22211.000000	15101.000000	46.900000	-81.109000	2.000000	66666.000000	26.690000	50.003000	33.859000	41.640000	26.550000	66666.000000	66666.000000
2021.12.16 00:00:40	0	0	NaN	NaN	1037.320000	1008.120000	1.000000	0.000000	22211.000000	15101.000000	46.900000	-81.109000	2.000000	66666.000000	26.690000	49.999000	33.859000	41.674000	26.550000	66666.000000	66666.000000
2021.12.16 00:00:41	0	0	NaN	NaN	1037.280000	1008.120000	1.000000	0.000000	22211.000000	15101.000000	46.900000	-81.109000	2.000000	66666.000000	26.690000	49.992000	33.870000	41.675000	26.550000	66666.000000	66666.000000
2021.12.16 00:00:42	0	0	NaN	NaN	1037.260000	1008.110000	1.000000	0.000000	22210.000000	15100.000000	46.900000	-81.241000	2.000000	66666.000000	26.630000	49.995000	33.859000	41.707000	26.500000	66666.000000	66666.000000
2021.12.16 00:00:43	0	0	NaN	NaN	1037.320000	1008.130000	1.000000	0.000000	22210.000000	15101.000000	46.900000	-80.829000	2.000000	66666.000000	26.800000	49.994000	33.859000	41.707000	26.670000	66666.000000	66666.000000
2021.12.16 00:00:44	0	0	NaN	NaN	1037.290000	1008.130000	1.000000	0.000000	22211.000000	15101.000000	46.900000	-81.109000	2.000000	66666.000000	26.690000	50.000000	33.859000	41.707000	26.550000	66666.000000	66666.000000
2021.12.16 00:00:45	0	0	NaN	NaN	1037.330000	1008.130000	1.000000	0.000000	22211.000000	15101.000000	46.900000	-81.109000	2.000000	66666.000000	26.690000	49.997000	33.880000	41.743000	26.550000	66666.000000	66666.000000
2021.12.16 00:00:46	0	0	NaN	NaN	1037.300000	1008.160000	1.000000	0.000000	22211.000000	15100.000000	46.900000	-81.521000	2.000000	66666.000000	26.520000	50.004000	33.870000	41.775000	26.390000	66666.000000	66666.000000
2021.12.16 00:00:47	0	0	NaN	NaN	1037.320000	1008.190000	1.000000	0.000000	22209.000000	15100.000000	46.900000	-80.961000	2.000000	66666.000000	26.750000	49.993000	33.870000	41.775000	26.620000	66666.000000	66666.000000
2021.12.16 00:00:48	0	0	NaN	NaN	1037.360000	1008.170000	1.000000	0.000000	22210.000000	15100.000000	46.900000	-81.241000	2.000000	66666.000000	26.640000	49.993000	33.870000	41.775000	26.500000	66666.000000	66666.000000
2021.12.16 00:00:49	0	0	NaN	NaN	1037.330000	1008.170000	1.000000	0.000000	22210.000000	15100.000000	46.900000	-81.241000	2.000000	66666.000000	26.630000	49.997000	33.870000	41.775000	26.500000	66666.000000	66666.000000
2021.12.16 00:00:50	0	0	NaN	NaN	1037.350000	1008.200000	1.000000	0.000000	22210.000000	15101.000000	46.900000	-80.829000	2.000000	66666.000000	26.800000	50.006000	33.870000	41.775000	26.670000	66666.000000	66666.000000
2021.12.16 00:00:51	0	0	NaN	NaN	1037.360000	1008.200000	1.000000	0.000000	22210.000000	15101.000000	46.900000	-80.829000	2.000000	66666.000000	26.800000	49.993000	33.859000	41.774000	26.670000	66666.000000	66666.000000
2021.12.16 00:00:52	0	0	NaN	NaN	1037.370000	1008.220000	1.000000	0.000000	22210.000000	15101.000000	46.900000	-80.829000	2.000000	66666.000000	26.810000	50.005000	33.849000	41.773000	26.670000	66666.000000	66666.000000
2021.12.16 00:00:53	0	0	NaN	NaN	1037.350000	1008.230000	1.000000	0.000000	22210.000000	15101.000000	46.900000	-80.829000	2.000000	66666.000000	26.800000	49.996000	33.859000	41.774000	26.670000	66666.000000	66666.000000
2021.12.16 00:00:54	0	0	NaN	NaN	1037.370000	1008.220000	1.000000	0.000000	22210.000000	15100.000000	46.900000	-81.241000	2.000000	66666.000000	26.640000	50.002000	33.859000	41.808000	26.500000	66666.000000	66666.000000
