$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.14 16:00:10
$Filename; CO2FT_A ZeroCycle 20211214 160010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.14 16:00:15	12288	1	NaN	NaN	1030.480000	1004.260000	1.000000	0.000000	20640.000000	15136.000000	47.000000	372.811000	416.000000	66666.000000	359.440000	49.997000	34.050000	32.946000	356.250000	66666.000000	66666.000000
2021.12.14 16:00:16	12288	1	NaN	NaN	1030.550000	1004.260000	1.000000	0.000000	20735.000000	15135.000000	47.000000	345.850000	385.000000	66666.000000	331.400000	49.993000	34.039000	36.531000	328.460000	66666.000000	66666.000000
2021.12.14 16:00:17	12288	1	NaN	NaN	1030.590000	1004.250000	1.000000	0.000000	20830.000000	15133.000000	47.000000	318.501000	326.000000	66666.000000	304.070000	49.992000	34.060000	38.634000	301.360000	66666.000000	66666.000000
2021.12.14 16:00:18	12288	1	NaN	NaN	1030.620000	1004.300000	1.000000	0.000000	20924.000000	15128.000000	47.000000	290.263000	298.000000	66666.000000	276.950000	49.983000	34.060000	39.848000	274.500000	66666.000000	66666.000000
2021.12.14 16:00:19	12288	1	NaN	NaN	1030.600000	1004.260000	1.000000	0.000000	21110.000000	15125.000000	47.000000	237.030000	270.000000	66666.000000	228.950000	50.000000	34.069000	40.623000	226.920000	66666.000000	66666.000000
2021.12.14 16:00:20	12288	1	NaN	NaN	1030.630000	1004.290000	1.000000	0.000000	21203.000000	15122.000000	47.000000	209.815000	244.000000	66666.000000	205.970000	49.997000	34.069000	40.623000	204.150000	66666.000000	66666.000000
2021.12.14 16:00:21	12288	1	NaN	NaN	1030.630000	1004.340000	1.000000	0.000000	21297.000000	15122.000000	47.000000	183.494000	194.000000	66666.000000	184.760000	49.996000	34.079000	41.094000	183.130000	66666.000000	66666.000000
2021.12.14 16:00:22	12288	1	NaN	NaN	1030.640000	1004.360000	1.000000	0.000000	21392.000000	15120.000000	47.000000	156.100000	171.000000	66666.000000	163.720000	50.003000	34.079000	41.396000	162.290000	66666.000000	66666.000000
2021.12.14 16:00:23	12288	1	NaN	NaN	1030.630000	1004.310000	1.000000	0.000000	21581.000000	15117.000000	47.000000	101.970000	148.000000	66666.000000	125.320000	49.972000	34.079000	41.597000	124.210000	66666.000000	66666.000000
2021.12.14 16:00:24	12288	1	NaN	NaN	1030.700000	1004.300000	1.000000	0.000000	21675.000000	15115.000000	47.000000	74.837000	126.000000	66666.000000	107.640000	49.972000	34.069000	41.730000	106.690000	66666.000000	66666.000000
2021.12.14 16:00:25	12288	1	NaN	NaN	1030.700000	1004.330000	1.000000	0.000000	21769.000000	15113.000000	47.000000	47.696000	85.000000	66666.000000	91.010000	49.998000	34.069000	41.730000	90.210000	66666.000000	66666.000000
2021.12.14 16:00:26	12288	1	NaN	NaN	1030.730000	1004.370000	1.000000	0.000000	21862.000000	15111.000000	47.000000	20.829000	66.000000	66666.000000	75.590000	50.003000	34.069000	41.797000	74.930000	66666.000000	66666.000000
2021.12.14 16:00:27	12288	1	NaN	NaN	1030.740000	1004.360000	1.000000	0.000000	22050.000000	15105.000000	47.000000	-34.306000	48.000000	66666.000000	47.170000	50.003000	34.069000	41.864000	46.760000	66666.000000	66666.000000
2021.12.14 16:00:28	12288	1	NaN	NaN	1030.740000	1004.410000	1.000000	0.000000	22143.000000	15103.000000	47.000000	-61.199000	14.000000	66666.000000	34.890000	50.003000	34.060000	41.930000	34.580000	66666.000000	66666.000000
2021.12.14 16:00:29	12288	1	NaN	NaN	1030.740000	1004.400000	1.000000	0.000000	22186.000000	15101.000000	47.000000	-74.079000	6.000000	66666.000000	29.370000	49.999000	34.079000	41.966000	29.110000	66666.000000	66666.000000
2021.12.14 16:00:30	12288	1	NaN	NaN	1030.740000	1004.400000	1.000000	0.000000	22199.000000	15101.000000	47.000000	-77.724000	4.000000	66666.000000	27.850000	49.996000	34.069000	41.998000	27.610000	66666.000000	66666.000000
2021.12.14 16:00:31	12288	1	NaN	NaN	1030.730000	1004.370000	1.000000	0.000000	22202.000000	15100.000000	47.000000	-78.977000	4.000000	66666.000000	27.330000	50.005000	34.069000	41.998000	27.090000	66666.000000	66666.000000
2021.12.14 16:00:32	12288	1	NaN	NaN	1030.730000	1004.400000	1.000000	0.000000	22202.000000	15100.000000	47.000000	-78.977000	3.000000	66666.000000	27.330000	50.001000	34.069000	42.031000	27.090000	66666.000000	66666.000000
2021.12.14 16:00:33	12288	1	NaN	NaN	1030.730000	1004.400000	1.000000	0.000000	22202.000000	15099.000000	47.000000	-79.390000	4.000000	66666.000000	27.160000	50.006000	34.090000	42.067000	26.920000	66666.000000	66666.000000
2021.12.14 16:00:34	0	0	NaN	NaN	1030.790000	1004.420000	1.000000	0.000000	22202.000000	15100.000000	47.000000	-78.977000	3.000000	66666.000000	27.330000	50.009000	34.099000	42.102000	27.090000	66666.000000	66666.000000
2021.12.14 16:00:35	0	0	NaN	NaN	1030.750000	1004.420000	1.000000	0.000000	22202.000000	15100.000000	47.000000	-78.977000	3.000000	66666.000000	27.330000	49.990000	34.099000	42.102000	27.090000	66666.000000	66666.000000
2021.12.14 16:00:36	0	0	NaN	NaN	1030.770000	1004.420000	1.000000	0.000000	22202.000000	15100.000000	47.000000	-78.977000	4.000000	66666.000000	27.330000	49.994000	34.079000	42.133000	27.090000	66666.000000	66666.000000
2021.12.14 16:00:37	0	0	NaN	NaN	1030.740000	1004.420000	1.000000	0.000000	22203.000000	15100.000000	47.000000	-79.258000	3.000000	66666.000000	27.210000	49.997000	34.079000	42.133000	26.980000	66666.000000	66666.000000
2021.12.14 16:00:38	0	0	NaN	NaN	1030.780000	1004.450000	1.000000	0.000000	22203.000000	15100.000000	47.000000	-79.258000	3.000000	66666.000000	27.210000	50.003000	34.090000	42.134000	26.980000	66666.000000	66666.000000
2021.12.14 16:00:39	0	0	NaN	NaN	1030.790000	1004.490000	1.000000	0.000000	22203.000000	15100.000000	47.000000	-79.258000	3.000000	66666.000000	27.220000	49.976000	34.090000	42.201000	26.980000	66666.000000	66666.000000
2021.12.14 16:00:40	0	0	NaN	NaN	1030.810000	1004.450000	1.000000	0.000000	22202.000000	15099.000000	47.000000	-79.390000	3.000000	66666.000000	27.160000	50.006000	34.079000	42.200000	26.930000	66666.000000	66666.000000
2021.12.14 16:00:41	0	0	NaN	NaN	1030.810000	1004.480000	1.000000	0.000000	22201.000000	15098.000000	47.000000	-79.522000	3.000000	66666.000000	27.110000	50.001000	34.079000	42.200000	26.870000	66666.000000	66666.000000
2021.12.14 16:00:42	0	0	NaN	NaN	1030.810000	1004.490000	1.000000	0.000000	22202.000000	15100.000000	47.000000	-78.977000	3.000000	66666.000000	27.330000	50.001000	34.079000	42.200000	27.100000	66666.000000	66666.000000
2021.12.14 16:00:43	0	0	NaN	NaN	1030.820000	1004.490000	1.000000	0.000000	22204.000000	15100.000000	47.000000	-79.539000	3.000000	66666.000000	27.100000	49.998000	34.069000	42.232000	26.870000	66666.000000	66666.000000
