$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.11 00:00:10
$Filename; CO2FT_A ZeroCycle 20211211 000010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.11 00:00:15	12288	1	NaN	NaN	1018.570000	1000.370000	1.000000	0.000000	20595.000000	15152.000000	46.700000	391.429000	436.000000	66666.000000	381.590000	50.002000	32.079000	28.132000	376.740000	66666.000000	66666.000000
2021.12.11 00:00:16	12288	1	NaN	NaN	1018.590000	1000.330000	1.000000	0.000000	20686.000000	15150.000000	46.700000	365.234000	376.000000	66666.000000	353.430000	49.998000	32.069000	32.533000	348.930000	66666.000000	66666.000000
2021.12.11 00:00:17	12288	1	NaN	NaN	1018.550000	1000.350000	1.000000	0.000000	20778.000000	15146.000000	46.700000	337.987000	347.000000	66666.000000	325.240000	50.000000	32.079000	35.089000	321.100000	66666.000000	66666.000000
2021.12.11 00:00:18	12288	1	NaN	NaN	1018.670000	1000.360000	1.000000	0.000000	20961.000000	15143.000000	46.700000	285.663000	319.000000	66666.000000	274.030000	49.992000	32.079000	36.748000	270.540000	66666.000000	66666.000000
2021.12.11 00:00:19	12288	1	NaN	NaN	1018.630000	1000.390000	1.000000	0.000000	21052.000000	15141.000000	46.700000	259.439000	265.000000	66666.000000	249.880000	49.984000	32.079000	37.760000	246.710000	66666.000000	66666.000000
2021.12.11 00:00:20	12288	1	NaN	NaN	1018.640000	1000.400000	1.000000	0.000000	21144.000000	15139.000000	46.700000	232.929000	239.000000	66666.000000	226.460000	49.999000	32.079000	37.760000	223.590000	66666.000000	66666.000000
2021.12.11 00:00:21	12288	1	NaN	NaN	1018.660000	1000.360000	1.000000	0.000000	21236.000000	15135.000000	46.700000	205.626000	215.000000	66666.000000	203.410000	50.001000	32.090000	38.367000	200.820000	66666.000000	66666.000000
2021.12.11 00:00:22	12288	1	NaN	NaN	1018.700000	1000.370000	1.000000	0.000000	21419.000000	15132.000000	46.700000	153.238000	191.000000	66666.000000	162.180000	49.985000	32.099000	38.839000	160.120000	66666.000000	66666.000000
2021.12.11 00:00:23	12288	1	NaN	NaN	1018.700000	1000.430000	1.000000	0.000000	21511.000000	15131.000000	46.700000	127.096000	146.000000	66666.000000	143.100000	49.992000	32.109000	39.109000	141.290000	66666.000000	66666.000000
2021.12.11 00:00:24	12288	1	NaN	NaN	1018.720000	1000.390000	1.000000	0.000000	21603.000000	15128.000000	46.700000	100.151000	125.000000	66666.000000	124.450000	49.997000	32.099000	39.242000	122.870000	66666.000000	66666.000000
2021.12.11 00:00:25	12288	1	NaN	NaN	1018.720000	1000.470000	1.000000	0.000000	21786.000000	15123.000000	46.700000	46.911000	105.000000	66666.000000	90.690000	49.986000	32.099000	39.376000	89.550000	66666.000000	66666.000000
2021.12.11 00:00:26	12288	1	NaN	NaN	1018.750000	1000.460000	1.000000	0.000000	21878.000000	15121.000000	46.700000	20.341000	85.000000	66666.000000	75.380000	49.986000	32.099000	39.376000	74.430000	66666.000000	66666.000000
2021.12.11 00:00:27	12288	1	NaN	NaN	1018.750000	1000.460000	1.000000	0.000000	21970.000000	15119.000000	46.700000	-6.235000	48.000000	66666.000000	61.080000	49.998000	32.079000	39.475000	60.310000	66666.000000	66666.000000
2021.12.11 00:00:28	12288	1	NaN	NaN	1018.720000	1000.470000	1.000000	0.000000	22062.000000	15115.000000	46.700000	-33.637000	31.000000	66666.000000	47.410000	49.995000	32.090000	39.610000	46.810000	66666.000000	66666.000000
2021.12.11 00:00:29	12288	1	NaN	NaN	1018.760000	1000.510000	1.000000	0.000000	22197.000000	15114.000000	46.700000	-71.869000	15.000000	66666.000000	30.140000	49.996000	32.079000	39.609000	29.760000	66666.000000	66666.000000
2021.12.11 00:00:30	12288	1	NaN	NaN	1018.750000	1000.500000	1.000000	0.000000	22210.000000	15113.000000	46.700000	-75.923000	7.000000	66666.000000	28.430000	50.001000	32.079000	39.642000	28.070000	66666.000000	66666.000000
2021.12.11 00:00:31	12288	1	NaN	NaN	1018.820000	1000.510000	1.000000	0.000000	22213.000000	15113.000000	46.700000	-76.763000	5.000000	66666.000000	28.080000	49.987000	32.079000	39.642000	27.730000	66666.000000	66666.000000
2021.12.11 00:00:32	12288	1	NaN	NaN	1018.740000	1000.550000	1.000000	0.000000	22214.000000	15113.000000	46.700000	-77.044000	4.000000	66666.000000	27.960000	50.001000	32.119000	39.680000	27.610000	66666.000000	66666.000000
2021.12.11 00:00:33	12288	1	NaN	NaN	1018.760000	1000.540000	1.000000	0.000000	22215.000000	15113.000000	46.700000	-77.324000	4.000000	66666.000000	27.850000	49.987000	32.090000	39.777000	27.500000	66666.000000	66666.000000
2021.12.11 00:00:34	0	0	NaN	NaN	1018.870000	1000.540000	1.000000	0.000000	22215.000000	15113.000000	46.700000	-77.324000	4.000000	66666.000000	27.850000	50.008000	32.109000	39.746000	27.500000	66666.000000	66666.000000
2021.12.11 00:00:35	0	0	NaN	NaN	1018.820000	1000.540000	1.000000	0.000000	22215.000000	15113.000000	46.700000	-77.324000	4.000000	66666.000000	27.850000	50.000000	32.099000	39.778000	27.500000	66666.000000	66666.000000
2021.12.11 00:00:36	0	0	NaN	NaN	1018.820000	1000.550000	1.000000	0.000000	22215.000000	15113.000000	46.700000	-77.324000	4.000000	66666.000000	27.850000	49.993000	32.090000	39.811000	27.500000	66666.000000	66666.000000
2021.12.11 00:00:37	0	0	NaN	NaN	1018.830000	1000.520000	1.000000	0.000000	22215.000000	15113.000000	46.700000	-77.324000	4.000000	66666.000000	27.850000	49.996000	32.090000	39.811000	27.500000	66666.000000	66666.000000
2021.12.11 00:00:38	0	0	NaN	NaN	1018.830000	1000.540000	1.000000	0.000000	22215.000000	15112.000000	46.700000	-77.735000	4.000000	66666.000000	27.680000	49.993000	32.099000	39.778000	27.330000	66666.000000	66666.000000
2021.12.11 00:00:39	0	0	NaN	NaN	1018.790000	1000.520000	1.000000	0.000000	22215.000000	15112.000000	46.700000	-77.735000	4.000000	66666.000000	27.680000	49.997000	32.090000	39.878000	27.330000	66666.000000	66666.000000
2021.12.11 00:00:40	0	0	NaN	NaN	1018.850000	1000.580000	1.000000	0.000000	22215.000000	15112.000000	46.700000	-77.735000	4.000000	66666.000000	27.680000	50.012000	32.099000	39.845000	27.330000	66666.000000	66666.000000
2021.12.11 00:00:41	0	0	NaN	NaN	1018.850000	1000.590000	1.000000	0.000000	22216.000000	15113.000000	46.700000	-77.604000	4.000000	66666.000000	27.730000	49.992000	32.119000	39.881000	27.380000	66666.000000	66666.000000
2021.12.11 00:00:42	0	0	NaN	NaN	1018.870000	1000.580000	1.000000	0.000000	22216.000000	15113.000000	46.700000	-77.604000	4.000000	66666.000000	27.730000	50.000000	32.119000	39.881000	27.380000	66666.000000	66666.000000
2021.12.11 00:00:43	0	0	NaN	NaN	1018.850000	1000.590000	1.000000	0.000000	22216.000000	15113.000000	46.700000	-77.604000	4.000000	66666.000000	27.730000	49.998000	32.099000	39.912000	27.390000	66666.000000	66666.000000
2021.12.11 00:00:44	0	0	NaN	NaN	1018.850000	1000.610000	1.000000	0.000000	22216.000000	15112.000000	46.700000	-78.016000	4.000000	66666.000000	27.560000	49.993000	32.109000	39.913000	27.220000	66666.000000	66666.000000
2021.12.11 00:00:45	0	0	NaN	NaN	1018.870000	1000.630000	1.000000	0.000000	22216.000000	15112.000000	46.700000	-78.016000	4.000000	66666.000000	27.560000	49.994000	32.119000	39.914000	27.220000	66666.000000	66666.000000
