$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.05 04:00:10
$Filename; CO2FT_A ZeroCycle 20211205 040010.txt 
$Type; HydroC CO2FT ()
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$DATASETS
$Timestamp	Quality	Info	Longitude	Latitude	P_NDIR	P_In	State_Zero	State_Flush	Signal_Raw	Signal_Ref	T_Sensor	Signal_Proc	Conc_Estimate	PCO2_Corr	XCO2_Corr	T_Control	T_Gas	H_Gas	PCO2_Corr_Zero	PCO2_Corr_Flush	PCO2_Comp
$Date Time	Flags	Flags	Deg	Deg	mbar	mbar	On/Off	On/Off	LSB	LSB	°C	digits	ppm	µatm	ppm	°C	°C	%RH	µatm	µatm	µatm
2021.12.05 04:00:15	12416	8388609	NaN	NaN	1013.560000	997.010000	1.000000	0.000000	17911.000000	15151.000000	47.100000	1141.244000	1772.000000	66666.000000	1641.130000	49.998000	34.719000	42.806000	1614.830000	66666.000000	66666.000000
2021.12.05 04:00:16	12416	8388609	NaN	NaN	1013.590000	996.950000	1.000000	0.000000	17911.000000	15151.000000	47.100000	1141.244000	1772.000000	66666.000000	1641.050000	50.004000	34.719000	43.741000	1614.660000	66666.000000	66666.000000
2021.12.05 04:00:16	12416	8388609	NaN	NaN	1013.570000	996.980000	1.000000	0.000000	17911.000000	15151.000000	47.100000	1141.244000	1772.000000	66666.000000	1641.100000	49.998000	34.719000	43.741000	1614.750000	66666.000000	66666.000000
2021.12.05 04:00:17	12416	8388609	NaN	NaN	1013.560000	996.980000	1.000000	0.000000	17911.000000	15151.000000	47.100000	1141.244000	1003.000000	66666.000000	1641.300000	49.993000	34.739000	44.277000	1614.940000	66666.000000	66666.000000
2021.12.05 04:00:19	12416	8388609	NaN	NaN	1013.590000	996.970000	1.000000	0.000000	19347.000000	15133.000000	47.100000	733.480000	793.000000	66666.000000	855.860000	49.996000	34.719000	44.607000	842.100000	66666.000000	66666.000000
2021.12.05 04:00:20	12416	8388609	NaN	NaN	1013.570000	996.980000	1.000000	0.000000	19562.000000	15130.000000	47.100000	672.236000	698.000000	66666.000000	759.290000	49.998000	34.730000	44.775000	747.090000	66666.000000	66666.000000
2021.12.05 04:00:21	12416	8388609	NaN	NaN	1013.600000	996.980000	1.000000	0.000000	19777.000000	15127.000000	47.100000	610.967000	609.000000	66666.000000	668.090000	50.001000	34.709000	44.872000	657.360000	66666.000000	66666.000000
2021.12.05 04:00:22	12416	8388609	NaN	NaN	1013.570000	996.980000	1.000000	0.000000	19777.000000	15127.000000	47.100000	610.967000	609.000000	66666.000000	668.150000	50.003000	34.719000	45.006000	657.420000	66666.000000	66666.000000
2021.12.05 04:00:23	12416	8388609	NaN	NaN	1013.590000	997.000000	1.000000	0.000000	19777.000000	15127.000000	47.100000	610.967000	609.000000	66666.000000	668.130000	49.993000	34.719000	45.006000	657.410000	66666.000000	66666.000000
2021.12.05 04:00:24	12416	8388609	NaN	NaN	1013.600000	997.010000	1.000000	0.000000	20638.000000	15114.000000	47.100000	364.984000	310.000000	66666.000000	358.460000	49.997000	34.730000	45.008000	352.710000	66666.000000	66666.000000
2021.12.05 04:00:25	12416	8388609	NaN	NaN	1013.570000	996.950000	1.000000	0.000000	20638.000000	15114.000000	47.100000	364.984000	310.000000	66666.000000	358.480000	49.989000	34.739000	45.075000	352.710000	66666.000000	66666.000000
2021.12.05 04:00:26	12416	8388609	NaN	NaN	1013.600000	997.010000	1.000000	0.000000	21284.000000	15105.000000	47.100000	180.446000	192.000000	66666.000000	185.050000	49.988000	34.739000	45.075000	182.090000	66666.000000	66666.000000
2021.12.05 04:00:27	12416	8388609	NaN	NaN	1013.530000	996.980000	1.000000	0.000000	21499.000000	15102.000000	47.100000	118.978000	93.000000	66666.000000	138.510000	50.000000	34.730000	45.074000	136.290000	66666.000000	66666.000000
2021.12.05 04:00:28	12416	8388609	NaN	NaN	1013.590000	997.000000	1.000000	0.000000	21715.000000	15099.000000	47.100000	57.204000	50.000000	66666.000000	97.380000	50.003000	34.730000	45.074000	95.820000	66666.000000	66666.000000
2021.12.05 04:00:29	12416	8388609	NaN	NaN	1013.570000	997.020000	1.000000	0.000000	21930.000000	15094.000000	47.100000	-5.127000	25.000000	66666.000000	61.620000	49.987000	34.719000	45.073000	60.630000	66666.000000	66666.000000
2021.12.05 04:00:30	12416	8388609	NaN	NaN	1013.570000	997.020000	1.000000	0.000000	22115.000000	15092.000000	47.100000	-57.848000	16.000000	66666.000000	35.870000	49.995000	34.730000	45.140000	35.300000	66666.000000	66666.000000
2021.12.05 04:00:31	12416	8388609	NaN	NaN	1013.620000	997.010000	1.000000	0.000000	22131.000000	15092.000000	47.100000	-62.337000	13.000000	66666.000000	33.870000	50.006000	34.739000	45.108000	33.330000	66666.000000	66666.000000
2021.12.05 04:00:32	12416	8388609	NaN	NaN	1013.600000	996.980000	1.000000	0.000000	22136.000000	15092.000000	47.100000	-63.740000	12.000000	66666.000000	33.250000	49.999000	34.730000	45.107000	32.720000	66666.000000	66666.000000
2021.12.05 04:00:33	12416	8388609	NaN	NaN	1013.620000	997.000000	1.000000	0.000000	22138.000000	15092.000000	47.100000	-64.301000	12.000000	66666.000000	33.000000	49.995000	34.739000	45.142000	32.470000	66666.000000	66666.000000
2021.12.05 04:00:34	128	8388608	NaN	NaN	1013.600000	997.020000	1.000000	0.000000	22139.000000	15092.000000	47.100000	-64.582000	12.000000	66666.000000	32.880000	49.994000	34.739000	45.142000	32.350000	66666.000000	66666.000000
2021.12.05 04:00:34	128	8388608	NaN	NaN	1013.570000	997.020000	1.000000	0.000000	22140.000000	15091.000000	47.100000	-65.273000	12.000000	66666.000000	32.580000	50.000000	34.739000	45.142000	32.050000	66666.000000	66666.000000
2021.12.05 04:00:35	128	8388608	NaN	NaN	1013.660000	997.050000	1.000000	0.000000	22140.000000	15091.000000	47.100000	-65.273000	12.000000	66666.000000	32.580000	50.000000	34.719000	45.139000	32.060000	66666.000000	66666.000000
2021.12.05 04:00:37	128	8388608	NaN	NaN	1013.620000	997.060000	1.000000	0.000000	22141.000000	15092.000000	47.100000	-65.143000	12.000000	66666.000000	32.640000	49.992000	34.730000	45.174000	32.110000	66666.000000	66666.000000
2021.12.05 04:00:38	128	8388608	NaN	NaN	1013.620000	997.040000	1.000000	0.000000	22142.000000	15091.000000	47.100000	-65.835000	11.000000	66666.000000	32.330000	49.995000	34.739000	45.142000	31.810000	66666.000000	66666.000000
2021.12.05 04:00:39	128	8388608	NaN	NaN	1013.620000	997.040000	1.000000	0.000000	22142.000000	15091.000000	47.100000	-65.835000	11.000000	66666.000000	32.330000	49.996000	34.730000	45.140000	31.820000	66666.000000	66666.000000
2021.12.05 04:00:40	128	8388608	NaN	NaN	1013.640000	997.020000	1.000000	0.000000	22142.000000	15091.000000	47.100000	-65.835000	11.000000	66666.000000	32.330000	50.003000	34.730000	45.140000	31.820000	66666.000000	66666.000000
2021.12.05 04:00:41	128	8388608	NaN	NaN	1013.620000	997.020000	1.000000	0.000000	22142.000000	15091.000000	47.100000	-65.835000	11.000000	66666.000000	32.330000	49.994000	34.730000	45.140000	31.810000	66666.000000	66666.000000
2021.12.05 04:00:42	128	8388608	NaN	NaN	1013.640000	997.040000	1.000000	0.000000	22143.000000	15091.000000	47.100000	-66.115000	11.000000	66666.000000	32.210000	49.996000	34.719000	45.139000	31.700000	66666.000000	66666.000000
2021.12.05 04:00:43	128	8388608	NaN	NaN	1013.600000	997.060000	1.000000	0.000000	22143.000000	15091.000000	47.100000	-66.115000	11.000000	66666.000000	32.210000	50.004000	34.730000	45.140000	31.690000	66666.000000	66666.000000
2021.12.05 04:00:44	128	8388608	NaN	NaN	1013.660000	997.060000	1.000000	0.000000	22143.000000	15091.000000	47.100000	-66.115000	11.000000	66666.000000	32.210000	49.992000	34.730000	45.174000	31.700000	66666.000000	66666.000000
