$Timestamp	PCO2_Corr	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	µatm	Flags	Cnt	Sec	MR	µatm	µatm	Units	Deg	Deg	Units	Flags
2021.12.08 00:37:00	449.115000	0	60	60	1	448.010000	449.550000	0.117873	NaN	NaN	44911.500000	0
2021.12.08 00:38:00	448.987869	0	61	61	1	448.480000	449.390000	0.069467	NaN	NaN	44898.786885	0
2021.12.08 00:39:00	449.045085	0	59	59	1	448.380000	449.470000	0.072029	NaN	NaN	44904.508475	9
2021.12.08 00:40:00	449.036667	0	60	61	1	448.430000	449.770000	0.098351	NaN	NaN	44903.666667	9
2021.12.08 00:41:00	448.827500	0	60	60	1	447.940000	449.480000	0.187938	NaN	NaN	44882.750000	9
2021.12.08 00:42:00	448.346000	0	60	59	1	447.840000	448.890000	0.065140	NaN	NaN	44834.600000	0
2021.12.08 00:43:00	448.167213	0	61	61	1	447.520000	448.900000	0.098560	NaN	NaN	44816.721311	9
2021.12.08 00:44:00	447.878475	0	59	59	1	447.150000	448.420000	0.069396	NaN	NaN	44787.847458	0
2021.12.08 00:45:00	447.443934	0	61	61	1	447.040000	448.030000	0.081598	NaN	NaN	44744.393443	9
2021.12.08 00:46:00	447.489661	0	59	60	1	446.920000	448.120000	0.070114	NaN	NaN	44748.966102	9
2021.12.08 00:47:00	446.968833	0	60	61	1	446.060000	447.740000	0.162407	NaN	NaN	44696.883333	9
2021.12.08 00:48:00	446.798833	0	60	60	1	446.380000	447.290000	0.064885	NaN	NaN	44679.883333	0
2021.12.08 00:49:00	446.477377	0	61	60	1	445.940000	447.100000	0.108893	NaN	NaN	44647.737705	0
2021.12.08 00:50:00	446.497797	0	59	59	1	445.680000	447.090000	0.136528	NaN	NaN	44649.779661	0
2021.12.08 00:51:00	446.630000	0	60	60	1	446.040000	447.060000	0.071820	NaN	NaN	44663.000000	9
2021.12.08 00:52:00	446.359000	0	60	60	1	445.700000	446.850000	0.043107	NaN	NaN	44635.900000	0
2021.12.08 00:53:00	446.436167	0	60	59	1	445.630000	446.940000	0.091122	NaN	NaN	44643.616667	0
2021.12.08 00:54:00	446.700167	0	60	60	1	446.270000	447.390000	0.060283	NaN	NaN	44670.016667	0
2021.12.08 00:55:00	446.159167	0	60	60	1	445.620000	446.950000	0.089276	NaN	NaN	44615.916667	9
2021.12.08 00:56:00	446.076000	0	60	60	1	445.650000	446.590000	0.050835	NaN	NaN	44607.600000	9
2021.12.08 00:57:00	446.084500	0	60	60	1	445.410000	446.700000	0.106049	NaN	NaN	44608.450000	9
2021.12.08 00:58:00	446.346066	0	61	60	1	445.720000	446.870000	0.067064	NaN	NaN	44634.606557	9
2021.12.08 00:59:00	446.606500	0	60	59	1	446.130000	447.310000	0.048494	NaN	NaN	44660.650000	0
2021.12.08 01:00:00	447.240000	0	60	60	1	446.480000	448.260000	0.231647	NaN	NaN	44724.000000	0
2021.12.08 01:01:00	448.253167	0	60	60	1	447.690000	448.960000	0.131893	NaN	NaN	44825.316667	9
