$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.12 00:00:05
$Filename; CO2FT_A_PCO2_Corr_20211212.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; PCO2_Corr, µatm; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, µatm; Float
$8; Maximum; µatm; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	PCO2_Corr	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	µatm	Flags	Cnt	Sec	MR	µatm	µatm	Units	Deg	Deg	Units	Flags
2021.12.12 00:00:00	423.244590	0	61	61	1	422.540000	423.740000	0.113315	NaN	NaN	42324.459016	0
2021.12.12 00:01:00	423.292000	0	10	10	1	422.720000	423.670000	0.126440	NaN	NaN	42329.200000	9
2021.12.12 00:02:00	99999.000000	1	0	0	1	99999.000000	99999.000000	99999.000000	NaN	NaN	99999.000000	9
2021.12.12 00:03:00	99999.000000	1	0	0	1	99999.000000	99999.000000	99999.000000	NaN	NaN	99999.000000	9
2021.12.12 00:04:00	66666.000000	1	0	0	1	66666.000000	66666.000000	66666.000000	NaN	NaN	66666.000000	1
2021.12.12 00:05:00	99999.000000	1	0	0	1	99999.000000	99999.000000	99999.000000	NaN	NaN	99999.000000	9
2021.12.12 00:06:00	99999.000000	1	0	0	1	99999.000000	99999.000000	99999.000000	NaN	NaN	99999.000000	9
2021.12.12 00:07:00	66666.000000	1	0	0	1	66666.000000	66666.000000	66666.000000	NaN	NaN	66666.000000	1
2021.12.12 00:08:00	99999.000000	1	0	0	1	99999.000000	99999.000000	99999.000000	NaN	NaN	99999.000000	9
2021.12.12 00:09:00	99999.000000	1	0	0	1	99999.000000	99999.000000	99999.000000	NaN	NaN	99999.000000	9
2021.12.12 00:10:00	99999.000000	1	0	0	1	99999.000000	99999.000000	99999.000000	NaN	NaN	99999.000000	9
2021.12.12 00:11:00	99999.000000	1	0	0	1	99999.000000	99999.000000	99999.000000	NaN	NaN	99999.000000	9
2021.12.12 00:12:00	66666.000000	1	0	0	1	66666.000000	66666.000000	66666.000000	NaN	NaN	66666.000000	1
2021.12.12 00:13:00	99999.000000	1	0	0	1	99999.000000	99999.000000	99999.000000	NaN	NaN	99999.000000	9
2021.12.12 00:14:00	66666.000000	1	0	0	1	66666.000000	66666.000000	66666.000000	NaN	NaN	66666.000000	1
2021.12.12 00:15:00	99999.000000	1	0	0	1	99999.000000	99999.000000	99999.000000	NaN	NaN	99999.000000	9
2021.12.12 00:16:00	99999.000000	1	0	0	1	99999.000000	99999.000000	99999.000000	NaN	NaN	99999.000000	9
2021.12.12 00:17:00	66666.000000	1	0	0	1	66666.000000	66666.000000	66666.000000	NaN	NaN	66666.000000	1
2021.12.12 00:18:00	414.294167	0	48	48	1	413.370000	415.710000	0.517135	NaN	NaN	41429.416667	9
2021.12.12 00:19:00	416.374915	0	59	59	1	415.510000	417.270000	0.187322	NaN	NaN	41637.491525	0
2021.12.12 00:20:00	417.841333	0	60	60	1	416.870000	418.720000	0.272551	NaN	NaN	41784.133333	9
2021.12.12 00:21:00	419.542623	0	61	60	1	418.470000	420.670000	0.324713	NaN	NaN	41954.262295	9
2021.12.12 00:22:00	420.794237	0	59	59	1	419.970000	421.930000	0.355394	NaN	NaN	42079.423729	0
2021.12.12 00:23:00	421.465410	0	61	61	1	420.990000	422.320000	0.084895	NaN	NaN	42146.540984	9
2021.12.12 00:24:00	422.484576	0	59	59	1	421.480000	423.190000	0.247780	NaN	NaN	42248.457627	0
2021.12.12 00:25:00	423.254000	0	60	60	1	422.520000	424.190000	0.206421	NaN	NaN	42325.400000	9
2021.12.12 00:26:00	424.742500	0	60	60	1	424.020000	425.720000	0.316680	NaN	NaN	42474.250000	9
2021.12.12 00:27:00	426.288167	0	60	60	1	425.590000	426.930000	0.116910	NaN	NaN	42628.816667	9
2021.12.12 00:28:00	427.694000	0	60	60	1	426.690000	428.670000	0.175292	NaN	NaN	42769.400000	0
2021.12.12 00:29:00	428.735667	0	60	60	1	428.200000	429.010000	0.023933	NaN	NaN	42873.566667	9
2021.12.12 00:30:00	429.810492	0	61	61	1	428.780000	430.410000	0.181691	NaN	NaN	42981.049180	0
2021.12.12 00:31:00	430.408475	0	59	59	1	429.770000	431.060000	0.126161	NaN	NaN	43040.847458	9
2021.12.12 00:32:00	430.650667	0	60	60	1	430.090000	431.440000	0.053789	NaN	NaN	43065.066667	9
2021.12.12 00:33:00	430.677705	0	61	61	1	430.160000	431.140000	0.047505	NaN	NaN	43067.770492	9
2021.12.12 00:34:00	430.280847	0	59	60	1	429.820000	430.760000	0.049880	NaN	NaN	43028.084746	9
2021.12.12 00:35:00	429.676500	0	60	59	1	429.100000	430.060000	0.047843	NaN	NaN	42967.650000	9
2021.12.12 00:36:00	429.712951	0	61	61	1	429.210000	430.190000	0.031351	NaN	NaN	42971.295082	9
2021.12.12 00:37:00	429.326667	0	60	60	1	428.400000	429.730000	0.087019	NaN	NaN	42932.666667	9
2021.12.12 00:38:00	429.395333	0	60	60	1	428.700000	430.060000	0.106571	NaN	NaN	42939.533333	0
2021.12.12 00:39:00	429.755667	0	60	60	1	428.980000	430.350000	0.177269	NaN	NaN	42975.566667	0
2021.12.12 00:40:00	430.090339	0	59	58	1	429.600000	430.640000	0.064814	NaN	NaN	43009.033898	0
2021.12.12 00:41:00	430.466500	0	60	60	1	429.580000	430.880000	0.111898	NaN	NaN	43046.650000	0
2021.12.12 00:42:00	430.965246	0	61	61	1	430.600000	431.440000	0.046425	NaN	NaN	43096.524590	9
2021.12.12 00:43:00	431.096780	0	59	59	1	430.570000	431.690000	0.066177	NaN	NaN	43109.677966	9
2021.12.12 00:44:00	431.682623	0	61	61	1	431.230000	432.220000	0.091300	NaN	NaN	43168.262295	0
