$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.06 00:00:02
$Filename; CO2FT_A_PCO2_Corr_Flush_20211206.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; PCO2_Corr_Flush, µatm; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, µatm; Float
$8; Maximum; µatm; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	PCO2_Corr_Flush	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	µatm	Flags	Cnt	Sec	MR	µatm	µatm	Units	Deg	Deg	Units	Flags
2021.12.06 00:00:00	99999.000000	1	0	0	1	99999.000000	99999.000000	99999.000000	NaN	NaN	99999.000000	8388617
2021.12.06 00:01:00	99999.000000	1	0	0	1	99999.000000	99999.000000	99999.000000	NaN	NaN	99999.000000	8388617
2021.12.06 00:02:00	66666.000000	1	0	0	1	66666.000000	66666.000000	66666.000000	NaN	NaN	66666.000000	8388609
2021.12.06 00:03:00	762.500833	128	48	48	1	31.030000	1008.020000	122115.327591	NaN	NaN	76250.083333	8388609
2021.12.06 00:04:00	1031.904590	128	61	60	1	1007.590000	1053.510000	179.255965	NaN	NaN	103190.459016	8388608
2021.12.06 00:05:00	1069.682000	128	60	59	1	1054.440000	1083.630000	73.363369	NaN	NaN	106968.200000	8388608
2021.12.06 00:06:00	1096.007000	128	60	60	1	1084.060000	1107.410000	42.653625	NaN	NaN	109600.700000	8388608
2021.12.06 00:07:00	1117.116780	128	59	59	1	1107.680000	1125.840000	29.430326	NaN	NaN	111711.677966	8388617
2021.12.06 00:08:00	1134.615167	128	60	59	1	1126.150000	1142.950000	20.973530	NaN	NaN	113461.516667	8388617
2021.12.06 00:09:00	1149.781148	128	61	61	1	1142.710000	1157.630000	17.693127	NaN	NaN	114978.114754	8388608
2021.12.06 00:10:00	1164.214746	128	59	59	1	1158.300000	1169.470000	11.232867	NaN	NaN	116421.474576	8388608
2021.12.06 00:11:00	1176.821500	128	60	60	1	1170.220000	1182.540000	14.982610	NaN	NaN	117682.150000	8388608
2021.12.06 00:12:00	1189.092459	128	61	61	1	1182.870000	1195.050000	12.403559	NaN	NaN	118909.245902	8388608
2021.12.06 00:13:00	1200.315424	128	59	59	1	1194.920000	1206.590000	11.163549	NaN	NaN	120031.542373	8388608
2021.12.06 00:14:00	1211.245082	128	61	60	1	1206.250000	1217.310000	9.796422	NaN	NaN	121124.508197	8388608
2021.12.06 00:15:00	1221.129000	128	60	59	1	1215.970000	1225.950000	10.669175	NaN	NaN	122112.900000	8388617
2021.12.06 00:16:00	1231.364500	128	60	59	1	1226.160000	1236.300000	8.716442	NaN	NaN	123136.450000	8388608
2021.12.06 00:17:00	1241.224576	128	59	59	1	1235.780000	1245.780000	9.419156	NaN	NaN	124122.457627	8388608
2021.12.06 00:18:00	1246.506667	128	12	12	1	1245.000000	1247.900000	0.739497	NaN	NaN	124650.666667	8388617
2021.12.06 00:19:00	66666.000000	1	0	0	1	66666.000000	66666.000000	66666.000000	NaN	NaN	66666.000000	8388609
2021.12.06 00:20:00	66666.000000	1	0	0	1	66666.000000	66666.000000	66666.000000	NaN	NaN	66666.000000	8388609
2021.12.06 00:21:00	99999.000000	1	0	0	1	99999.000000	99999.000000	99999.000000	NaN	NaN	99999.000000	8388617
2021.12.06 00:22:00	66666.000000	1	0	0	1	66666.000000	66666.000000	66666.000000	NaN	NaN	66666.000000	8388609
