$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.11 00:00:07
$Filename; CO2FT_A_T_Gas_20211211.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; T_Gas, °C; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, °C; Float
$8; Maximum; °C; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	T_Gas	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	°C	Flags	Cnt	Sec	MR	°C	°C	Units	Deg	Deg	Units	Flags
2021.12.11 00:38:00	32.112783	0	60	60	1	32.090000	32.139000	0.000121	NaN	NaN	32112.783333	0
2021.12.11 00:39:00	32.109283	0	60	60	1	32.090000	32.139000	0.000120	NaN	NaN	32109.283333	0
2021.12.11 00:40:00	32.109417	0	60	60	1	32.090000	32.130000	0.000086	NaN	NaN	32109.416667	0
2021.12.11 00:41:00	32.099283	0	60	60	1	32.069000	32.119000	0.000116	NaN	NaN	32099.283333	0
2021.12.11 00:42:00	32.097767	0	60	60	1	32.069000	32.119000	0.000129	NaN	NaN	32097.766667	0
2021.12.11 00:43:00	32.092983	0	60	60	1	32.069000	32.130000	0.000170	NaN	NaN	32092.983333	0
2021.12.11 00:44:00	32.092933	0	60	60	1	32.069000	32.119000	0.000124	NaN	NaN	32092.933333	9
2021.12.11 00:45:00	32.083417	0	60	60	1	32.069000	32.099000	0.000086	NaN	NaN	32083.416667	9
2021.12.11 00:46:00	32.084283	0	60	60	1	32.069000	32.119000	0.000110	NaN	NaN	32084.283333	9
2021.12.11 00:47:00	32.082433	0	60	60	1	32.060000	32.099000	0.000116	NaN	NaN	32082.433333	9
2021.12.11 00:48:00	32.090817	0	60	60	1	32.079000	32.109000	0.000055	NaN	NaN	32090.816667	9
2021.12.11 00:49:00	32.089883	0	60	60	1	32.069000	32.109000	0.000103	NaN	NaN	32089.883333	9
2021.12.11 00:50:00	32.083867	0	60	60	1	32.060000	32.109000	0.000102	NaN	NaN	32083.866667	0
2021.12.11 00:51:00	32.077817	0	60	60	1	32.060000	32.099000	0.000118	NaN	NaN	32077.816667	0
2021.12.11 00:52:00	32.079050	0	60	60	1	32.050000	32.109000	0.000115	NaN	NaN	32079.050000	9
2021.12.11 00:53:00	32.074267	0	60	60	1	32.050000	32.099000	0.000104	NaN	NaN	32074.266667	0
2021.12.11 00:54:00	32.073850	0	60	60	1	32.050000	32.090000	0.000103	NaN	NaN	32073.850000	0
2021.12.11 00:55:00	32.074967	0	60	60	1	32.060000	32.099000	0.000096	NaN	NaN	32074.966667	0
2021.12.11 00:56:00	32.069883	0	60	60	1	32.039000	32.099000	0.000158	NaN	NaN	32069.883333	0
2021.12.11 00:57:00	32.078017	0	60	60	1	32.050000	32.099000	0.000173	NaN	NaN	32078.016667	0
2021.12.11 00:58:00	32.072133	0	60	60	1	32.050000	32.090000	0.000087	NaN	NaN	32072.133333	9
2021.12.11 00:59:00	32.064350	0	60	60	1	32.039000	32.090000	0.000114	NaN	NaN	32064.350000	9
2021.12.11 01:00:00	32.064383	0	60	60	1	32.050000	32.079000	0.000079	NaN	NaN	32064.383333	9
2021.12.11 01:01:00	32.066017	0	60	60	1	32.050000	32.099000	0.000116	NaN	NaN	32066.016667	0
2021.12.11 01:02:00	32.058200	0	60	60	1	32.039000	32.079000	0.000078	NaN	NaN	32058.200000	9
2021.12.11 01:03:00	32.055133	0	60	60	1	32.029000	32.079000	0.000081	NaN	NaN	32055.133333	0
2021.12.11 01:04:00	32.051450	0	60	60	1	32.029000	32.079000	0.000110	NaN	NaN	32051.450000	9
2021.12.11 01:05:00	32.058933	0	60	60	1	32.029000	32.079000	0.000105	NaN	NaN	32058.933333	0
2021.12.11 01:06:00	32.054617	0	60	60	1	32.039000	32.079000	0.000161	NaN	NaN	32054.616667	0
2021.12.11 01:07:00	32.057262	0	61	61	1	32.039000	32.079000	0.000086	NaN	NaN	32057.262295	9
2021.12.11 01:08:00	32.058508	0	59	59	1	32.039000	32.090000	0.000113	NaN	NaN	32058.508475	0
2021.12.11 01:09:00	32.053902	0	61	61	1	32.029000	32.079000	0.000128	NaN	NaN	32053.901639	0
2021.12.11 01:10:00	32.051458	0	59	59	1	32.029000	32.069000	0.000114	NaN	NaN	32051.457627	0
2021.12.11 01:11:00	32.053262	0	61	61	1	32.029000	32.079000	0.000156	NaN	NaN	32053.262295	0
2021.12.11 01:12:00	32.047153	0	59	59	1	32.029000	32.069000	0.000109	NaN	NaN	32047.152542	9
2021.12.11 01:13:00	32.038902	0	61	61	1	31.999000	32.079000	0.000146	NaN	NaN	32038.901639	9
2021.12.11 01:14:00	32.041102	0	59	59	1	32.009000	32.060000	0.000154	NaN	NaN	32041.101695	0
2021.12.11 01:15:00	32.036183	0	60	60	1	32.009000	32.060000	0.000112	NaN	NaN	32036.183333	9
2021.12.11 01:16:00	32.031117	0	60	60	1	32.009000	32.060000	0.000107	NaN	NaN	32031.116667	0
2021.12.11 01:17:00	32.025885	0	61	61	1	31.999000	32.050000	0.000168	NaN	NaN	32025.885246	9
2021.12.11 01:18:00	32.021576	0	59	59	1	31.999000	32.039000	0.000130	NaN	NaN	32021.576271	0
2021.12.11 01:19:00	32.019733	0	60	60	1	31.999000	32.039000	0.000122	NaN	NaN	32019.733333	9
2021.12.11 01:20:00	32.017000	0	60	60	1	31.999000	32.039000	0.000124	NaN	NaN	32017.000000	0
2021.12.11 01:21:00	32.014650	0	60	60	1	31.999000	32.039000	0.000107	NaN	NaN	32014.650000	9
2021.12.11 01:22:00	32.012200	0	60	60	1	31.989000	32.029000	0.000114	NaN	NaN	32012.200000	0
2021.12.11 01:23:00	32.007000	0	60	60	1	31.989000	32.029000	0.000106	NaN	NaN	32007.000000	9
2021.12.11 01:24:00	32.007200	0	60	60	1	31.980000	32.039000	0.000181	NaN	NaN	32007.200000	0
2021.12.11 01:25:00	32.009852	0	61	61	1	31.989000	32.029000	0.000105	NaN	NaN	32009.852459	0
2021.12.11 01:26:00	32.008550	0	60	60	1	31.989000	32.029000	0.000103	NaN	NaN	32008.550000	0
2021.12.11 01:27:00	32.006576	0	59	59	1	31.980000	32.029000	0.000144	NaN	NaN	32006.576271	0
2021.12.11 01:28:00	32.007867	0	60	60	1	31.980000	32.039000	0.000110	NaN	NaN	32007.866667	0
2021.12.11 01:29:00	32.000131	0	61	61	1	31.980000	32.029000	0.000115	NaN	NaN	32000.131148	0
2021.12.11 01:30:00	31.998583	0	60	60	1	31.969000	32.029000	0.000128	NaN	NaN	31998.583333	0
2021.12.11 01:31:00	31.999119	0	59	60	1	31.969000	32.020000	0.000108	NaN	NaN	31999.118644	0
2021.12.11 01:32:00	32.000317	0	60	60	1	31.969000	32.020000	0.000121	NaN	NaN	32000.316667	0
2021.12.11 01:33:00	32.003150	0	60	60	1	31.980000	32.020000	0.000106	NaN	NaN	32003.150000	9
2021.12.11 01:34:00	32.000067	0	60	60	1	31.980000	32.020000	0.000080	NaN	NaN	32000.066667	0
2021.12.11 01:35:00	31.995583	0	60	60	1	31.980000	32.020000	0.000136	NaN	NaN	31995.583333	0
2021.12.11 01:36:00	31.992883	0	60	60	1	31.969000	32.020000	0.000124	NaN	NaN	31992.883333	9
2021.12.11 01:37:00	31.996667	0	60	60	1	31.969000	32.020000	0.000141	NaN	NaN	31996.666667	9
2021.12.11 01:38:00	31.998383	0	60	60	1	31.969000	32.020000	0.000162	NaN	NaN	31998.383333	0
2021.12.11 01:39:00	31.995984	0	61	61	1	31.969000	32.020000	0.000101	NaN	NaN	31995.983607	0
2021.12.11 01:40:00	31.996102	0	59	59	1	31.969000	32.020000	0.000110	NaN	NaN	31996.101695	0
2021.12.11 01:41:00	31.995902	0	61	61	1	31.969000	32.029000	0.000162	NaN	NaN	31995.901639	0
2021.12.11 01:42:00	31.996644	0	59	59	1	31.980000	32.020000	0.000117	NaN	NaN	31996.644068	0
2021.12.11 01:43:00	31.993000	0	60	60	1	31.969000	32.009000	0.000077	NaN	NaN	31993.000000	0
2021.12.11 01:44:00	31.989672	0	61	61	1	31.969000	32.020000	0.000129	NaN	NaN	31989.672131	9
2021.12.11 01:45:00	31.987898	0	59	59	1	31.969000	32.009000	0.000115	NaN	NaN	31987.898305	0
2021.12.11 01:46:00	31.988131	0	61	61	1	31.969000	32.009000	0.000099	NaN	NaN	31988.131148	0
2021.12.11 01:47:00	31.989492	0	59	59	1	31.969000	32.020000	0.000107	NaN	NaN	31989.491525	9
2021.12.11 01:48:00	31.986967	0	61	61	1	31.959000	32.009000	0.000157	NaN	NaN	31986.967213	9
2021.12.11 01:49:00	31.988458	0	59	59	1	31.969000	32.009000	0.000071	NaN	NaN	31988.457627	9
2021.12.11 01:50:00	31.982600	0	60	60	1	31.969000	32.009000	0.000087	NaN	NaN	31982.600000	9
2021.12.11 01:51:00	31.986082	0	61	61	1	31.959000	32.009000	0.000118	NaN	NaN	31986.081967	0
2021.12.11 01:52:00	31.983034	0	59	60	1	31.959000	31.999000	0.000110	NaN	NaN	31983.033898	9
2021.12.11 01:53:00	31.989164	0	61	61	1	31.959000	32.009000	0.000110	NaN	NaN	31989.163934	0
2021.12.11 01:54:00	31.983424	0	59	59	1	31.959000	31.999000	0.000098	NaN	NaN	31983.423729	0
2021.12.11 01:55:00	31.983133	0	60	60	1	31.959000	31.999000	0.000098	NaN	NaN	31983.133333	9
2021.12.11 01:56:00	31.983400	0	60	60	1	31.939000	31.999000	0.000113	NaN	NaN	31983.400000	9
2021.12.11 01:57:00	31.984459	0	61	61	1	31.950000	32.009000	0.000141	NaN	NaN	31984.459016	9
2021.12.11 01:58:00	31.988083	0	60	60	1	31.959000	32.020000	0.000096	NaN	NaN	31988.083333	9
