$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.03 00:00:01
$Filename; CO2FT_A_P_In_20211203.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; P_In, mbar; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, mbar; Float
$8; Maximum; mbar; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	P_In	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	mbar	Flags	Cnt	Sec	MR	mbar	mbar	Units	Deg	Deg	Units	Flags
2021.12.03 00:37:00	990.803000	128	60	60	1	990.680000	990.940000	0.004835	NaN	NaN	99080.300000	8388608
2021.12.03 00:38:00	990.794000	128	60	60	1	990.650000	990.910000	0.004746	NaN	NaN	99079.400000	8388608
2021.12.03 00:39:00	990.817000	128	60	60	1	990.710000	990.910000	0.004421	NaN	NaN	99081.700000	8388617
2021.12.03 00:40:00	990.793667	128	60	60	1	990.690000	990.900000	0.003888	NaN	NaN	99079.366667	8388608
2021.12.03 00:41:00	990.759831	128	59	60	1	990.650000	990.870000	0.004371	NaN	NaN	99075.983051	8388608
2021.12.03 00:42:00	990.774426	128	61	61	1	990.650000	990.900000	0.004055	NaN	NaN	99077.442623	8388617
2021.12.03 00:43:00	990.780000	128	59	59	1	990.650000	990.900000	0.004624	NaN	NaN	99078.000000	8388608
2021.12.03 00:44:00	990.772459	128	61	60	1	990.660000	990.880000	0.004302	NaN	NaN	99077.245902	8388608
2021.12.03 00:45:00	990.780167	128	60	60	1	990.660000	990.900000	0.004307	NaN	NaN	99078.016667	8388608
2021.12.03 00:46:00	990.771167	128	60	59	1	990.650000	990.880000	0.003939	NaN	NaN	99077.116667	8388617
2021.12.03 00:47:00	990.772000	128	60	60	1	990.650000	990.880000	0.004457	NaN	NaN	99077.200000	8388617
2021.12.03 00:48:00	990.782000	128	60	60	1	990.660000	990.900000	0.004243	NaN	NaN	99078.200000	8388608
2021.12.03 00:49:00	990.768500	128	60	60	1	990.650000	990.900000	0.005260	NaN	NaN	99076.850000	8388608
2021.12.03 00:50:00	990.764500	128	60	60	1	990.640000	990.860000	0.004056	NaN	NaN	99076.450000	8388617
2021.12.03 00:51:00	990.773833	128	60	60	1	990.650000	990.880000	0.004841	NaN	NaN	99077.383333	8388608
2021.12.03 00:52:00	990.747458	128	59	59	1	990.620000	990.870000	0.004137	NaN	NaN	99074.745763	8388608
2021.12.03 00:53:00	990.749672	128	61	60	1	990.620000	990.900000	0.004807	NaN	NaN	99074.967213	8388617
2021.12.03 00:54:00	990.739833	128	60	60	1	990.600000	990.870000	0.005659	NaN	NaN	99073.983333	8388617
2021.12.03 00:55:00	990.751000	128	60	60	1	990.620000	990.880000	0.004785	NaN	NaN	99075.100000	8388617
2021.12.03 00:56:00	990.752333	128	60	60	1	990.620000	990.870000	0.004930	NaN	NaN	99075.233333	8388617
2021.12.03 00:57:00	990.755593	128	59	60	1	990.640000	990.880000	0.004646	NaN	NaN	99075.559322	8388608
2021.12.03 00:58:00	990.764918	128	61	61	1	990.650000	990.900000	0.004789	NaN	NaN	99076.491803	8388608
2021.12.03 00:59:00	990.773667	128	60	60	1	990.650000	990.880000	0.004793	NaN	NaN	99077.366667	8388617
2021.12.03 01:00:00	990.773000	128	60	59	1	990.650000	990.880000	0.004465	NaN	NaN	99077.300000	8388608
2021.12.03 01:01:00	990.778833	128	60	60	1	990.650000	990.910000	0.004661	NaN	NaN	99077.883333	8388608
2021.12.03 01:02:00	990.790667	128	60	60	1	990.650000	990.910000	0.004606	NaN	NaN	99079.066667	8388608
2021.12.03 01:03:00	990.778500	128	60	60	1	990.640000	990.900000	0.004843	NaN	NaN	99077.850000	8388608
2021.12.03 01:04:00	990.774833	128	60	60	1	990.660000	990.900000	0.004703	NaN	NaN	99077.483333	8388617
2021.12.03 01:05:00	990.772833	128	60	60	1	990.660000	990.880000	0.004156	NaN	NaN	99077.283333	8388617
2021.12.03 01:06:00	990.773667	128	60	60	1	990.660000	990.880000	0.004424	NaN	NaN	99077.366667	8388617
2021.12.03 01:07:00	990.794915	128	59	59	1	990.660000	990.880000	0.004081	NaN	NaN	99079.491525	8388608
2021.12.03 01:08:00	990.790000	128	61	61	1	990.680000	990.900000	0.004317	NaN	NaN	99079.000000	8388617
2021.12.03 01:09:00	990.791000	128	60	60	1	990.660000	990.910000	0.004802	NaN	NaN	99079.100000	8388608
2021.12.03 01:10:00	990.805667	128	60	60	1	990.690000	990.910000	0.004154	NaN	NaN	99080.566667	8388608
2021.12.03 01:11:00	990.812167	128	60	60	1	990.710000	990.940000	0.004424	NaN	NaN	99081.216667	8388608
2021.12.03 01:12:00	990.792333	128	60	60	1	990.680000	990.900000	0.004567	NaN	NaN	99079.233333	8388608
2021.12.03 01:13:00	990.801695	128	59	60	1	990.680000	990.930000	0.004242	NaN	NaN	99080.169492	8388617
2021.12.03 01:14:00	990.814333	128	60	60	1	990.710000	990.930000	0.004347	NaN	NaN	99081.433333	8388608
2021.12.03 01:15:00	990.824500	128	60	60	1	990.720000	990.940000	0.004042	NaN	NaN	99082.450000	8388608
2021.12.03 01:16:00	990.822667	128	60	59	1	990.690000	990.940000	0.004633	NaN	NaN	99082.266667	8388608
2021.12.03 01:17:00	990.830820	128	61	61	1	990.720000	990.950000	0.004228	NaN	NaN	99083.081967	8388617
2021.12.03 01:18:00	990.835667	128	60	60	1	990.730000	990.950000	0.004235	NaN	NaN	99083.566667	8388608
2021.12.03 01:19:00	990.839333	128	60	60	1	990.710000	990.950000	0.004813	NaN	NaN	99083.933333	8388608
2021.12.03 01:20:00	990.852333	128	60	60	1	990.730000	990.980000	0.004313	NaN	NaN	99085.233333	8388608
2021.12.03 01:21:00	990.845424	128	59	59	1	990.730000	990.970000	0.004622	NaN	NaN	99084.542373	8388617
2021.12.03 01:22:00	990.863934	128	61	60	1	990.750000	990.990000	0.004538	NaN	NaN	99086.393443	8388617
2021.12.03 01:23:00	990.837000	128	60	60	1	990.690000	990.950000	0.005174	NaN	NaN	99083.700000	8388617
