$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.07 00:00:04
$Filename; CO2FT_A_P_In_20211207.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; P_In, mbar; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, mbar; Float
$8; Maximum; mbar; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	P_In	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	mbar	Flags	Cnt	Sec	MR	mbar	mbar	Units	Deg	Deg	Units	Flags
2021.12.07 00:00:00	1008.977213	128	61	61	1	1008.860000	1009.090000	0.003840	NaN	NaN	100897.721311	8388608
2021.12.07 00:01:00	1010.963784	128	37	60	1	1008.930000	1011.740000	1.479674	NaN	NaN	101096.378378	8388617
2021.12.07 00:02:00	1011.793167	128	60	60	1	1011.720000	1011.870000	0.001527	NaN	NaN	101179.316667	8388608
2021.12.07 00:03:00	1008.645098	128	51	59	1	1008.200000	1011.960000	0.920137	NaN	NaN	100864.509804	8388609
2021.12.07 00:04:00	1008.336721	16512	61	61	1	1008.220000	1008.450000	0.004129	NaN	NaN	100833.672131	8388609
2021.12.07 00:05:00	1008.354746	16512	59	59	1	1008.240000	1008.480000	0.003908	NaN	NaN	100835.474576	8388617
2021.12.07 00:06:00	1008.372500	16512	60	61	1	1008.230000	1008.490000	0.004453	NaN	NaN	100837.250000	8388609
2021.12.07 00:07:00	1008.384333	16512	60	60	1	1008.270000	1008.490000	0.004110	NaN	NaN	100838.433333	8388609
2021.12.07 00:08:00	1008.388333	16512	60	60	1	1008.280000	1008.520000	0.004248	NaN	NaN	100838.833333	8388617
2021.12.07 00:09:00	1008.397833	16512	60	60	1	1008.270000	1008.530000	0.004007	NaN	NaN	100839.783333	8388609
2021.12.07 00:10:00	1008.410833	16512	60	60	1	1008.310000	1008.520000	0.003977	NaN	NaN	100841.083333	8388609
2021.12.07 00:11:00	1008.451500	16512	60	60	1	1008.350000	1008.570000	0.003708	NaN	NaN	100845.150000	8388609
2021.12.07 00:12:00	1008.437377	16512	61	61	1	1008.320000	1008.570000	0.004056	NaN	NaN	100843.737705	8388609
2021.12.07 00:13:00	1008.425254	16512	59	58	1	1008.300000	1008.540000	0.004129	NaN	NaN	100842.525424	8388609
2021.12.07 00:14:00	1008.427500	16512	60	60	1	1008.300000	1008.540000	0.004511	NaN	NaN	100842.750000	8388609
2021.12.07 00:15:00	1008.428033	16512	61	61	1	1008.300000	1008.540000	0.004443	NaN	NaN	100842.803279	8388617
2021.12.07 00:16:00	1008.408814	16512	59	60	1	1008.280000	1008.530000	0.004666	NaN	NaN	100840.881356	8388609
2021.12.07 00:17:00	1008.389000	16512	60	60	1	1008.270000	1008.500000	0.003928	NaN	NaN	100838.900000	8388617
2021.12.07 00:18:00	1008.391148	16512	61	60	1	1008.260000	1008.530000	0.004457	NaN	NaN	100839.114754	8388609
2021.12.07 00:19:00	1008.377119	128	59	59	1	1008.260000	1008.500000	0.004148	NaN	NaN	100837.711864	8388608
2021.12.07 00:20:00	1008.398500	128	60	60	1	1008.270000	1008.500000	0.004196	NaN	NaN	100839.850000	8388608
2021.12.07 00:21:00	1008.385167	128	60	60	1	1008.260000	1008.490000	0.004259	NaN	NaN	100838.516667	8388608
2021.12.07 00:22:00	1008.379333	128	60	59	1	1008.260000	1008.500000	0.004369	NaN	NaN	100837.933333	8388608
2021.12.07 00:23:00	1008.368525	128	61	61	1	1008.260000	1008.480000	0.004523	NaN	NaN	100836.852459	8388608
2021.12.07 00:24:00	1008.356167	128	60	60	1	1008.240000	1008.490000	0.004644	NaN	NaN	100835.616667	8388617
2021.12.07 00:25:00	1008.360000	128	60	60	1	1008.230000	1008.480000	0.004631	NaN	NaN	100836.000000	8388608
2021.12.07 00:26:00	1008.349661	128	59	60	1	1008.230000	1008.480000	0.004603	NaN	NaN	100834.966102	8388608
2021.12.07 00:27:00	1008.343500	128	60	60	1	1008.240000	1008.460000	0.003789	NaN	NaN	100834.350000	8388608
2021.12.07 00:28:00	1008.345667	128	60	59	1	1008.220000	1008.450000	0.003788	NaN	NaN	100834.566667	8388608
2021.12.07 00:29:00	1008.339672	128	61	60	1	1008.220000	1008.460000	0.004260	NaN	NaN	100833.967213	8388608
2021.12.07 00:30:00	1008.356500	128	60	59	1	1008.230000	1008.460000	0.004308	NaN	NaN	100835.650000	8388608
2021.12.07 00:31:00	1008.336949	128	59	59	1	1008.220000	1008.460000	0.004597	NaN	NaN	100833.694915	8388617
2021.12.07 00:32:00	1008.340820	128	61	61	1	1008.230000	1008.450000	0.004334	NaN	NaN	100834.081967	8388617
2021.12.07 00:33:00	1008.352667	128	60	60	1	1008.230000	1008.450000	0.004142	NaN	NaN	100835.266667	8388617
2021.12.07 00:34:00	1008.362373	128	59	59	1	1008.230000	1008.480000	0.004363	NaN	NaN	100836.237288	8388608
2021.12.07 00:35:00	1008.319344	128	61	60	1	1008.190000	1008.420000	0.004750	NaN	NaN	100831.934426	8388608
2021.12.07 00:36:00	1008.317288	128	59	58	1	1008.200000	1008.450000	0.003827	NaN	NaN	100831.728814	8388617
2021.12.07 00:37:00	1008.330984	128	61	61	1	1008.220000	1008.460000	0.004249	NaN	NaN	100833.098361	8388617
2021.12.07 00:38:00	1008.329167	128	60	60	1	1008.200000	1008.450000	0.004747	NaN	NaN	100832.916667	8388608
2021.12.07 00:39:00	1008.318136	128	59	60	1	1008.190000	1008.420000	0.004257	NaN	NaN	100831.813559	8388608
2021.12.07 00:40:00	1008.320333	128	60	60	1	1008.220000	1008.430000	0.004020	NaN	NaN	100832.033333	8388608
2021.12.07 00:41:00	1008.319016	128	61	61	1	1008.190000	1008.450000	0.004549	NaN	NaN	100831.901639	8388608
2021.12.07 00:42:00	1008.300678	128	59	58	1	1008.170000	1008.410000	0.004627	NaN	NaN	100830.067797	8388608
2021.12.07 00:43:00	1008.289180	128	61	61	1	1008.190000	1008.390000	0.003988	NaN	NaN	100828.918033	8388608
2021.12.07 00:44:00	1008.301667	128	60	60	1	1008.170000	1008.410000	0.003997	NaN	NaN	100830.166667	8388608
2021.12.07 00:45:00	1008.279500	128	60	60	1	1008.170000	1008.390000	0.003883	NaN	NaN	100827.950000	8388608
2021.12.07 00:46:00	1008.275254	128	59	59	1	1008.170000	1008.410000	0.004398	NaN	NaN	100827.525424	8388608
2021.12.07 00:47:00	1008.265410	128	61	61	1	1008.160000	1008.390000	0.004402	NaN	NaN	100826.540984	8388608
2021.12.07 00:48:00	1008.268814	128	59	59	1	1008.150000	1008.390000	0.003586	NaN	NaN	100826.881356	8388617
2021.12.07 00:49:00	1008.283279	128	61	61	1	1008.150000	1008.390000	0.004459	NaN	NaN	100828.327869	8388608
2021.12.07 00:50:00	1008.258667	128	60	60	1	1008.150000	1008.370000	0.003944	NaN	NaN	100825.866667	8388608
2021.12.07 00:51:00	1008.258983	128	59	59	1	1008.130000	1008.370000	0.004247	NaN	NaN	100825.898305	8388608
2021.12.07 00:52:00	1008.247213	128	61	60	1	1008.120000	1008.370000	0.004590	NaN	NaN	100824.721311	8388617
2021.12.07 00:53:00	1008.258475	128	59	59	1	1008.110000	1008.380000	0.004161	NaN	NaN	100825.847458	8388608
2021.12.07 00:54:00	1008.247213	128	61	61	1	1008.130000	1008.370000	0.004187	NaN	NaN	100824.721311	8388608
2021.12.07 00:55:00	1008.257167	128	60	60	1	1008.150000	1008.350000	0.004156	NaN	NaN	100825.716667	8388608
2021.12.07 00:56:00	1008.266333	128	60	61	1	1008.120000	1008.380000	0.004390	NaN	NaN	100826.633333	8388617
2021.12.07 00:57:00	1008.253220	128	59	58	1	1008.130000	1008.370000	0.003998	NaN	NaN	100825.322034	8388617
2021.12.07 00:58:00	1008.243607	128	61	61	1	1008.120000	1008.340000	0.003740	NaN	NaN	100824.360656	8388608
2021.12.07 00:59:00	1008.244068	128	59	59	1	1008.130000	1008.340000	0.004221	NaN	NaN	100824.406780	8388608
2021.12.07 01:00:00	1008.231475	128	61	61	1	1008.110000	1008.340000	0.003823	NaN	NaN	100823.147541	8388617
2021.12.07 01:01:00	1008.235500	128	60	59	1	1008.130000	1008.350000	0.004273	NaN	NaN	100823.550000	8388608
2021.12.07 01:02:00	1008.239333	128	60	60	1	1008.110000	1008.340000	0.004783	NaN	NaN	100823.933333	8388608
2021.12.07 01:03:00	1008.236102	128	59	59	1	1008.110000	1008.350000	0.003948	NaN	NaN	100823.610169	8388608
2021.12.07 01:04:00	1008.244167	128	60	60	1	1008.130000	1008.350000	0.004198	NaN	NaN	100824.416667	8388608
2021.12.07 01:05:00	1008.239167	128	60	60	1	1008.110000	1008.340000	0.004364	NaN	NaN	100823.916667	8388608
