$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.12 00:00:05
$Filename; CO2FT_A_P_In_20211212.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; P_In, mbar; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, mbar; Float
$8; Maximum; mbar; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	P_In	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	mbar	Flags	Cnt	Sec	MR	mbar	mbar	Units	Deg	Deg	Units	Flags
2021.12.12 00:00:00	997.413279	0	61	61	1	997.300000	997.530000	0.004206	NaN	NaN	99741.327869	0
2021.12.12 00:01:00	996.278333	0	36	59	1	995.750000	997.490000	0.486163	NaN	NaN	99627.833333	9
2021.12.12 00:02:00	996.180667	0	60	60	1	995.920000	996.390000	0.019461	NaN	NaN	99618.066667	9
2021.12.12 00:03:00	998.854706	16384	51	60	1	996.390000	1000.540000	0.585741	NaN	NaN	99885.470588	9
2021.12.12 00:04:00	998.906333	16384	60	60	1	998.780000	999.030000	0.004129	NaN	NaN	99890.633333	1
2021.12.12 00:05:00	999.012951	16384	61	61	1	998.840000	999.220000	0.007841	NaN	NaN	99901.295082	9
2021.12.12 00:06:00	999.221186	16384	59	59	1	999.030000	999.400000	0.009297	NaN	NaN	99922.118644	9
2021.12.12 00:07:00	999.316066	16384	61	61	1	999.190000	999.430000	0.004051	NaN	NaN	99931.606557	1
2021.12.12 00:08:00	999.240667	16384	60	59	1	999.110000	999.400000	0.004894	NaN	NaN	99924.066667	9
2021.12.12 00:09:00	999.235085	16384	59	59	1	999.080000	999.380000	0.004960	NaN	NaN	99923.508475	9
2021.12.12 00:10:00	999.354167	16384	60	60	1	999.210000	999.480000	0.004950	NaN	NaN	99935.416667	9
2021.12.12 00:11:00	999.402333	16384	60	60	1	999.290000	999.520000	0.004388	NaN	NaN	99940.233333	9
2021.12.12 00:12:00	999.431667	16384	60	60	1	999.300000	999.550000	0.004726	NaN	NaN	99943.166667	1
2021.12.12 00:13:00	999.418000	16384	60	60	1	999.300000	999.550000	0.005338	NaN	NaN	99941.800000	9
2021.12.12 00:14:00	999.368000	16384	60	60	1	999.250000	999.480000	0.004481	NaN	NaN	99936.800000	1
2021.12.12 00:15:00	999.320333	16384	60	60	1	999.190000	999.440000	0.004339	NaN	NaN	99932.033333	9
2021.12.12 00:16:00	999.254833	16384	60	60	1	999.140000	999.370000	0.004402	NaN	NaN	99925.483333	9
2021.12.12 00:17:00	999.229167	16384	60	60	1	999.080000	999.340000	0.004770	NaN	NaN	99922.916667	1
2021.12.12 00:18:00	999.222951	16384	61	61	1	999.110000	999.360000	0.004364	NaN	NaN	99922.295082	9
2021.12.12 00:19:00	999.193051	0	59	59	1	999.080000	999.290000	0.004135	NaN	NaN	99919.305085	0
2021.12.12 00:20:00	999.228333	0	60	60	1	999.080000	999.360000	0.005275	NaN	NaN	99922.833333	9
2021.12.12 00:21:00	999.245738	0	61	60	1	999.110000	999.340000	0.003658	NaN	NaN	99924.573770	9
2021.12.12 00:22:00	999.228136	0	59	59	1	999.110000	999.340000	0.004353	NaN	NaN	99922.813559	0
2021.12.12 00:23:00	999.155902	0	61	61	1	999.030000	999.330000	0.004885	NaN	NaN	99915.590164	9
2021.12.12 00:24:00	999.146780	0	59	59	1	999.000000	999.300000	0.005388	NaN	NaN	99914.677966	0
2021.12.12 00:25:00	999.360333	0	60	60	1	999.180000	999.550000	0.007566	NaN	NaN	99936.033333	9
2021.12.12 00:26:00	999.525500	0	60	60	1	999.380000	999.650000	0.004747	NaN	NaN	99952.550000	9
2021.12.12 00:27:00	999.557333	0	60	60	1	999.440000	999.670000	0.004213	NaN	NaN	99955.733333	9
2021.12.12 00:28:00	999.585667	0	60	60	1	999.450000	999.710000	0.004550	NaN	NaN	99958.566667	0
2021.12.12 00:29:00	999.615000	0	60	60	1	999.490000	999.740000	0.004419	NaN	NaN	99961.500000	9
2021.12.12 00:30:00	999.620984	0	61	61	1	999.480000	999.770000	0.004442	NaN	NaN	99962.098361	0
2021.12.12 00:31:00	999.578136	0	59	59	1	999.470000	999.700000	0.003929	NaN	NaN	99957.813559	9
2021.12.12 00:32:00	999.557167	0	60	60	1	999.430000	999.690000	0.004614	NaN	NaN	99955.716667	9
2021.12.12 00:33:00	999.461803	0	61	61	1	999.340000	999.590000	0.004905	NaN	NaN	99946.180328	9
2021.12.12 00:34:00	999.391695	0	59	60	1	999.280000	999.540000	0.004390	NaN	NaN	99939.169492	9
2021.12.12 00:35:00	999.385833	0	60	59	1	999.280000	999.510000	0.004052	NaN	NaN	99938.583333	9
2021.12.12 00:36:00	999.404262	0	61	61	1	999.280000	999.540000	0.004165	NaN	NaN	99940.426230	9
2021.12.12 00:37:00	999.432167	0	60	60	1	999.320000	999.540000	0.004082	NaN	NaN	99943.216667	9
2021.12.12 00:38:00	999.458000	0	60	60	1	999.330000	999.590000	0.004389	NaN	NaN	99945.800000	0
2021.12.12 00:39:00	999.543667	0	60	60	1	999.430000	999.670000	0.004963	NaN	NaN	99954.366667	0
2021.12.12 00:40:00	999.639492	0	59	58	1	999.490000	999.770000	0.004564	NaN	NaN	99963.949153	0
2021.12.12 00:41:00	999.664000	0	60	60	1	999.550000	999.810000	0.004072	NaN	NaN	99966.400000	0
2021.12.12 00:42:00	999.671639	0	61	61	1	999.580000	999.780000	0.003717	NaN	NaN	99967.163934	9
2021.12.12 00:43:00	999.662203	0	59	59	1	999.550000	999.770000	0.004149	NaN	NaN	99966.220339	9
2021.12.12 00:44:00	999.676393	0	61	61	1	999.560000	999.800000	0.004007	NaN	NaN	99967.639344	0
2021.12.12 00:45:00	999.652203	0	59	59	1	999.540000	999.770000	0.004814	NaN	NaN	99965.220339	9
2021.12.12 00:46:00	999.619000	0	60	59	1	999.520000	999.760000	0.003816	NaN	NaN	99961.900000	0
2021.12.12 00:47:00	999.594833	0	60	60	1	999.470000	999.710000	0.005107	NaN	NaN	99959.483333	9
2021.12.12 00:48:00	999.582500	0	60	60	1	999.480000	999.700000	0.004073	NaN	NaN	99958.250000	0
2021.12.12 00:49:00	999.571148	0	61	61	1	999.450000	999.700000	0.004407	NaN	NaN	99957.114754	0
2021.12.12 00:50:00	999.578305	0	59	59	1	999.450000	999.690000	0.004107	NaN	NaN	99957.830508	9
2021.12.12 00:51:00	999.679344	0	61	61	1	999.520000	999.870000	0.007303	NaN	NaN	99967.934426	0
2021.12.12 00:52:00	999.942679	0	56	60	1	999.700000	1000.150000	0.011678	NaN	NaN	99994.267857	9
2021.12.12 00:53:00	1000.083860	0	57	60	1	999.960000	1000.210000	0.004096	NaN	NaN	100008.385965	9
2021.12.12 00:54:00	1000.095517	0	58	59	1	999.980000	1000.220000	0.004243	NaN	NaN	100009.551724	9
2021.12.12 00:55:00	1000.130820	0	61	61	1	1000.020000	1000.280000	0.004984	NaN	NaN	100013.081967	0
2021.12.12 00:56:00	1000.256833	0	60	60	1	1000.090000	1000.430000	0.006602	NaN	NaN	100025.683333	9
2021.12.12 00:57:00	1000.337966	0	59	59	1	1000.240000	1000.460000	0.004275	NaN	NaN	100033.796610	0
2021.12.12 00:58:00	1000.419333	0	60	60	1	1000.260000	1000.570000	0.005637	NaN	NaN	100041.933333	0
2021.12.12 00:59:00	1000.456167	0	60	60	1	1000.320000	1000.580000	0.003671	NaN	NaN	100045.616667	0
2021.12.12 01:00:00	1000.394667	0	60	60	1	1000.250000	1000.520000	0.005144	NaN	NaN	100039.466667	0
