$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.02 00:00:09
$Filename; CO2FT_A_Signal_Proc_20211202.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Signal_Proc, digits; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, digits; Float
$8; Maximum; digits; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Signal_Proc	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	digits	Flags	Cnt	Sec	MR	digits	digits	Units	Deg	Deg	Units	Flags
2021.12.02 00:34:00	1744.979817	128	60	60	1	1743.411000	1747.051000	1.079504	NaN	NaN	1744979.816667	8388608
2021.12.02 00:35:00	1748.647717	128	60	60	1	1746.761000	1750.112000	0.860419	NaN	NaN	1748647.716667	8388608
2021.12.02 00:36:00	1752.209650	128	60	60	1	1750.101000	1754.020000	1.100797	NaN	NaN	1752209.650000	8388617
2021.12.02 00:37:00	1755.421966	128	59	59	1	1754.020000	1757.082000	0.757639	NaN	NaN	1755421.966102	8388617
2021.12.02 00:38:00	1758.882754	128	61	61	1	1757.082000	1761.021000	1.123977	NaN	NaN	1758882.754098	8388608
2021.12.02 00:39:00	1762.170500	128	60	60	1	1761.000000	1763.513000	0.806545	NaN	NaN	1762170.500000	8388608
2021.12.02 00:40:00	1765.316567	128	60	59	1	1763.513000	1766.864000	0.866343	NaN	NaN	1765316.566667	8388617
2021.12.02 00:41:00	1768.312150	128	60	60	1	1766.864000	1769.656000	0.664379	NaN	NaN	1768312.150000	8388608
2021.12.02 00:42:00	1771.228017	128	60	60	1	1769.646000	1772.727000	0.747906	NaN	NaN	1771228.016667	8388608
2021.12.02 00:43:00	1774.194383	128	60	60	1	1772.718000	1775.519000	0.882754	NaN	NaN	1774194.383333	8388617
2021.12.02 00:44:00	1777.073475	128	59	60	1	1775.519000	1778.599000	0.681796	NaN	NaN	1777073.474576	8388608
2021.12.02 00:45:00	1779.655754	128	61	61	1	1778.311000	1781.103000	0.722624	NaN	NaN	1779655.754098	8388608
2021.12.02 00:46:00	1782.625017	128	59	59	1	1780.815000	1783.912000	0.799775	NaN	NaN	1782625.016949	8388608
2021.12.02 00:47:00	1785.113246	128	61	60	1	1783.895000	1786.408000	0.721015	NaN	NaN	1785113.245902	8388608
2021.12.02 00:48:00	1787.849767	128	60	59	1	1786.408000	1789.208000	0.722896	NaN	NaN	1787849.766667	8388608
2021.12.02 00:49:00	1790.217583	128	60	60	1	1789.192000	1791.442000	0.634316	NaN	NaN	1790217.583333	8388617
2021.12.02 00:50:00	1792.870850	128	60	60	1	1791.713000	1793.954000	0.527158	NaN	NaN	1792870.850000	8388608
2021.12.02 00:51:00	1795.022933	128	60	60	1	1793.946000	1796.188000	0.478251	NaN	NaN	1795022.933333	8388617
2021.12.02 00:52:00	1797.483117	128	60	60	1	1796.188000	1798.701000	0.410834	NaN	NaN	1797483.116667	8388608
2021.12.02 00:53:00	1799.658117	128	60	60	1	1798.693000	1800.655000	0.449152	NaN	NaN	1799658.116667	8388608
2021.12.02 00:54:00	1801.949034	128	59	60	1	1800.655000	1802.896000	0.392423	NaN	NaN	1801949.033898	8388608
2021.12.02 00:55:00	1804.246885	128	61	61	1	1802.888000	1805.122000	0.323900	NaN	NaN	1804246.885246	8388608
2021.12.02 00:56:00	1806.254831	128	59	59	1	1805.115000	1807.369000	0.500780	NaN	NaN	1806254.830508	8388608
2021.12.02 00:57:00	1808.397869	128	61	60	1	1807.077000	1809.317000	0.392055	NaN	NaN	1808397.868852	8388617
2021.12.02 00:58:00	1810.434750	128	60	59	1	1809.310000	1811.550000	0.368756	NaN	NaN	1810434.750000	8388608
