$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.08 00:00:07
$Filename; CO2FT_A_Signal_Proc_20211208.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Signal_Proc, digits; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, digits; Float
$8; Maximum; digits; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Signal_Proc	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	digits	Flags	Cnt	Sec	MR	digits	digits	Units	Deg	Deg	Units	Flags
2021.12.08 00:00:00	452.364267	0	60	60	1	451.812000	452.842000	0.048532	NaN	NaN	452364.266667	0
2021.12.08 00:01:00	84.370297	0	37	60	1	-71.683000	452.563000	58800.388580	NaN	NaN	84370.297297	9
2021.12.08 00:02:00	-71.517633	0	60	60	1	-71.814000	-71.122000	0.054812	NaN	NaN	-71517.633333	0
2021.12.08 00:03:00	173.807231	16384	52	61	1	-71.945000	275.615000	16477.934636	NaN	NaN	173807.230769	1
2021.12.08 00:04:00	296.367627	16384	59	59	1	276.174000	315.149000	134.431363	NaN	NaN	296367.627119	1
2021.12.08 00:05:00	331.055131	16384	61	61	1	315.708000	344.891000	76.021514	NaN	NaN	331055.131148	1
2021.12.08 00:06:00	357.240683	16384	60	60	1	345.729000	367.361000	41.242533	NaN	NaN	357240.683333	1
2021.12.08 00:07:00	376.138288	16384	59	59	1	367.537000	384.337000	25.742129	NaN	NaN	376138.288136	1
2021.12.08 00:08:00	391.330283	16384	60	60	1	384.616000	398.034000	14.121265	NaN	NaN	391330.283333	1
2021.12.08 00:09:00	403.616082	16384	61	61	1	397.934000	409.314000	11.676357	NaN	NaN	403616.081967	1
2021.12.08 00:10:00	413.725119	16384	59	59	1	408.936000	417.799000	7.034887	NaN	NaN	413725.118644	1
2021.12.08 00:11:00	421.066217	16384	60	60	1	418.078000	424.409000	3.828539	NaN	NaN	421066.216667	1
2021.12.08 00:12:00	427.513467	16384	60	61	1	424.409000	430.097000	2.790950	NaN	NaN	427513.466667	1
2021.12.08 00:13:00	432.188650	16384	60	60	1	430.097000	434.289000	1.285458	NaN	NaN	432188.650000	1
2021.12.08 00:14:00	435.999770	16384	61	60	1	434.666000	437.740000	0.648459	NaN	NaN	435999.770492	1
2021.12.08 00:15:00	439.215183	16384	60	60	1	437.740000	440.633000	0.604276	NaN	NaN	439215.183333	1
2021.12.08 00:16:00	441.279500	16384	60	60	1	440.256000	442.589000	0.287274	NaN	NaN	441279.500000	1
2021.12.08 00:17:00	443.442583	16384	60	60	1	442.492000	444.545000	0.403984	NaN	NaN	443442.583333	1
2021.12.08 00:18:00	445.147200	16384	60	60	1	444.169000	446.039000	0.274728	NaN	NaN	445147.200000	1
2021.12.08 00:19:00	446.517661	0	59	59	1	445.943000	447.060000	0.082413	NaN	NaN	446517.661017	0
2021.12.08 00:20:00	447.747492	0	61	60	1	446.964000	448.554000	0.171256	NaN	NaN	447747.491803	0
2021.12.08 00:21:00	448.428183	0	60	59	1	448.081000	449.113000	0.054181	NaN	NaN	448428.183333	0
2021.12.08 00:22:00	449.138305	0	59	59	1	448.737000	449.489000	0.044863	NaN	NaN	449138.305085	0
2021.12.08 00:23:00	449.487250	0	60	60	1	449.017000	449.951000	0.093052	NaN	NaN	449487.250000	0
2021.12.08 00:24:00	449.962967	0	61	61	1	449.200000	450.607000	0.149301	NaN	NaN	449962.967213	0
2021.12.08 00:25:00	450.472783	0	60	60	1	449.855000	450.983000	0.042538	NaN	NaN	450472.783333	9
2021.12.08 00:26:00	450.584390	0	59	59	1	450.134000	450.886000	0.045652	NaN	NaN	450584.389831	9
2021.12.08 00:27:00	450.935574	0	61	60	1	450.693000	451.262000	0.024461	NaN	NaN	450935.573770	0
2021.12.08 00:28:00	450.859932	0	59	58	1	450.693000	451.349000	0.042101	NaN	NaN	450859.932203	0
2021.12.08 00:29:00	451.237267	0	60	60	1	450.973000	451.725000	0.035680	NaN	NaN	451237.266667	9
2021.12.08 00:30:00	451.396733	0	60	60	1	451.051000	451.725000	0.036242	NaN	NaN	451396.733333	0
2021.12.08 00:31:00	451.533250	0	60	60	1	451.069000	452.101000	0.074419	NaN	NaN	451533.250000	0
2021.12.08 00:32:00	451.332717	0	60	60	1	451.051000	451.821000	0.046840	NaN	NaN	451332.716667	0
2021.12.08 00:33:00	451.071167	0	60	59	1	450.579000	451.349000	0.036734	NaN	NaN	451071.166667	0
2021.12.08 00:34:00	451.547541	0	61	60	1	451.051000	451.821000	0.037264	NaN	NaN	451547.540984	0
2021.12.08 00:35:00	451.426767	0	60	59	1	450.675000	452.082000	0.087791	NaN	NaN	451426.766667	9
2021.12.08 00:36:00	451.582356	0	59	59	1	451.331000	452.082000	0.031925	NaN	NaN	451582.355932	9
2021.12.08 00:37:00	451.537900	0	60	60	1	450.675000	451.803000	0.083504	NaN	NaN	451537.900000	0
2021.12.08 00:38:00	451.437820	0	61	61	1	451.051000	451.706000	0.046814	NaN	NaN	451437.819672	0
2021.12.08 00:39:00	451.507695	0	59	59	1	450.955000	451.803000	0.048661	NaN	NaN	451507.694915	9
2021.12.08 00:40:00	451.501600	0	60	61	1	451.051000	452.082000	0.071008	NaN	NaN	451501.600000	9
2021.12.08 00:41:00	451.314567	0	60	60	1	450.589000	451.803000	0.133760	NaN	NaN	451314.566667	9
2021.12.08 00:42:00	450.916517	0	60	59	1	450.493000	451.341000	0.045204	NaN	NaN	450916.516667	0
2021.12.08 00:43:00	450.778148	0	61	61	1	450.213000	451.341000	0.071976	NaN	NaN	450778.147541	9
2021.12.08 00:44:00	450.533983	0	59	59	1	449.934000	450.965000	0.049689	NaN	NaN	450533.983051	0
2021.12.08 00:45:00	450.169082	0	61	61	1	449.837000	450.589000	0.054883	NaN	NaN	450169.081967	9
2021.12.08 00:46:00	450.228102	0	59	60	1	449.750000	450.782000	0.049076	NaN	NaN	450228.101695	9
2021.12.08 00:47:00	449.784950	0	60	61	1	448.999000	450.406000	0.115642	NaN	NaN	449784.950000	9
2021.12.08 00:48:00	449.643433	0	60	60	1	449.374000	450.030000	0.043304	NaN	NaN	449643.433333	0
2021.12.08 00:49:00	449.387852	0	61	60	1	448.999000	449.847000	0.076827	NaN	NaN	449387.852459	0
2021.12.08 00:50:00	449.399644	0	59	59	1	448.719000	449.847000	0.100787	NaN	NaN	449399.644068	0
2021.12.08 00:51:00	449.509683	0	60	60	1	449.095000	449.847000	0.048400	NaN	NaN	449509.683333	9
2021.12.08 00:52:00	449.286200	0	60	60	1	448.719000	449.654000	0.028229	NaN	NaN	449286.200000	0
2021.12.08 00:53:00	449.344967	0	60	59	1	448.719000	449.750000	0.064613	NaN	NaN	449344.966667	0
2021.12.08 00:54:00	449.575767	0	60	60	1	449.191000	450.126000	0.044043	NaN	NaN	449575.766667	0
2021.12.08 00:55:00	449.111917	0	60	60	1	448.719000	449.750000	0.063343	NaN	NaN	449111.916667	9
2021.12.08 00:56:00	449.038033	0	60	60	1	448.719000	449.471000	0.033662	NaN	NaN	449038.033333	9
2021.12.08 00:57:00	449.054083	0	60	60	1	448.537000	449.567000	0.075705	NaN	NaN	449054.083333	9
2021.12.08 00:58:00	449.284934	0	61	60	1	448.816000	449.750000	0.046675	NaN	NaN	449284.934426	9
2021.12.08 00:59:00	449.520817	0	60	59	1	449.095000	450.030000	0.031622	NaN	NaN	449520.816667	0
2021.12.08 01:00:00	450.050383	0	60	60	1	449.461000	450.868000	0.158036	NaN	NaN	450050.383333	0
2021.12.08 01:01:00	450.900317	0	60	60	1	450.396000	451.427000	0.091619	NaN	NaN	450900.316667	9
2021.12.08 01:02:00	451.855085	0	59	59	1	450.955000	452.920000	0.173016	NaN	NaN	451855.084746	9
2021.12.08 01:03:00	452.887049	0	61	60	1	452.169000	453.662000	0.103378	NaN	NaN	452887.049180	0
2021.12.08 01:04:00	453.624433	0	60	59	1	452.911000	454.318000	0.120216	NaN	NaN	453624.433333	0
2021.12.08 01:05:00	454.365881	0	59	58	1	453.846000	454.877000	0.135498	NaN	NaN	454365.881356	9
2021.12.08 01:06:00	455.068262	0	61	61	1	454.501000	455.435000	0.048209	NaN	NaN	455068.262295	0
2021.12.08 01:07:00	455.735763	0	59	60	1	454.964000	456.370000	0.143140	NaN	NaN	455735.762712	9
2021.12.08 01:08:00	456.358817	0	60	60	1	455.523000	456.833000	0.089712	NaN	NaN	456358.816667	0
2021.12.08 01:09:00	456.682492	0	61	61	1	456.081000	457.112000	0.077813	NaN	NaN	456682.491803	0
2021.12.08 01:10:00	457.423117	0	60	60	1	457.112000	458.046000	0.071221	NaN	NaN	457423.116667	0
2021.12.08 01:11:00	457.567627	0	59	59	1	456.920000	458.509000	0.091391	NaN	NaN	457567.627119	0
2021.12.08 01:12:00	458.148917	0	60	60	1	457.853000	458.509000	0.043462	NaN	NaN	458148.916667	0
2021.12.08 01:13:00	458.229656	0	61	60	1	457.853000	458.605000	0.030072	NaN	NaN	458229.655738	0
2021.12.08 01:14:00	458.486508	0	59	58	1	457.758000	459.068000	0.085998	NaN	NaN	458486.508475	9
2021.12.08 01:15:00	459.141459	0	61	61	1	458.413000	459.818000	0.101826	NaN	NaN	459141.459016	0
2021.12.08 01:16:00	459.315750	0	60	60	1	458.692000	459.722000	0.063484	NaN	NaN	459315.750000	9
2021.12.08 01:17:00	459.688169	0	59	60	1	459.251000	460.097000	0.060576	NaN	NaN	459688.169492	0
2021.12.08 01:18:00	459.963328	0	61	61	1	459.530000	460.376000	0.020921	NaN	NaN	459963.327869	9
2021.12.08 01:19:00	459.531383	0	60	61	1	458.972000	460.185000	0.115304	NaN	NaN	459531.383333	0
2021.12.08 01:20:00	458.188800	0	60	59	1	457.016000	459.347000	0.406020	NaN	NaN	458188.800000	9
2021.12.08 01:21:00	456.840034	0	59	58	1	456.177000	457.391000	0.097634	NaN	NaN	456840.033898	0
2021.12.08 01:22:00	456.665883	0	60	60	1	456.273000	457.024000	0.036244	NaN	NaN	456665.883333	0
2021.12.08 01:23:00	457.155590	0	61	62	1	456.736000	457.670000	0.072401	NaN	NaN	457155.590164	9
2021.12.08 01:24:00	458.377850	0	60	59	1	457.574000	459.163000	0.181560	NaN	NaN	458377.850000	0
2021.12.08 01:25:00	459.672678	0	59	58	1	458.972000	460.185000	0.166586	NaN	NaN	459672.677966	0
2021.12.08 01:26:00	460.989213	0	61	61	1	460.185000	461.958000	0.317622	NaN	NaN	460989.213115	9
2021.12.08 01:27:00	462.078350	0	60	60	1	461.582000	462.700000	0.083334	NaN	NaN	462078.350000	0
2021.12.08 01:28:00	463.041000	0	60	60	1	462.045000	463.538000	0.196066	NaN	NaN	463041.000000	0
2021.12.08 01:29:00	463.995367	0	60	60	1	463.259000	464.847000	0.135561	NaN	NaN	463995.366667	9
2021.12.08 01:30:00	464.862661	0	59	59	1	464.097000	465.222000	0.119333	NaN	NaN	464862.661017	0
2021.12.08 01:31:00	465.123433	0	60	59	1	464.656000	465.590000	0.049055	NaN	NaN	465123.433333	9
2021.12.08 01:32:00	465.471950	0	60	60	1	465.215000	465.869000	0.059419	NaN	NaN	465471.950000	0
2021.12.08 01:33:00	465.754117	0	60	60	1	465.310000	466.244000	0.080742	NaN	NaN	465754.116667	9
2021.12.08 01:34:00	465.938344	0	61	61	1	465.590000	466.427000	0.050848	NaN	NaN	465938.344262	9
2021.12.08 01:35:00	466.433288	0	59	59	1	465.583000	467.640000	0.197397	NaN	NaN	466433.288136	0
2021.12.08 01:36:00	467.574817	0	60	60	1	467.171000	468.199000	0.055933	NaN	NaN	467574.816667	9
2021.12.08 01:37:00	467.828787	0	61	61	1	467.354000	468.288000	0.034580	NaN	NaN	467828.786885	9
2021.12.08 01:38:00	468.190950	0	60	59	1	467.914000	468.383000	0.026408	NaN	NaN	468190.950000	0
2021.12.08 01:39:00	468.507650	0	60	59	1	468.288000	469.037000	0.034331	NaN	NaN	468507.650000	0
2021.12.08 01:40:00	468.774000	0	60	60	1	468.288000	469.317000	0.060760	NaN	NaN	468774.000000	9
2021.12.08 01:41:00	468.819797	0	59	59	1	468.288000	469.317000	0.046802	NaN	NaN	468819.796610	9
2021.12.08 01:42:00	469.246164	0	61	61	1	468.568000	469.876000	0.085684	NaN	NaN	469246.163934	9
2021.12.08 01:43:00	469.784508	0	59	59	1	469.126000	470.250000	0.103720	NaN	NaN	469784.508475	9
2021.12.08 01:44:00	469.886183	0	60	60	1	469.501000	470.155000	0.029866	NaN	NaN	469886.183333	0
2021.12.08 01:45:00	470.166967	0	61	61	1	469.685000	470.435000	0.043435	NaN	NaN	470166.967213	0
2021.12.08 01:46:00	470.290542	0	59	59	1	469.685000	470.714000	0.076653	NaN	NaN	470290.542373	9
2021.12.08 01:47:00	470.346833	0	60	60	1	469.965000	470.993000	0.084017	NaN	NaN	470346.833333	0
2021.12.08 01:48:00	470.389533	0	60	60	1	469.965000	470.714000	0.083060	NaN	NaN	470389.533333	0
2021.12.08 01:49:00	470.088082	0	61	61	1	469.780000	470.435000	0.040372	NaN	NaN	470088.081967	0
2021.12.08 01:50:00	469.461883	0	60	60	1	468.847000	470.155000	0.108348	NaN	NaN	469461.883333	0
2021.12.08 01:51:00	468.771100	0	60	60	1	468.288000	469.222000	0.087370	NaN	NaN	468771.100000	0
2021.12.08 01:52:00	468.025650	0	60	59	1	467.171000	468.662000	0.208820	NaN	NaN	468025.650000	0
2021.12.08 01:53:00	467.560864	0	59	59	1	467.171000	468.479000	0.087064	NaN	NaN	467560.864407	9
2021.12.08 01:54:00	468.306902	0	61	61	1	467.634000	468.942000	0.109432	NaN	NaN	468306.901639	0
2021.12.08 01:55:00	468.931237	0	59	59	1	468.568000	469.596000	0.059098	NaN	NaN	468931.237288	9
2021.12.08 01:56:00	469.317164	0	61	61	1	468.847000	469.501000	0.056486	NaN	NaN	469317.163934	0
2021.12.08 01:57:00	468.858831	0	59	60	1	468.193000	469.501000	0.120372	NaN	NaN	468858.830508	0
2021.12.08 01:58:00	468.690623	0	61	62	1	468.568000	468.942000	0.031338	NaN	NaN	468690.622951	9
2021.12.08 01:59:00	468.900763	0	59	58	1	468.472000	469.317000	0.045080	NaN	NaN	468900.762712	0
