$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.12 00:00:05
$Filename; CO2FT_A_Signal_Raw_20211212.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E+0
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; Signal_Raw, LSB; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, LSB; Float
$8; Maximum; LSB; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	Signal_Raw	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	LSB	Flags	Cnt	Sec	MR	LSB	LSB	Units	Deg	Deg	Units	Flags
2021.12.12 00:36:00	20445.344262	0	61	61	1	20445.000000	20446.000000	0.229508	NaN	NaN	20445.344262	9
2021.12.12 00:37:00	20445.166667	0	60	60	1	20444.000000	20446.000000	0.480226	NaN	NaN	20445.166667	9
2021.12.12 00:38:00	20444.383333	0	60	60	1	20444.000000	20445.000000	0.240395	NaN	NaN	20444.383333	0
2021.12.12 00:39:00	20443.216667	0	60	60	1	20443.000000	20444.000000	0.172599	NaN	NaN	20443.216667	0
2021.12.12 00:40:00	20442.355932	0	59	58	1	20441.000000	20443.000000	0.578025	NaN	NaN	20442.355932	0
2021.12.12 00:41:00	20440.300000	0	60	60	1	20440.000000	20441.000000	0.213559	NaN	NaN	20440.300000	0
2021.12.12 00:42:00	20439.098361	0	61	61	1	20438.000000	20440.000000	0.156831	NaN	NaN	20439.098361	9
2021.12.12 00:43:00	20437.711864	0	59	59	1	20437.000000	20439.000000	0.415546	NaN	NaN	20437.711864	9
2021.12.12 00:44:00	20436.819672	0	61	61	1	20436.000000	20437.000000	0.150273	NaN	NaN	20436.819672	0
2021.12.12 00:45:00	20437.152542	0	59	59	1	20436.000000	20438.000000	0.234950	NaN	NaN	20437.152542	9
2021.12.12 00:46:00	20436.250000	0	60	59	1	20435.000000	20438.000000	0.597458	NaN	NaN	20436.250000	0
2021.12.12 00:47:00	20434.966667	0	60	60	1	20434.000000	20436.000000	0.066667	NaN	NaN	20434.966667	9
2021.12.12 00:48:00	20435.666667	0	60	60	1	20435.000000	20436.000000	0.225989	NaN	NaN	20435.666667	0
2021.12.12 00:49:00	20435.983607	0	61	61	1	20435.000000	20436.000000	0.016393	NaN	NaN	20435.983607	0
2021.12.12 00:50:00	20435.372881	0	59	59	1	20435.000000	20436.000000	0.237873	NaN	NaN	20435.372881	9
2021.12.12 00:51:00	20434.000000	0	61	61	1	20433.000000	20435.000000	0.533333	NaN	NaN	20434.000000	0
2021.12.12 00:52:00	20431.933333	0	60	60	1	20430.000000	20434.000000	2.164972	NaN	NaN	20431.933333	9
2021.12.12 00:53:00	20428.733333	0	60	60	1	20427.000000	20430.000000	0.741243	NaN	NaN	20428.733333	0
2021.12.12 00:54:00	20425.610169	0	59	59	1	20424.000000	20427.000000	0.897136	NaN	NaN	20425.610169	9
2021.12.12 00:55:00	20421.688525	0	61	61	1	20420.000000	20424.000000	1.118033	NaN	NaN	20421.688525	0
2021.12.12 00:56:00	20417.400000	0	60	60	1	20415.000000	20420.000000	2.176271	NaN	NaN	20417.400000	9
2021.12.12 00:57:00	20412.728814	0	59	59	1	20410.000000	20415.000000	1.270018	NaN	NaN	20412.728814	0
2021.12.12 00:58:00	20408.116667	0	60	60	1	20405.000000	20410.000000	2.647175	NaN	NaN	20408.116667	0
2021.12.12 00:59:00	20404.016667	0	60	60	1	20404.000000	20405.000000	0.016667	NaN	NaN	20404.016667	0
2021.12.12 01:00:00	20403.650000	0	60	60	1	20403.000000	20404.000000	0.231356	NaN	NaN	20403.650000	0
2021.12.12 01:01:00	20404.245902	0	61	61	1	20403.000000	20405.000000	0.555191	NaN	NaN	20404.245902	9
2021.12.12 01:02:00	20405.644068	0	59	59	1	20404.000000	20408.000000	0.681473	NaN	NaN	20405.644068	0
2021.12.12 01:03:00	20408.540984	0	61	61	1	20408.000000	20409.000000	0.252459	NaN	NaN	20408.540984	0
2021.12.12 01:04:00	20409.389831	0	59	59	1	20409.000000	20410.000000	0.241964	NaN	NaN	20409.389831	9
2021.12.12 01:05:00	20410.633333	0	60	60	1	20409.000000	20412.000000	0.371751	NaN	NaN	20410.633333	9
2021.12.12 01:06:00	20411.783333	0	60	60	1	20411.000000	20413.000000	0.511582	NaN	NaN	20411.783333	0
2021.12.12 01:07:00	20411.800000	0	60	60	1	20411.000000	20412.000000	0.162712	NaN	NaN	20411.800000	9
2021.12.12 01:08:00	20411.833333	0	60	60	1	20411.000000	20412.000000	0.141243	NaN	NaN	20411.833333	0
2021.12.12 01:09:00	20412.409836	0	61	61	1	20411.000000	20413.000000	0.445902	NaN	NaN	20412.409836	0
2021.12.12 01:10:00	20412.050847	0	59	59	1	20412.000000	20413.000000	0.049094	NaN	NaN	20412.050847	0
2021.12.12 01:11:00	20411.050000	0	60	60	1	20411.000000	20412.000000	0.048305	NaN	NaN	20411.050000	9
2021.12.12 01:12:00	20410.683333	0	60	60	1	20410.000000	20411.000000	0.220056	NaN	NaN	20410.683333	9
2021.12.12 01:13:00	20410.216667	0	60	60	1	20410.000000	20411.000000	0.172599	NaN	NaN	20410.216667	9
2021.12.12 01:14:00	20409.533333	0	60	59	1	20409.000000	20410.000000	0.253107	NaN	NaN	20409.533333	9
